,Breakdown,ttm,10/31/2023,10/31/2022,10/31/2021,10/31/2020
0,Total Revenue,"6,735,000","6,833,000","6,848,000","6,319,000","5,339,000"
1,Cost of Revenue,"3,330,000","3,368,000","3,126,000","2,912,000","2,502,000"
2,Gross Profit,"3,405,000","3,465,000","3,722,000","3,407,000","2,837,000"
3,Operating Expense,"2,097,000","2,115,000","2,104,000","2,060,000","1,991,000"
4,Operating Income,"1,308,000","1,350,000","1,618,000","1,347,000","846,000"
5,Net Non Operating Interest Income Expense,"-32,000","-44,000","-75,000","-79,000","-70,000"
6,Other Income Expense,-,"33,000","-39,000","92,000","66,000"
7,Pretax Income,"1,332,000","1,339,000","1,504,000","1,360,000","842,000"
8,Tax Provision,"96,000","99,000","250,000","150,000","123,000"
9,Net Income Common Stockholders,"1,236,000","1,240,000","1,254,000","1,210,000","719,000"
10,Diluted NI Available to Com Stockholders,"1,236,000","1,240,000","1,254,000","1,210,000","719,000"
11,Basic EPS,4.22,4.22,4.19,3.98,2.33
12,Diluted EPS,4.19,4.19,4.18,3.94,2.30
13,Basic Average Shares,"294,000","294,000","299,000","304,000","309,000"
14,Diluted Average Shares,"296,000","296,000","300,000","307,000","312,000"
15,Total Operating Income as Reported,"1,308,000","1,350,000","1,618,000","1,347,000","846,000"
16,Total Expenses,"5,427,000","5,483,000","5,230,000","4,972,000","4,493,000"
17,Net Income from Continuing & Discontinued Operation,"1,236,000","1,240,000","1,254,000","1,210,000","719,000"
18,Normalized Income,"1,236,000","1,240,000","1,254,000","1,210,000","719,000"
19,Interest Income,"60,000","51,000","9,000","2,000","8,000"
20,Interest Expense,"92,000","95,000","84,000","81,000","78,000"
21,Net Interest Income,"-32,000","-44,000","-75,000","-79,000","-70,000"
22,EBIT,"1,424,000","1,434,000","1,588,000","1,441,000","920,000"
23,EBITDA,"1,690,000","1,705,000","1,905,000","1,762,000","1,228,000"
24,Reconciled Cost of Revenue,"3,330,000","3,368,000","3,126,000","2,912,000","2,502,000"
25,Reconciled Depreciation,"266,000","271,000","317,000","321,000","308,000"
26,Net Income from Continuing Operation Net Minority Interest,"1,236,000","1,240,000","1,254,000","1,210,000","719,000"
27,Normalized EBITDA,"1,690,000","1,705,000","1,905,000","1,762,000","1,228,000"
28,Tax Rate for Calcs,0,0,0,0,0
29,Tax Effect of Unusual Items,0,0,0,0,0
30,Breakdown,10/31/2023,10/31/2022,10/31/2021,10/31/2020,
31,Total Assets,"10,763,000","10,532,000","10,705,000","9,627,000",
32,Total Liabilities Net Minority Interest,"4,918,000","5,227,000","5,316,000","4,754,000",
33,Total Equity Gross Minority Interest,"5,845,000","5,305,000","5,389,000","4,873,000",
34,Total Capitalization,"8,580,000","8,038,000","8,118,000","7,157,000",
35,Common Stock Equity,"5,845,000","5,305,000","5,389,000","4,873,000",
36,Net Tangible Assets,"1,410,000","532,000","433,000","440,000",
37,Working Capital,"2,583,000","1,917,000","2,091,000","1,948,000",
38,Invested Capital,"8,580,000","8,074,000","8,118,000","7,232,000",
39,Tangible Book Value,"1,410,000","532,000","433,000","440,000",
40,Total Debt,"2,735,000","2,769,000","2,729,000","2,359,000",
41,Net Debt,"1,145,000","1,716,000","1,245,000","918,000",
42,Share Issued,"292,123","295,000","302,000","306,000",
43,Ordinary Shares Number,"292,123","295,000","302,000","306,000",
44,Breakdown,ttm,10/31/2023,10/31/2022,10/31/2021,10/31/2020
45,Operating Cash Flow,"1,961,000","1,772,000","1,312,000","1,485,000","921,000"
46,Investing Cash Flow,"-301,000","-310,000","-338,000","-749,000","-147,000"
47,Financing Cash Flow,"-1,153,000","-930,000","-1,372,000","-696,000","-717,000"
48,End Cash Position,"1,760,000","1,593,000","1,056,000","1,490,000","1,447,000"
49,Income Tax Paid Supplemental Data,"206,000","199,000","279,000","211,000","361,000"
50,Interest Paid Supplemental Data,"88,000","89,000","85,000","76,000","71,000"
51,Capital Expenditure,"-312,000","-298,000","-291,000","-188,000","-119,000"
52,Issuance of Debt,"-203,000",0,"600,000","848,000","1,717,000"
53,Repayment of Debt,"-180,000",0,"-609,000","-417,000","-1,762,000"
54,Repurchase of Capital Stock,"-500,000","-575,000","-1,139,000","-788,000","-469,000"
55,Free Cash Flow,"1,649,000","1,474,000","1,021,000","1,297,000","802,000"
