,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"2,139,890","2,139,890","2,249,434","1,845,504","1,734,919"
1,Cost of Revenue,"1,020,571","1,020,571","1,087,661","686,015","651,377"
2,Gross Profit,"1,119,319","1,119,319","1,161,773","1,159,489","1,083,542"
3,Operating Expense,"1,005,838","981,552","985,871","929,902","895,683"
4,Operating Income,"113,481","137,767","175,902","229,587","187,859"
5,Net Non Operating Interest Income Expense,"-15,512","-48,894","-40,956","-1,460","-10,006"
6,Other Income Expense,"-99,027","-89,931","-149,689","-82,257","-575,667"
7,Pretax Income,"-1,058","-1,058","-14,743","145,870","-397,814"
8,Tax Provision,"-3,881","-3,881","-9,463","35,936","-131,902"
9,Net Income Common Stockholders,"2,823","2,823","-5,280","109,934","-265,912"
10,Diluted NI Available to Com Stockholders,"2,823","2,823","-5,280","109,934","-265,912"
11,Basic EPS,0.30,-,-0.17,3.33,-7.85
12,Diluted EPS,0.30,-,-0.17,3.26,-7.85
13,Basic Average Shares,"30,857",-,"30,881","32,992","33,877"
14,Diluted Average Shares,"30,857",-,"30,881","33,722","33,877"
15,Total Operating Income as Reported,"12,550","12,550","-2,548","145,749","-386,038"
16,Rent Expense Supplemental,-,"226,526","215,431","173,508","166,027"
17,Total Expenses,"2,026,409","2,002,123","2,073,532","1,615,917","1,547,060"
18,Net Income from Continuing & Discontinued Operation,"2,823","2,823","-5,280","109,934","-265,912"
19,Normalized Income,"82,558","75,373","111,142","173,148","120,176"
20,Interest Expense,"15,512","15,512","9,875","1,460","10,006"
21,Net Interest Income,"-15,512","-48,894","-40,956","-1,460","-10,006"
22,EBIT,"14,454","14,454","-4,868","147,330","-387,808"
23,EBITDA,"564,037","564,037","587,181","741,172","183,452"
24,Reconciled Cost of Revenue,"1,020,571","481,336","504,942","686,015","651,377"
25,Reconciled Depreciation,"549,583","549,583","592,049","593,842","571,260"
26,Net Income from Continuing Operation Net Minority Interest,"2,823","2,823","-5,280","109,934","-265,912"
27,Total Unusual Items Excluding Goodwill,"-100,931","-91,835","-147,369","-83,838","-577,976"
28,Total Unusual Items,"-100,931","-91,835","-147,369","-83,838","-577,976"
29,Normalized EBITDA,"664,968","655,872","734,550","825,010","761,428"
30,Tax Rate for Calcs,0,0,0,0,0
31,Tax Effect of Unusual Items,"-21,196","-19,285","-30,947","-20,624","-191,888"
32,Breakdown,12/31/2023,12/31/2022,12/31/2021,12/31/2020,
33,Total Assets,"1,826,576","1,858,463","1,441,265","1,353,457",
34,Total Liabilities Net Minority Interest,"1,140,438","1,163,061","723,099","642,132",
35,Total Equity Gross Minority Interest,"686,138","695,402","718,166","711,325",
36,Total Capitalization,"873,713","914,365","728,166","711,325",
37,Common Stock Equity,"686,138","695,402","718,166","711,325",
38,Capital Lease Obligations,"502,692","496,401","309,834","279,789",
39,Net Tangible Assets,"522,230","522,164","699,937","694,659",
40,Working Capital,"385,925","433,903","440,952","471,525",
41,Invested Capital,"880,101","937,815","728,166","711,325",
42,Tangible Book Value,"522,230","522,164","699,937","694,659",
43,Total Debt,"696,655","738,814","319,834","279,789",
44,Net Debt,"134,928","214,697",-,-,
45,Share Issued,"36,657","36,100","35,559","35,100",
46,Ordinary Shares Number,"30,361","30,620","30,978","34,205",
47,Treasury Shares Number,"6,295","5,480","4,580",894.66,
48,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
49,Operating Cash Flow,"180,414","180,414","170,432","136,040","355,769"
50,Investing Cash Flow,"-76,876","-76,876","-351,377","-85,375","-75,041"
51,Financing Cash Flow,"-72,249","-72,249","185,880","-103,951","-253,411"
52,End Cash Position,"60,660","60,660","29,341","22,832","76,123"
53,Income Tax Paid Supplemental Data,-,"11,680","5,498","9,654",-
54,Interest Paid Supplemental Data,-,"15,973","6,618",991,"10,418"
55,Capital Expenditure,"-94,415","-94,415","-107,980","-92,704","-69,037"
56,Issuance of Debt,"71,094","71,094","300,950","9,260","5,625"
57,Repayment of Debt,"-119,719","-119,719","-83,334",0,"-347,960"
58,Repurchase of Capital Stock,"-6,499","-6,499","-13,384","-103,098",0
59,Free Cash Flow,"85,999","85,999","62,452","43,336","286,732"
