,Breakdown,ttm,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"11,296,483","11,154,722","10,997,989","10,106,321"
1,Cost of Revenue,"6,591,785","6,192,622","6,069,241","5,624,707"
2,Gross Profit,"4,704,698","4,962,100","4,928,748","4,481,614"
3,Operating Expense,"4,353,435","4,247,949","4,090,031","3,731,707"
4,Operating Income,"351,263","714,151","838,717","749,907"
5,Net Non Operating Interest Income Expense,"-85,939","-51,060","-37,791","-46,886"
6,Other Income Expense,"-1,920","-14,404","4,999","-52,006"
7,Pretax Income,"263,404","648,687","805,925","651,015"
8,Tax Provision,"58,081","146,815","189,817","157,994"
9,Net Income Common Stockholders,"205,323","501,872","616,108","493,021"
10,Diluted NI Available to Com Stockholders,"205,323","501,872","616,108","493,021"
11,Basic EPS,3.46,8.32,9.62,7.17
12,Diluted EPS,3.44,8.27,9.55,7.14
13,Basic Average Shares,"59,417","60,351","64,028","68,748"
14,Diluted Average Shares,"59,624","60,717","64,509","69,003"
15,Total Operating Income as Reported,"351,263","714,151","838,717","749,907"
16,Total Expenses,"10,945,220","10,440,571","10,159,272","9,356,414"
17,Net Income from Continuing & Discontinued Operation,"205,323","501,872","616,108","493,021"
18,Normalized Income,"205,323","507,606","616,108","529,710"
19,Interest Expense,"85,939","51,060","37,791","46,886"
20,Net Interest Income,"-85,939","-51,060","-37,791","-46,886"
21,EBIT,"349,343","699,747","843,716","697,901"
22,EBITDA,"652,895","983,547","1,103,649","947,982"
23,Reconciled Cost of Revenue,"6,591,785","6,192,622","6,069,241","5,624,707"
24,Reconciled Depreciation,"303,552","283,800","259,933","250,081"
25,Net Income from Continuing Operation Net Minority Interest,"205,323","501,872","616,108","493,021"
26,Total Unusual Items Excluding Goodwill,0,"-7,408",0,"-48,022"
27,Total Unusual Items,0,"-7,408",0,"-48,022"
28,Normalized EBITDA,"652,895","990,955","1,103,649","996,004"
29,Tax Rate for Calcs,0,0,0,0
30,Tax Effect of Unusual Items,0,"-1,674",0,"-11,333"
31,Breakdown,12/31/2022,12/31/2021,12/31/2020,
32,Total Assets,"12,018,482","12,194,209","11,839,636",
33,Total Liabilities Net Minority Interest,"9,340,201","9,065,918","8,280,124",
34,Total Equity Gross Minority Interest,"2,678,281","3,128,291","3,559,512",
35,Total Capitalization,"3,866,564","4,162,611","4,592,496",
36,Common Stock Equity,"2,678,281","3,128,291","3,559,512",
37,Capital Lease Obligations,"2,278,318","2,337,651","2,014,499",
38,Net Tangible Assets,"1,066,909","1,483,330","1,884,795",
39,Working Capital,"676,463","1,095,169","1,526,086",
40,Invested Capital,"4,051,564","4,162,611","4,592,496",
41,Tangible Book Value,"1,066,909","1,483,330","1,884,795",
42,Total Debt,"3,651,601","3,371,971","3,047,483",
43,Net Debt,"1,104,001","432,892","197,992",
44,Share Issued,"76,988","76,663","76,305",
45,Ordinary Shares Number,"59,264","62,009","66,361",
46,Treasury Shares Number,"17,724","14,654","9,944",
47,Breakdown,ttm,12/31/2022,12/31/2021,12/31/2020
48,Operating Cash Flow,"269,532","722,222","1,112,262","969,688"
49,Investing Cash Flow,"-277,830","-424,448","-287,314","-266,897"
50,Financing Cash Flow,"130,118","-620,704","-1,064,112","-285,997"
51,End Cash Position,"313,024","269,282","601,428","834,992"
52,Income Tax Paid Supplemental Data,-,"94,605","177,317","146,073"
53,Interest Paid Supplemental Data,-,"46,159","36,372","34,011"
54,Capital Expenditure,"-279,523","-425,961","-289,639","-267,806"
55,Issuance of Capital Stock,-,-,"3,074","3,270"
56,Issuance of Debt,"6,316,571","2,383,618",0,"1,347,092"
57,Repayment of Debt,"-5,902,000","-2,051,081",0,"-1,102,568"
58,Repurchase of Capital Stock,"-90,109","-618,480","-906,208","-469,691"
59,Free Cash Flow,"-9,991","296,261","822,623","701,882"
