,Breakdown,ttm,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,0,0,0,0
1,Cost of Revenue,113.6,121.215,138.117,140.996
2,Gross Profit,-113.6,-121.215,-138.117,-140.996
3,Operating Expense,"2,982","3,592","3,978","2,894"
4,Operating Income,"-3,096","-3,714","-4,116","-3,035"
5,Net Non Operating Interest Income Expense,-153.309,-261.818,82.544,-407.111
6,Other Income Expense,"-7,156","-6,530","1,679",312.588
7,Pretax Income,"-10,405","-10,505","-2,354","-3,129"
8,Tax Provision,-,"1,341",314.141,0
9,Net Income Common Stockholders,"-11,747","-11,847","-2,668","-3,129"
10,Diluted NI Available to Com Stockholders,"-11,747","-11,847","-2,668","-3,129"
11,Basic EPS,-0.09,-0.09,-0.02,-0.03
12,Diluted EPS,-0.09,-0.09,-0.02,-0.03
13,Basic Average Shares,"137,221","137,221","133,843","117,264"
14,Diluted Average Shares,"137,221","137,221","133,843","117,264"
15,Rent Expense Supplemental,39.858,42.655,40.542,45.248
16,Total Expenses,"3,096","3,714","4,116","3,035"
17,Interest Income,414.895,253.869,490.245,40.196
18,Interest Expense,568.204,515.687,407.701,392.73
19,Net Interest Income,-153.309,-261.818,82.544,-407.111
20,Net Income from Continuing & Discontinued Operation,"-11,747","-11,847","-2,668","-3,129"
21,Normalized Income,"-4,590","-7,028","-3,903","-3,442"
22,EBIT,"-9,837","-9,990","-1,946","-2,737"
23,EBITDA,"-9,724","-9,868","-1,808","-2,596"
24,Reconciled Cost of Revenue,113.6,121.215,138.117,140.996
25,Reconciled Depreciation,113.6,121.215,138.117,140.996
26,Net Income from Continuing Operation Net Minority Interest,"-11,747","-11,847","-2,668","-3,129"
27,Total Unusual Items Excluding Goodwill,"-7,156","-6,530","1,679",312.588
28,Total Unusual Items,"-7,156","-6,530","1,679",312.588
29,Normalized EBITDA,"-2,567","-3,339","-3,488","-2,908"
30,Tax Rate for Calcs,0,0,0,0
31,Tax Effect of Unusual Items,0,"-1,711",445.0079,0
32,Breakdown,12/31/2022,12/31/2021,12/31/2020,
33,Total Assets,"78,050","87,232","76,449",
34,Total Liabilities Net Minority Interest,"8,235","7,048","5,271",
35,Total Equity Gross Minority Interest,"69,816","80,184","71,177",
36,Total Capitalization,"73,745","83,412","74,020",
37,Common Stock Equity,"69,816","80,184","71,177",
38,Capital Lease Obligations,465.93,548.607,170.731,
39,Net Tangible Assets,"69,816","80,184","71,177",
40,Working Capital,"7,463","10,651","3,083",
41,Invested Capital,"73,745","83,412","74,020",
42,Tangible Book Value,"69,816","80,184","71,177",
43,Total Debt,"4,395","3,776","3,013",
44,Net Debt,-,-,308.058,
45,Share Issued,"137,221","137,221","121,300",
46,Ordinary Shares Number,"137,221","137,221","121,300",
47,Breakdown,ttm,12/31/2022,12/31/2021,12/31/2020
48,Operating Cash Flow,"-1,579","-1,653","-1,600","-1,232"
49,Investing Cash Flow,-890.727,"-1,729","-2,795","-1,758"
50,Financing Cash Flow,-126.973,-130.056,"12,031","4,612"
51,End Cash Position,"4,671","6,658","10,170","2,535"
52,Capital Expenditure,-890.727,"-1,729","-2,795","-1,758"
53,Issuance of Capital Stock,-,0,"11,611","3,850"
54,Repayment of Debt,-126.973,-130.056,-144.253,-143.428
55,Free Cash Flow,"-2,470","-3,382","-4,395","-2,990"
