,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"299,781","299,781","305,504","416,326","308,404"
1,Pretax Income,"299,781","299,781","305,504","416,326","308,404"
2,Tax Provision,"35,597","35,597","31,339","30,483","29,024"
3,Net Income Common Stockholders,"264,184","264,184","274,165","385,843","279,380"
4,Average Dilution Earnings,0,0,2,30,-
5,Diluted NI Available to Com Stockholders,"264,184","264,184","274,167","385,873","279,380"
6,Basic EPS,2.21,-,2.69,3.88,2.88
7,Diluted EPS,2.21,-,2.69,3.88,2.88
8,Basic Average Shares,"112,198",-,"101,763","99,545","96,870"
9,Diluted Average Shares,"112,198",-,"101,764","99,556","96,897"
10,Net Income from Continuing & Discontinued Operation,"264,184","264,184","274,165","385,843","279,380"
11,Normalized Income,"264,184","264,184","274,165","385,843","279,380"
12,Net Income from Continuing Operation Net Minority Interest,"264,184","264,184","274,165","385,843","279,380"
13,Tax Rate for Calcs,0,0,0,0,0
14,Tax Effect of Unusual Items,0,0,0,0,0
15,Breakdown,12/31/2023,12/31/2022,12/31/2021,12/31/2020,
16,Total Assets,"2,077,540","2,074,626","1,623,764","1,606,033",
17,Total Liabilities Net Minority Interest,"1,295","1,623","2,140","1,876",
18,Total Equity Gross Minority Interest,"2,076,245","2,073,003","1,621,624","1,604,157",
19,Common Stock Equity,"2,076,245","2,073,003","1,621,624","1,604,157",
20,Net Tangible Assets,"2,076,245","2,073,003","1,621,624","1,604,157",
21,Tangible Book Value,"2,076,245","2,073,003","1,621,624","1,604,157",
22,Share Issued,"114,436","113,801","99,272","98,223",
23,Ordinary Shares Number,"114,436","113,801","99,272","98,223",
24,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
25,Operating Cash Flow,"293,975","293,975","362,614","355,109","270,014"
26,Investing Cash Flow,0,0,"-1,768","-3,402",-147
27,Financing Cash Flow,"-293,975","-293,975","-360,846","-351,707","-269,867"
28,End Cash Position,0,0,0,0,0
29,Free Cash Flow,"293,975","293,975","362,614","355,109","270,014"
