,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"54,318,000","54,318,000","58,054,000","56,197,000","45,804,000"
1,Cost of Revenue,"20,415,000","20,415,000","17,414,000","17,446,000","15,387,000"
2,Gross Profit,"33,903,000","33,903,000","40,640,000","38,751,000","30,417,000"
3,Operating Expense,"20,368,000","20,368,000","21,826,000","19,703,000","17,678,000"
4,Operating Income,"13,535,000","13,535,000","18,814,000","19,048,000","12,739,000"
5,Net Non Operating Interest Income Expense,"-1,684,000","-1,684,000","-2,044,000","-2,384,000","-2,280,000"
6,Other Income Expense,"-5,601,000","-5,601,000","-3,293,000","-3,675,000","-7,061,000"
7,Pretax Income,"6,250,000","6,250,000","13,477,000","12,989,000","3,398,000"
8,Tax Provision,"1,377,000","1,377,000","1,632,000","1,440,000","-1,224,000"
9,Net Income Common Stockholders,"4,820,000","4,820,000","11,782,000","11,468,000","4,556,000"
10,Diluted NI Available to Com Stockholders,"4,820,000","4,820,000","11,782,000","11,468,000","4,556,000"
11,Basic EPS,3.66,2.75,6.65,6.48,2.73
12,Diluted EPS,3.65,2.72,6.63,6.45,2.72
13,Basic Average Shares,"1,768,750","1,765,941","1,771,000","1,770,000","1,667,000"
14,Diluted Average Shares,"1,774,250","1,773,000","1,778,000","1,777,000","1,673,000"
15,Total Operating Income as Reported,"12,757,000","12,757,000","18,117,000","17,924,000","11,363,000"
16,Total Expenses,"40,783,000","40,783,000","39,240,000","37,149,000","33,065,000"
17,Net Income from Continuing & Discontinued Operation,"4,863,000","4,863,000","11,836,000","11,542,000","4,616,000"
18,Normalized Income,"5,583,720","5,583,720","12,578,755","12,586,575","5,672,310"
19,Interest Income,"540,000","540,000","186,000","39,000","174,000"
20,Interest Expense,"2,224,000","2,224,000","2,230,000","2,423,000","2,454,000"
21,Net Interest Income,"-1,684,000","-1,684,000","-2,044,000","-2,384,000","-2,280,000"
22,EBIT,"8,474,000","8,474,000","15,707,000","15,412,000","5,852,000"
23,EBITDA,"17,172,000","17,172,000","24,174,000","23,933,000","12,323,000"
24,Reconciled Cost of Revenue,"20,415,000","20,415,000","17,414,000","17,446,000","15,387,000"
25,Reconciled Depreciation,"8,698,000","8,698,000","8,467,000","8,521,000","6,471,000"
26,Net Income from Continuing Operation Net Minority Interest,"4,863,000","4,863,000","11,836,000","11,542,000","4,616,000"
27,Total Unusual Items Excluding Goodwill,"-924,000","-924,000","-845,000","-1,175,000","-1,447,000"
28,Total Unusual Items,"-924,000","-924,000","-845,000","-1,175,000","-1,447,000"
29,Normalized EBITDA,"18,096,000","18,096,000","25,019,000","25,108,000","13,770,000"
30,Tax Rate for Calcs,0,0,0,0,0
31,Tax Effect of Unusual Items,"-203,280","-203,280","-102,245","-130,425","-390,690"
32,Breakdown,12/31/2023,12/31/2022,12/31/2021,12/31/2020,
33,Total Assets,"134,711,000","138,805,000","146,529,000","150,565,000",
34,Total Liabilities Net Minority Interest,"124,314,000","121,518,000","131,093,000","137,468,000",
35,Total Equity Gross Minority Interest,"10,397,000","17,287,000","15,436,000","13,097,000",
36,Total Capitalization,"62,554,000","76,389,000","79,597,000","90,630,000",
37,Common Stock Equity,"10,360,000","17,254,000","15,408,000","13,076,000",
38,Net Tangible Assets,"-77,543,000","-82,341,000","-92,922,000","-102,924,000",
39,Working Capital,"-4,839,000","-1,075,000","-7,266,000","-4,488,000",
40,Invested Capital,"69,745,000","80,525,000","92,092,000","99,132,000",
41,Tangible Book Value,"-77,543,000","-82,341,000","-92,922,000","-102,924,000",
42,Total Debt,"59,385,000","63,271,000","76,684,000","86,056,000",
43,Net Debt,"46,571,000","54,070,000","66,938,000","77,607,000",
44,Share Issued,"1,823,046","1,813,770","1,803,195","1,792,141",
45,Ordinary Shares Number,"1,765,941","1,769,181","1,768,338","1,765,133",
46,Treasury Shares Number,"57,105","44,589","34,858","27,008",
47,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
48,Operating Cash Flow,"22,839,000","22,839,000","24,943,000","22,777,000","17,588,000"
49,Investing Cash Flow,"-2,009,000","-2,009,000","-623,000","-2,344,000","-37,557,000"
50,Financing Cash Flow,"-17,222,000","-17,222,000","-24,803,000","-19,039,000","-11,501,000"
51,End Cash Position,"12,814,000","12,814,000","9,201,000","9,746,000","8,449,000"
52,Income Tax Paid Supplemental Data,"4,702,000","4,702,000","2,988,000","3,648,000","1,674,000"
53,Interest Paid Supplemental Data,"2,469,000","2,469,000","2,546,000","2,712,000","2,619,000"
54,Capital Expenditure,"-777,000","-777,000","-695,000","-787,000","-798,000"
55,Issuance of Debt,0,0,"2,000,000","1,000,000","3,000,000"
56,Repayment of Debt,"-4,149,000","-4,149,000","-14,433,000","-9,414,000","-5,683,000"
57,Repurchase of Capital Stock,"-1,972,000","-1,972,000","-1,487,000","-934,000","-978,000"
58,Free Cash Flow,"22,062,000","22,062,000","24,248,000","21,990,000","16,790,000"
