,Breakdown,ttm,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"82,440,633","79,708,800","72,854,300","58,379,000"
1,Cost of Revenue,"40,975,598","40,422,100","35,659,700","27,066,100"
2,Gross Profit,"41,465,035","39,286,700","37,194,600","31,312,900"
3,Operating Expense,"23,075,671","21,884,000","20,004,200","15,250,900"
4,Operating Income,"18,389,364","17,402,700","17,190,400","16,062,000"
5,Net Non Operating Interest Income Expense,"-191,944","691,300","-28,300","846,800"
6,Other Income Expense,"-3,560,680","-3,858,400","-3,402,900","-3,414,400"
7,Pretax Income,"14,636,740","14,235,600","13,759,200","13,494,400"
8,Tax Provision,"-878,581","-655,600","636,600","1,762,500"
9,Net Income Common Stockholders,"15,081,117","14,457,900","12,671,000","11,379,400"
10,Diluted NI Available to Com Stockholders,"15,081,117","14,457,900","12,671,000","11,379,400"
11,Basic EPS,0.96,0.92,0.83,0.75
12,Diluted EPS,0.95,0.91,0.82,0.74
13,Basic Average Shares,"15,743,527","15,741,900","15,736,900","15,733,100"
14,Diluted Average Shares,"15,841,388","15,848,600","15,857,500","15,867,600"
15,Total Operating Income as Reported,"18,662,142","17,687,800","17,080,300","15,972,200"
16,Total Expenses,"64,051,269","62,306,100","55,663,900","42,317,000"
17,Net Income from Continuing & Discontinued Operation,"15,081,117","14,457,900","12,671,000","11,379,400"
18,Normalized Income,"17,444,825","16,985,238","15,806,003","14,310,234"
19,Interest Income,"1,864,899","2,204,800","1,144,100","2,256,100"
20,Interest Expense,"1,430,107","1,328,500","871,600","1,102,000"
21,Net Interest Income,"-191,944","691,300","-28,300","846,800"
22,EBIT,"16,066,847","15,564,100","14,630,800","14,596,400"
23,EBITDA,"22,601,395","21,520,400","20,027,500","19,763,800"
24,Reconciled Cost of Revenue,"40,975,598","40,422,100","35,659,700","27,066,100"
25,Reconciled Depreciation,"6,534,548","5,956,300","5,396,700","5,167,400"
26,Net Income from Continuing Operation Net Minority Interest,"15,081,117","14,457,900","12,671,000","11,379,400"
27,Total Unusual Items Excluding Goodwill,"-3,581,375","-3,829,300","-3,287,200","-3,371,100"
28,Total Unusual Items,"-3,581,375","-3,829,300","-3,287,200","-3,371,100"
29,Normalized EBITDA,"26,182,770","25,349,700","23,314,700","23,134,900"
30,Tax Rate for Calcs,0,0,0,0
31,Tax Effect of Unusual Items,"-1,217,667","-1,301,962","-152,197","-440,266"
32,Breakdown,12/31/2022,12/31/2021,12/31/2020,
33,Total Assets,"137,958,000","138,602,500","125,196,300",
34,Total Liabilities Net Minority Interest,"54,630,200","54,584,900","50,045,100",
35,Total Equity Gross Minority Interest,"83,327,800","84,017,600","75,151,200",
36,Total Capitalization,"82,409,900","82,910,200","74,154,100",
37,Common Stock Equity,"81,955,600","82,643,000","73,815,700",
38,Capital Lease Obligations,"3,117,400","2,639,300","2,121,100",
39,Net Tangible Assets,"32,139,400","31,542,700","26,211,600",
40,Working Capital,"-2,723,700","-239,200","1,864,500",
41,Invested Capital,"82,683,200","83,134,800","76,486,900",
42,Tangible Book Value,"32,139,400","31,542,700","26,211,600",
43,Total Debt,"3,845,000","3,131,100","4,792,300",
44,Share Issued,"15,750,235","15,744,470","15,735,118",
45,Ordinary Shares Number,"15,741,735","15,738,670","15,734,915",
46,Treasury Shares Number,"8,500","5,800",203,
47,Breakdown,ttm,12/31/2022,12/31/2021,12/31/2020
48,Operating Cash Flow,"22,573,164","20,642,100","22,901,300","18,855,800"
49,Investing Cash Flow,"-4,604,947","-5,004,200","-7,735,000","-6,799,600"
50,Financing Cash Flow,"-16,805,192","-16,337,800","-16,042,000","-8,602,000"
51,End Cash Position,"18,436,888","14,852,100","16,597,200","17,090,300"
52,Capital Expenditure,"-5,766,906","-6,533,100","-7,677,100","-4,692,700"
53,Issuance of Capital Stock,-,-,-,0
54,Issuance of Debt,"110,970","274,900","315,200","3,767,900"
55,Repayment of Debt,"-1,318,765","-1,084,900","-3,117,200","-2,541,400"
56,Repurchase of Capital Stock,-,-,-,"-7,400"
57,Free Cash Flow,"16,806,258","14,109,000","15,224,200","14,163,100"
