,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"14,802,700","14,802,700","15,433,900","9,837,700","7,131,800"
1,Cost of Revenue,"12,046,900","12,046,900","12,333,300","7,935,500","5,908,400"
2,Gross Profit,"2,755,800","2,755,800","3,100,600","1,902,200","1,223,400"
3,Operating Expense,"1,685,100","1,685,100","1,828,000","1,110,400","829,600"
4,Operating Income,"1,070,700","1,070,700","1,272,600","791,800","393,800"
5,Net Non Operating Interest Income Expense,"-165,700","-165,700","-160,600","-102,100","-74,500"
6,Other Income Expense,"-103,700","-103,700","207,100","8,000","18,700"
7,Pretax Income,"801,300","801,300","1,319,100","697,700","338,100"
8,Tax Provision,"198,800","198,800","321,800","165,300","83,800"
9,Net Income Common Stockholders,"602,500","602,500","997,300","532,400","254,400"
10,Diluted NI Available to Com Stockholders,"602,500","602,500","997,300","532,400","254,400"
11,Basic EPS,41.97,28.87,44.78,26.75,13.25
12,Diluted EPS,41.80,28.74,44.61,26.49,13.18
13,Basic Average Shares,"21,325","20,900","22,300","19,900","19,200"
14,Diluted Average Shares,"21,425","21,000","22,400","20,100","19,300"
15,Total Operating Income as Reported,"953,500","953,500","1,272,600","791,800","370,800"
16,Rent Expense Supplemental,"119,000","119,000","121,700","37,600","32,200"
17,Total Expenses,"13,732,000","13,732,000","14,161,300","9,045,900","6,738,000"
18,Net Income from Continuing & Discontinued Operation,"602,500","602,500","997,300","532,400","254,400"
19,Normalized Income,"680,482","680,482","840,732","526,296","240,338"
20,Interest Expense,"165,700","165,700","160,600","102,100","74,500"
21,Net Interest Income,"-165,700","-165,700","-160,600","-102,100","-74,500"
22,EBIT,"967,000","967,000","1,479,700","799,800","412,600"
23,EBITDA,"1,034,700","1,034,700","1,548,700","841,700","451,100"
24,Reconciled Cost of Revenue,"12,046,900","12,046,900","12,333,300","7,935,500","5,908,400"
25,Reconciled Depreciation,"67,700","67,700","69,000","41,900","38,500"
26,Net Income from Continuing Operation Net Minority Interest,"602,500","602,500","997,300","532,400","254,400"
27,Total Unusual Items Excluding Goodwill,"-103,700","-103,700","207,100","8,000","18,700"
28,Total Unusual Items,"-103,700","-103,700","207,100","8,000","18,700"
29,Normalized EBITDA,"1,138,400","1,138,400","1,341,600","833,700","432,400"
30,Tax Rate for Calcs,0,0,0,0,0
31,Tax Effect of Unusual Items,"-25,718","-25,718","50,532","1,896","4,638"
32,Breakdown,12/31/2023,12/31/2022,12/31/2021,12/31/2020,
33,Total Assets,"10,159,400","8,021,400","8,002,600","3,676,300",
34,Total Liabilities Net Minority Interest,"6,915,300","5,118,100","5,887,100","2,770,800",
35,Total Equity Gross Minority Interest,"3,244,100","2,903,300","2,115,500","905,500",
36,Total Capitalization,"6,365,300","6,120,100","5,635,600","2,070,700",
37,Common Stock Equity,"3,244,100","2,903,300","2,115,500","905,500",
38,Capital Lease Obligations,"248,300","242,000","267,800","328,500",
39,Net Tangible Assets,"-860,700","-680,200","-1,491,900","-81,900",
40,Working Capital,"181,400","876,400","331,500","182,300",
41,Invested Capital,"8,475,000","6,350,100","6,408,900","2,942,200",
42,Tangible Book Value,"-860,700","-680,200","-1,491,900","-81,900",
43,Total Debt,"5,479,200","3,688,800","4,561,200","2,365,200",
44,Net Debt,"5,185,200","3,211,500","4,114,500","2,035,300",
45,Share Issued,"20,577","43,594","45,052","41,134",
46,Ordinary Shares Number,"20,577","21,569","23,138","19,285",
47,Treasury Shares Number,-,"22,024","21,914","21,848",
48,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
49,Operating Cash Flow,"313,000","313,000","696,000","1,163,700","652,500"
50,Investing Cash Flow,"-1,678,400","-1,678,400","464,700","-3,917,000","-820,800"
51,Financing Cash Flow,"1,175,800","1,175,800","-1,104,300","2,930,800","166,200"
52,End Cash Position,"45,700","45,700","235,300","178,900","1,400"
53,Capital Expenditure,"-142,300","-142,300","-107,900","-82,000","-48,800"
54,Issuance of Capital Stock,0,0,"1,400","666,900",0
55,Issuance of Debt,"8,970,900","8,970,900","7,736,500","7,970,300","6,326,200"
56,Repayment of Debt,"-7,514,800","-7,514,800","-8,545,200","-5,669,800","-6,150,200"
57,Repurchase of Capital Stock,"-20,500","-279,100","-296,600","-10,400","-5,100"
58,Free Cash Flow,"170,700","170,700","588,100","1,081,700","603,700"
