,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"40,109,000","40,109,000","43,653,000","43,075,000","34,608,000"
1,Cost of Revenue,"17,975,000","17,975,000","19,142,000","18,537,000","15,003,000"
2,Gross Profit,"22,134,000","22,134,000","24,511,000","24,538,000","19,605,000"
3,Operating Expense,"15,656,000","15,656,000","16,149,000","16,113,000","14,248,000"
4,Operating Income,"6,478,000","6,478,000","8,362,000","8,425,000","5,357,000"
5,Net Non Operating Interest Income Expense,"-252,000","-252,000","-375,000","-490,000","-500,000"
6,Other Income Expense,"438,000","438,000","319,000","276,000","111,000"
7,Pretax Income,"6,664,000","6,664,000","8,306,000","8,211,000","4,968,000"
8,Tax Provision,"941,000","941,000","1,373,000","1,140,000","497,000"
9,Net Income Common Stockholders,"5,723,000","5,723,000","6,933,000","7,071,000","4,495,000"
10,Diluted NI Available to Com Stockholders,"5,723,000","5,723,000","6,933,000","7,071,000","4,495,000"
11,Basic EPS,2.95,3.30,3.94,3.97,2.54
12,Diluted EPS,2.94,3.26,3.91,3.94,2.50
13,Basic Average Shares,"1,741,035","1,734,076","1,753,000","1,775,000","1,771,230"
14,Diluted Average Shares,"1,750,670","1,749,000","1,764,000","1,789,000","1,786,000"
15,Total Operating Income as Reported,"6,478,000","6,478,000","8,362,000","8,425,000","5,357,000"
16,Total Expenses,"33,631,000","33,631,000","35,291,000","34,650,000","29,251,000"
17,Net Income from Continuing & Discontinued Operation,"5,723,000","5,723,000","6,933,000","7,071,000","4,495,000"
18,Normalized Income,"5,758,219","5,758,219","6,934,670","7,071,861","4,463,800"
19,Interest Income,"385,000","385,000","183,000","43,000","46,000"
20,Interest Expense,"637,000","637,000","558,000","533,000","546,000"
21,Net Interest Income,"-252,000","-252,000","-375,000","-490,000","-500,000"
22,EBIT,"7,301,000","7,301,000","8,864,000","8,744,000","5,514,000"
23,EBITDA,"10,544,000","10,544,000","12,131,000","12,282,000","8,841,000"
24,Reconciled Cost of Revenue,"16,698,000","16,698,000","17,888,000","17,046,000","13,808,000"
25,Reconciled Depreciation,"3,243,000","3,243,000","3,267,000","3,538,000","3,327,000"
26,Net Income from Continuing Operation Net Minority Interest,"5,723,000","5,723,000","6,933,000","7,071,000","4,471,000"
27,Total Unusual Items Excluding Goodwill,"-41,000","-41,000","-2,000","-1,000","8,000"
28,Total Unusual Items,"-41,000","-41,000","-2,000","-1,000","8,000"
29,Normalized EBITDA,"10,585,000","10,585,000","12,133,000","12,283,000","8,833,000"
30,Tax Rate for Calcs,0,0,0,0,0
31,Tax Effect of Unusual Items,"-5,781","-5,781",-330,-139,800
32,Breakdown,12/31/2023,12/31/2022,12/31/2021,12/31/2020,
33,Total Assets,"73,214,000","74,438,000","75,196,000","72,548,000",
34,Total Liabilities Net Minority Interest,"34,387,000","37,533,000","39,172,000","39,545,000",
35,Total Equity Gross Minority Interest,"38,827,000","36,905,000","36,024,000","33,003,000",
36,Total Capitalization,"52,202,000","51,208,000","53,098,000","51,311,000",
37,Common Stock Equity,"38,603,000","36,686,000","35,802,000","32,784,000",
38,Capital Lease Obligations,"949,000","943,000","956,000","902,000",
39,Net Tangible Assets,"6,109,000","3,433,000","-168,000","-5,744,000",
40,Working Capital,"8,829,000","9,735,000","11,134,000","8,534,000",
41,Invested Capital,"53,282,000","53,459,000","53,852,000","51,531,000",
42,Tangible Book Value,"6,109,000","3,433,000","-168,000","-5,744,000",
43,Total Debt,"15,628,000","17,716,000","19,006,000","19,649,000",
44,Net Debt,"7,783,000","6,891,000","8,251,000","11,909,000",
45,Share Issued,"1,987,884","1,986,519","1,985,273","1,981,157",
46,Ordinary Shares Number,"1,734,076","1,737,795","1,764,082","1,771,230",
47,Treasury Shares Number,"253,807","248,724","221,191","209,927",
48,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
49,Operating Cash Flow,"7,261,000","7,261,000","9,581,000","10,533,000","7,901,000"
50,Investing Cash Flow,"-3,133,000","-3,133,000","-1,740,000","-2,008,000","-2,215,000"
51,Financing Cash Flow,"-7,091,000","-7,091,000","-7,636,000","-5,494,000","-2,779,000"
52,End Cash Position,"6,896,000","6,896,000","9,882,000","9,799,000","6,838,000"
53,Income Tax Paid Supplemental Data,"1,475,000","1,475,000","1,864,000","1,941,000","970,000"
54,Interest Paid Supplemental Data,"662,000","662,000","563,000","544,000","549,000"
55,Capital Expenditure,"-2,202,000","-2,202,000","-1,777,000","-1,885,000","-2,177,000"
56,Issuance of Debt,"2,000","2,000","7,000","4,000","1,281,000"
57,Repayment of Debt,"-2,498,000","-2,498,000","-753,000","-48,000","-1,333,000"
58,Repurchase of Capital Stock,"-1,227,000","-1,227,000","-3,795,000","-2,299,000","-403,000"
59,Free Cash Flow,"5,059,000","5,059,000","7,804,000","8,648,000","5,724,000"
