,Breakdown,ttm,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"12,683","15,228","20,924","18,983"
1,Cost of Revenue,"17,246","18,883","24,457","19,436"
2,Gross Profit,"-4,563","-3,655","-3,533",-453
3,Operating Expense,"12,384","7,607","15,543","12,016"
4,Operating Income,"-16,947","-11,262","-19,076","-12,469"
5,Net Non Operating Interest Income Expense,"24,796","10,437","11,799","8,495"
6,Other Income Expense,"39,016","-59,640","88,616","33,857"
7,Pretax Income,"46,865","-60,465","81,339","29,883"
8,Tax Provision,"9,137","-14,943","17,705","9,374"
9,Net Income Common Stockholders,"37,451","-48,907","59,203","18,816"
10,Diluted NI Available to Com Stockholders,"37,451","-48,907","59,203","18,816"
11,Basic EPS,1.59,-2.22,2.68,0.84
12,Diluted EPS,1.59,-2.22,2.68,0.84
13,Basic Average Shares,"21,876","22,024","22,120","22,369"
14,Diluted Average Shares,"21,876","22,024","22,120","22,369"
15,Total Operating Income as Reported,-,"-11,262","-19,076","-12,469"
16,Total Expenses,"29,630","26,490","40,000","31,452"
17,Net Income from Continuing & Discontinued Operation,"37,451","-48,907","59,203","18,816"
18,Normalized Income,"6,043","-4,006","-10,095","-3,788"
19,Interest Income,"24,796","10,653","12,109","8,675"
20,Interest Expense,-,216,310,180
21,Net Interest Income,"24,796","10,437","11,799","8,495"
22,EBIT,"-16,947","-60,249","81,649","30,063"
23,EBITDA,"-16,947","-59,908","82,028","30,115"
24,Reconciled Cost of Revenue,"17,246","18,883","24,457","19,436"
25,Reconciled Depreciation,-,341,379,52
26,Net Income from Continuing Operation Net Minority Interest,"37,451","-48,907","59,203","19,448"
27,Total Unusual Items Excluding Goodwill,"39,016","-59,640","88,616","33,857"
28,Total Unusual Items,"39,016","-59,640","88,616","33,857"
29,Normalized EBITDA,"-55,963",-268,"-6,588","-3,742"
30,Tax Rate for Calcs,0,0,0,0
31,Tax Effect of Unusual Items,"7,608","-14,739","19,318","10,621"
32,Breakdown,12/31/2022,12/31/2021,12/31/2020,
33,Total Assets,"927,690","1,203,336","1,174,545",
34,Total Liabilities Net Minority Interest,"37,494","267,990","273,156",
35,Total Equity Gross Minority Interest,"890,196","935,346","901,389",
36,Total Capitalization,"890,196","937,102","898,938",
37,Common Stock Equity,"890,196","937,102","898,938",
38,Net Tangible Assets,"886,677","933,583","895,419",
39,Working Capital,"408,752","568,691","547,011",
40,Invested Capital,"890,196","937,102","898,938",
41,Tangible Book Value,"886,677","933,583","895,419",
42,Share Issued,"25,592","25,592","25,623",
43,Ordinary Shares Number,"21,990","22,058","22,305",
44,Treasury Shares Number,"3,602","3,768","3,552",
45,Breakdown,ttm,12/31/2022,12/31/2021,12/31/2020
46,Operating Cash Flow,-,"-70,552","238,194","-279,369"
47,Investing Cash Flow,-,402,"65,285","-174,072"
48,Financing Cash Flow,-,"-37,175","-14,394","150,949"
49,End Cash Position,-,"221,269","328,594","39,509"
50,Income Tax Paid Supplemental Data,-,"4,024","16,741","2,000"
51,Interest Paid Supplemental Data,-,216,310,177
52,Capital Expenditure,-,-,-,"-11,084"
53,Issuance of Debt,-,-,-,0
54,Repayment of Debt,-,-,-,0
55,Repurchase of Capital Stock,-,"-2,575","-7,644","-7,441"
56,Free Cash Flow,-,"-70,552","238,194","-290,453"
