,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"2,307,900","2,307,900","2,242,800","2,036,400","1,935,600"
1,Cost of Revenue,"1,864,100","1,864,100","1,831,700","1,680,500","1,553,600"
2,Gross Profit,"443,800","443,800","411,100","355,900","382,000"
3,Operating Expense,"261,100","261,100","262,800","256,000","223,100"
4,Operating Income,"182,700","182,700","148,300","99,900","158,900"
5,Net Non Operating Interest Income Expense,"-23,400","-23,400","-29,900","-23,400","-10,200"
6,Other Income Expense,"36,600","36,600","197,800","7,100","-10,500"
7,Pretax Income,"195,900","195,900","316,200","83,600","138,200"
8,Tax Provision,"36,700","36,700","70,400","14,000","31,600"
9,Net Income Common Stockholders,"158,600","158,600","244,800","69,200","105,800"
10,Average Dilution Earnings,0,0,0,0,0
11,Diluted NI Available to Com Stockholders,"158,600","158,600","244,800","69,200","105,800"
12,Basic EPS,5.91,-,5.08,1.44,2.20
13,Diluted EPS,5.88,-,5.05,1.42,2.18
14,Basic Average Shares,"48,425",-,"48,200","48,100","48,000"
15,Diluted Average Shares,"48,650",-,"48,500","48,600","48,500"
16,Total Operating Income as Reported,"217,300","217,300","349,000","107,300","151,800"
17,Total Expenses,"2,125,200","2,125,200","2,094,500","1,936,500","1,776,700"
18,Net Income from Continuing & Discontinued Operation,"159,200","159,200","245,800","69,600","106,600"
19,Normalized Income,"129,688","129,688","92,420","63,936","114,850"
20,Interest Income,"4,700","4,700","1,100",0,400
21,Interest Expense,"28,100","28,100","31,000","23,400","10,600"
22,Net Interest Income,"-23,400","-23,400","-29,900","-23,400","-10,200"
23,EBIT,"224,000","224,000","347,200","107,000","148,800"
24,EBITDA,"383,500","383,500","501,300","251,300","263,300"
25,Reconciled Cost of Revenue,"1,864,100","1,864,100","1,831,700","1,680,500","1,553,600"
26,Reconciled Depreciation,"159,500","159,500","154,100","144,300","114,500"
27,Net Income from Continuing Operation Net Minority Interest,"159,200","159,200","245,800","69,600","106,600"
28,Total Unusual Items Excluding Goodwill,"36,300","36,300","197,400","6,800","-10,700"
29,Total Unusual Items,"36,300","36,300","197,400","6,800","-10,700"
30,Normalized EBITDA,"347,200","347,200","303,900","244,500","274,000"
31,Tax Rate for Calcs,0,0,0,0,0
32,Tax Effect of Unusual Items,"6,788","6,788","44,020","1,136","-2,450"
33,Breakdown,12/31/2023,12/31/2022,12/31/2021,12/31/2020,
34,Total Assets,"3,577,900","3,340,600","3,188,100","2,646,700",
35,Total Liabilities Net Minority Interest,"1,245,900","1,156,200","1,234,800","754,500",
36,Total Equity Gross Minority Interest,"2,332,000","2,184,400","1,953,300","1,892,200",
37,Total Capitalization,"2,893,900","2,720,300","2,618,000","2,140,400",
38,Common Stock Equity,"2,332,000","2,184,400","1,953,300","1,892,200",
39,Net Tangible Assets,"1,070,600","969,800","798,100","885,300",
40,Working Capital,"480,800","489,100","403,900","354,600",
41,Invested Capital,"2,900,700","2,735,000","2,632,800","2,146,700",
42,Tangible Book Value,"1,070,600","969,800","798,100","885,300",
43,Total Debt,"568,700","550,600","679,500","254,500",
44,Net Debt,"463,900","390,200","606,600","158,700",
45,Share Issued,"48,562","48,400","48,300","48,200",
46,Ordinary Shares Number,"48,562","48,400","48,300","48,200",
47,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
48,Operating Cash Flow,"261,000","261,000","174,300","166,500","259,900"
49,Investing Cash Flow,"-285,800","-285,800","90,700","-570,300","-528,200"
50,Financing Cash Flow,"-30,800","-30,800","-177,500","380,900","123,700"
51,End Cash Position,"104,800","104,800","160,400","72,900","95,800"
52,Income Tax Paid Supplemental Data,"13,600","13,600","21,900","2,900",-
53,Capital Expenditure,"-203,500","-203,500","-138,000","-85,100","-82,100"
54,Issuance of Debt,"160,000","160,000","80,000","500,000","251,400"
55,Repayment of Debt,"-143,800","-143,800","-220,200","-83,200","-104,900"
56,Repurchase of Capital Stock,"-25,200","-25,200","-27,500","-19,500","-11,800"
57,Free Cash Flow,"57,500","57,500","36,300","81,400","177,800"
