,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"1,832,800","1,832,800","1,947,600","2,025,300","1,655,200"
1,Cost of Revenue,"1,234,500","1,234,500","1,395,300","1,410,400","1,162,800"
2,Gross Profit,"598,300","598,300","552,300","614,900","492,400"
3,Operating Expense,"438,700","438,700","413,700","431,000","369,100"
4,Operating Income,"159,600","159,600","138,600","183,900","123,300"
5,Net Non Operating Interest Income Expense,"-51,500","-51,500","-37,300","-44,400","-37,800"
6,Other Income Expense,"-121,200","-121,200","-86,400","-28,100","-6,900"
7,Pretax Income,"-13,100","-13,100","14,900","111,400","78,600"
8,Tax Provision,"8,700","8,700","28,100","9,500","16,600"
9,Net Income Common Stockholders,"-21,800","-21,800","-13,200","101,900","62,000"
10,Diluted NI Available to Com Stockholders,"-21,800","-21,800","-13,200","101,900","62,000"
11,Basic EPS,0.59,-0.23,-0.14,1.07,0.65
12,Diluted EPS,0.58,-0.23,-0.14,1.05,0.65
13,Basic Average Shares,"95,000","95,300","95,300","95,500","94,900"
14,Diluted Average Shares,"96,200","95,300","95,300","97,100","96,100"
15,Total Operating Income as Reported,"44,700","44,700","34,800","151,000","112,400"
16,Total Expenses,"1,673,200","1,673,200","1,809,000","1,841,400","1,531,900"
17,Net Income from Continuing & Discontinued Operation,"-21,800","-21,800","-13,200","101,900","62,000"
18,Normalized Income,"70,393","70,393","65,247","124,775","70,600"
19,Interest Income,"7,100","7,100","8,300","1,900","1,000"
20,Interest Expense,"58,600","58,600","45,600","46,300","38,800"
21,Net Interest Income,"-51,500","-51,500","-37,300","-44,400","-37,800"
22,EBIT,"45,500","45,500","60,500","157,700","117,400"
23,EBITDA,"121,600","121,600","139,900","243,400","188,100"
24,Reconciled Cost of Revenue,"1,201,800","1,201,800","1,357,400","1,371,000","1,124,900"
25,Reconciled Depreciation,"76,100","76,100","79,400","85,700","70,700"
26,Net Income from Continuing Operation Net Minority Interest,"-21,800","-21,800","-13,200","101,900","62,000"
27,Total Unusual Items Excluding Goodwill,"-116,700","-116,700","-99,300","-25,000","-10,900"
28,Total Unusual Items,"-116,700","-116,700","-99,300","-25,000","-10,900"
29,Normalized EBITDA,"238,300","238,300","239,200","268,400","199,000"
30,Tax Rate for Calcs,0,0,0,0,0
31,Tax Effect of Unusual Items,"-24,507","-24,507","-20,853","-2,125","-2,300"
32,Breakdown,12/31/2023,12/31/2022,12/31/2021,12/31/2020,
33,Total Assets,"2,644,800","2,794,700","3,091,300","3,048,700",
34,Total Liabilities Net Minority Interest,"1,857,800","1,984,600","2,226,500","2,306,000",
35,Total Equity Gross Minority Interest,"787,000","810,100","864,800","742,700",
36,Total Capitalization,"1,669,200","1,746,600","1,818,900","1,797,300",
37,Common Stock Equity,"787,000","810,100","864,800","742,700",
38,Capital Lease Obligations,"97,300","96,400","113,400","99,100",
39,Net Tangible Assets,"-618,700","-708,400","-839,900","-1,061,700",
40,Working Capital,"313,400","293,300","216,300","171,300",
41,Invested Capital,"1,705,900","1,806,600","1,861,900","1,873,800",
42,Tangible Book Value,"-618,700","-708,400","-839,900","-1,061,700",
43,Total Debt,"1,016,200","1,092,900","1,110,500","1,230,200",
44,Net Debt,"852,500","934,300","955,900","1,094,500",
45,Share Issued,"99,820","98,852","100,118","99,129",
46,Ordinary Shares Number,"94,926","94,261","95,818","94,943",
47,Treasury Shares Number,"4,894","4,591","4,301","4,187",
48,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
49,Operating Cash Flow,"128,700","128,700","77,600","159,600","119,200"
50,Investing Cash Flow,"-11,200","-11,200","-9,300","-5,800","-354,700"
51,Financing Cash Flow,"-117,700","-117,700","-48,300","-147,200","244,700"
52,End Cash Position,"66,400","66,400","62,200","41,200","36,600"
53,Income Tax Paid Supplemental Data,"44,300","44,300","37,500","28,000","32,200"
54,Interest Paid Supplemental Data,"55,600","55,600","42,600","37,600","36,000"
55,Capital Expenditure,"-13,800","-13,800","-16,500","-21,200","-15,300"
56,Issuance of Debt,"121,900","121,900","237,400","663,400","440,700"
57,Repayment of Debt,"-209,400","-209,400","-220,500","-766,300","-151,900"
58,Repurchase of Capital Stock,0,0,"-19,400",0,"-18,900"
59,Free Cash Flow,"114,900","114,900","61,100","138,400","103,900"
