,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"1,170,420","1,170,420","969,797","734,707","316,352"
1,Cost of Revenue,"817,195","817,195","670,901","494,032","211,086"
2,Gross Profit,"353,225","353,225","298,896","240,675","105,266"
3,Operating Expense,"245,818","245,818","202,041","170,483","129,945"
4,Operating Income,"107,407","107,407","96,855","70,192","-24,679"
5,Net Non Operating Interest Income Expense,"-33,144","-33,144","-21,637","-12,702","-13,707"
6,Other Income Expense,"-8,539","-8,539","19,544","-10,914","21,058"
7,Pretax Income,"65,724","65,724","94,762","46,576","-17,328"
8,Tax Provision,"20,121","20,121","20,660","15,017","-16,918"
9,Net Income Common Stockholders,"45,603","45,603","74,102","31,559",-410
10,Diluted NI Available to Com Stockholders,"45,603","45,603","74,102","31,559",-410
11,Basic EPS,0.50,-,0.82,0.34,-0.00
12,Diluted EPS,0.49,-,0.81,0.33,-0.02
13,Basic Average Shares,"86,884",-,"90,629","93,781","83,045"
14,Diluted Average Shares,"87,537",-,"91,229","94,638","83,113"
15,Total Operating Income as Reported,"107,407","107,407","96,855","70,192","-24,679"
16,Total Expenses,"1,063,013","1,063,013","872,942","664,515","341,031"
17,Net Income from Continuing & Discontinued Operation,"45,603","45,603","74,102","31,559",-410
18,Normalized Income,"51,529","51,529","58,819","38,954","-15,782"
19,Interest Expense,"33,144","33,144","21,637","12,702","13,707"
20,Net Interest Income,"-33,144","-33,144","-21,637","-12,702","-13,707"
21,EBIT,"98,868","98,868","116,399","59,278","-3,621"
22,EBITDA,"157,985","157,985","163,178","105,954","39,956"
23,Reconciled Cost of Revenue,"817,195","817,195","670,901","494,032","211,086"
24,Reconciled Depreciation,"59,117","59,117","46,779","46,676","43,577"
25,Net Income from Continuing Operation Net Minority Interest,"45,603","45,603","74,102","31,559",-410
26,Total Unusual Items Excluding Goodwill,"-8,539","-8,539","19,544","-10,914","21,058"
27,Total Unusual Items,"-8,539","-8,539","19,544","-10,914","21,058"
28,Normalized EBITDA,"166,524","166,524","143,634","116,868","18,898"
29,Tax Rate for Calcs,0,0,0,0,0
30,Tax Effect of Unusual Items,"-2,613","-2,613","4,261","-3,519","5,686"
31,Breakdown,12/31/2023,12/31/2022,12/31/2021,12/31/2020,
32,Total Assets,"912,893","862,769","616,073","560,241",
33,Total Liabilities Net Minority Interest,"714,489","684,179","457,612","432,370",
34,Total Equity Gross Minority Interest,"198,404","178,590","158,461","127,871",
35,Total Capitalization,"712,495","697,156","482,483","449,762",
36,Common Stock Equity,"198,404","178,590","158,461","127,871",
37,Net Tangible Assets,"-480,853","-447,725","-54,323","-100,868",
38,Working Capital,"202,944","209,307","176,160","99,594",
39,Invested Capital,"740,978","720,622","499,983","468,012",
40,Tangible Book Value,"-480,853","-447,725","-54,323","-100,868",
41,Total Debt,"542,574","542,032","341,522","340,141",
42,Net Debt,"280,963","317,919","142,736","205,690",
43,Share Issued,"95,017","94,504","94,112","93,380",
44,Ordinary Shares Number,"84,123","86,674","93,411","93,380",
45,Treasury Shares Number,"10,894","7,830",701.305,-,
46,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
47,Operating Cash Flow,"132,530","132,530","107,999","110,755","-3,705"
48,Investing Cash Flow,"-59,793","-59,793","-189,263","-34,544","-61,435"
49,Financing Cash Flow,"-35,239","-35,239","106,591","-11,876","74,188"
50,End Cash Position,"261,611","261,611","224,113","198,786","134,451"
51,Income Tax Paid Supplemental Data,"11,741","11,741","7,662","8,589",0
52,Interest Paid Supplemental Data,"30,248","30,248","19,942","9,647","12,854"
53,Capital Expenditure,"-81,744","-81,744","-47,379","-29,753","-25,761"
54,Issuance of Capital Stock,-,-,0,0,"90,422"
55,Issuance of Debt,"169,000","169,000","240,000","54,338","114,000"
56,Repayment of Debt,"-169,017","-169,017","-44,625","-55,688","-124,938"
57,Repurchase of Capital Stock,"-30,072","-30,072","-79,002","-8,983",0
58,Free Cash Flow,"50,786","50,786","60,620","81,002","-29,466"
