,Breakdown,ttm,9/30/2023,9/30/2022,9/30/2021,9/30/2020
0,Total Revenue,"14,896,026","14,378,461","13,148,182","13,340,852","13,239,976"
1,Cost of Revenue,"13,921,579","13,432,996","12,300,208","12,542,431","12,530,416"
2,Gross Profit,"974,447","945,465","847,974","798,421","709,560"
3,Operating Expense,"153,687","153,575","147,309","155,072","188,535"
4,Operating Income,"820,760","791,890","700,665","643,349","521,025"
5,Net Non Operating Interest Income Expense,"-117,432","-119,091","-102,064","-231,632","-159,914"
6,Other Income Expense,"-476,305","-459,399","-47,919","-2,913","-128,508"
7,Pretax Income,"227,023","213,400","550,682","408,804","232,603"
8,Tax Provision,"56,945","56,052","136,051","89,011","45,753"
9,Net Income Common Stockholders,"61,825","55,332","310,611","173,185","-186,370"
10,Diluted NI Available to Com Stockholders,"61,825","55,332","310,611","173,185","-186,370"
11,Basic EPS,0.40,0.40,2.21,1.18,-1.17
12,Diluted EPS,0.39,0.39,2.18,1.16,-1.17
13,Basic Average Shares,"138,614","138,614","140,768","147,279","159,005"
14,Diluted Average Shares,"140,109","140,109","142,696","149,676","161,292"
15,Total Operating Income as Reported,"335,513","324,134","646,804","629,553","381,461"
16,Total Expenses,"14,075,266","13,586,571","12,447,517","12,697,503","12,718,951"
17,Net Income from Continuing & Discontinued Operation,"61,825","55,332","310,611","173,185","-186,370"
18,Normalized Income,"245,135","251,393","471,488","328,191","305,462"
19,Interest Income,"46,467","40,251","8,210","6,720",-
20,Interest Expense,"163,899","159,342","110,274","238,352","159,914"
21,Net Interest Income,"-117,432","-119,091","-102,064","-231,632","-159,914"
22,EBIT,"390,922","372,742","660,956","647,156","392,517"
23,EBITDA,"566,372","548,467","831,842","823,556","629,893"
24,Reconciled Cost of Revenue,"13,921,579","13,432,996","12,300,208","12,542,431","12,530,416"
25,Reconciled Depreciation,"175,450","175,725","170,886","176,400","237,376"
26,Net Income from Continuing Operation Net Minority Interest,"119,931","112,539","390,540","289,998","154,221"
27,Total Unusual Items Excluding Goodwill,"-167,125","-188,404","-107,501","-48,840","-188,345"
28,Total Unusual Items,"-167,125","-188,404","-107,501","-48,840","-188,345"
29,Normalized EBITDA,"733,497","736,871","939,343","872,396","818,238"
30,Tax Rate for Calcs,0,0,0,0,0
31,Tax Effect of Unusual Items,"-41,921","-49,550","-26,553","-10,647","-37,104"
32,Breakdown,9/30/2023,9/30/2022,9/30/2021,9/30/2020,
33,Total Assets,"11,233,398","11,139,315","11,733,954","12,998,951",
34,Total Liabilities Net Minority Interest,"8,849,687","8,533,936","8,904,377","9,585,407",
35,Total Equity Gross Minority Interest,"2,383,711","2,605,379","2,829,577","3,413,544",
36,Total Capitalization,"4,325,701","4,633,340","4,870,210","5,333,694",
37,Common Stock Equity,"2,212,332","2,476,654","2,712,470","3,292,558",
38,Capital Lease Obligations,"548,851","595,308","679,059","745,287",
39,Net Tangible Assets,"-1,224,398","-939,707","-844,929","-268,563",
40,Working Capital,"319,228","418,639","651,828","1,439,912",
41,Invested Capital,"4,415,155","4,681,946","4,924,048","5,354,568",
42,Tangible Book Value,"-1,224,398","-939,707","-844,929","-268,563",
43,Total Debt,"2,751,674","2,800,600","2,890,637","2,807,297",
44,Net Debt,"942,617","1,033,083","982,382","353,678",
45,Share Issued,"136,211","138,934","143,169","157,045",
46,Ordinary Shares Number,"136,211","138,934","143,169","157,045",
47,Treasury Shares Number,0,-,-,-,
48,Breakdown,ttm,9/30/2023,9/30/2022,9/30/2021,9/30/2020
49,Operating Cash Flow,"719,029","695,980","713,636","704,670","329,622"
50,Investing Cash Flow,"-179,728","-138,177","-175,034","-421,087","2,037,437"
51,Financing Cash Flow,"-507,835","-472,935","-588,315","-872,533","-1,627,970"
52,End Cash Position,"1,194,147","1,260,206","1,172,209","1,229,196","1,708,332"
53,Income Tax Paid Supplemental Data,-,"78,448","104,742","114,464","71,031"
54,Interest Paid Supplemental Data,-,"153,975","104,644","255,679","201,402"
55,Capital Expenditure,"-125,476","-105,600","-137,017","-136,262","-114,591"
56,Issuance of Capital Stock,"33,955","32,897","26,666","25,686","26,388"
57,Issuance of Debt,"3,862,439","3,506,668","3,618,585","3,638,916","4,452,078"
58,Repayment of Debt,"-3,912,272","-3,552,639","-3,657,308","-3,641,099","-5,833,828"
59,Repurchase of Capital Stock,"-401,412","-379,284","-472,970","-867,091","-186,953"
60,Free Cash Flow,"593,553","590,380","576,619","568,408","215,031"
