,Breakdown,ttm,10/31/2023,10/31/2022,10/31/2021,10/31/2020
0,Total Revenue,"31,544","31,544","-59,001","35,766","-3,451"
1,Pretax Income,"30,270","30,270","-59,725","34,987","-4,101"
2,Net Income Common Stockholders,"28,170","28,170","-61,796","33,966","-4,101"
3,Diluted NI Available to Com Stockholders,"28,170","28,170","-61,796","33,966","-4,101"
4,Basic EPS,1.04,-,-2.48,2.09,-0.20
5,Diluted EPS,1.04,-,-2.48,2.09,-0.20
6,Basic Average Shares,"52,110",-,"24,918","23,262","20,503"
7,Diluted Average Shares,"52,110",-,"24,918","23,262","20,503"
8,Net Income from Continuing & Discontinued Operation,"30,270","30,270","-59,725","34,987","-4,101"
9,Normalized Income,"30,270","30,270","-59,725","34,987","-4,101"
10,Net Income from Continuing Operation Net Minority Interest,"30,270","30,270","-59,725","34,987","-4,101"
11,Tax Rate for Calcs,0,0,0,0,0
12,Tax Effect of Unusual Items,0,0,0,0,0
13,Breakdown,10/31/2023,10/31/2022,10/31/2021,10/31/2020,
14,Total Assets,"486,069","300,675","409,136","263,973",
15,Total Liabilities Net Minority Interest,"146,225","134,025","166,058","87,102",
16,Total Equity Gross Minority Interest,"339,844","166,650","243,077","176,871",
17,Total Capitalization,"444,844","254,650","361,077","258,071",
18,Preferred Stock Equity,-,-,"40,000",-,
19,Common Stock Equity,"339,844","166,650","243,077","176,871",
20,Net Tangible Assets,"339,844","166,650","243,077","176,871",
21,Invested Capital,"444,844","254,650","361,077","258,071",
22,Tangible Book Value,"339,844","166,650","243,077","176,871",
23,Total Debt,"105,000","88,000","118,000","81,200",
24,Net Debt,"104,978","86,840","118,000","79,606",
25,Share Issued,"52,110","24,817","23,262","17,432",
26,Ordinary Shares Number,"52,110","24,817","23,262","17,432",
27,Preferred Shares Number,"1,600","1,600","1,600",-,
28,Treasury Shares Number,0,-,-,-,
29,Breakdown,ttm,10/31/2023,10/31/2022,10/31/2021,10/31/2020
30,Operating Cash Flow,-855.011,-855.011,"48,397","-110,150","-25,739"
31,Financing Cash Flow,"-32,474","-32,474","-47,235","108,552","26,306"
32,End Cash Position,21.506,21.506,"1,160",0,"1,594"
33,Issuance of Capital Stock,"3,983","3,983","13,840","38,155",-
34,Issuance of Debt,"87,000","87,000","4,000","46,800","9,200"
35,Repayment of Debt,"-70,000","-70,000","-34,000","-10,000",-
36,Free Cash Flow,-855.011,-855.011,"48,397","-110,150","-25,739"
