,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"191,501","191,501","193,962","182,088","164,003"
1,Cost of Revenue,"119,291","119,291","130,404","117,287","104,408"
2,Gross Profit,"72,210","72,210","63,559","64,800","59,595"
3,Operating Expense,"59,022","59,022","57,285","52,030","48,182"
4,Operating Income,"13,189","13,189","6,273","12,770","11,413"
5,Net Non Operating Interest Income Expense,"-2,977","-2,977","-2,364",-908.223,-919.709
6,Other Income Expense,"12,523","12,523",-246.396,"3,313",-666.227
7,Pretax Income,"22,735","22,735","3,662","15,175","9,827"
8,Tax Provision,"4,941","4,941",627.679,"1,519","1,728"
9,Net Income Common Stockholders,"17,793","17,793","3,035","13,656","8,099"
10,Diluted NI Available to Com Stockholders,"17,793","17,793","3,035","13,656","8,099"
11,Basic EPS,1.68,-,0.86,3.93,2.42
12,Diluted EPS,1.68,-,0.82,3.45,2.31
13,Basic Average Shares,"3,552",-,"3,528","3,471","3,343"
14,Diluted Average Shares,"3,581",-,"3,719","3,955","3,509"
15,Total Operating Income as Reported,"13,189","13,189","6,273","12,770","11,413"
16,Total Expenses,"178,312","178,312","187,689","169,318","152,590"
17,Interest Income,119.317,119.317,31.97,13.742,24.654
18,Interest Expense,"3,096","3,096","2,396",921.965,944.363
19,Net Interest Income,"-2,977","-2,977","-2,364",-908.223,-919.709
20,Net Income from Continuing & Discontinued Operation,"17,793","17,793","3,035","13,656","8,099"
21,Normalized Income,"7,993","7,993","3,035","10,498","8,099"
22,EBIT,"25,831","25,831","6,059","16,097","10,771"
23,EBITDA,"30,899","30,899","10,637","20,145","14,523"
24,Reconciled Cost of Revenue,"119,291","119,291","130,404","117,287","104,408"
25,Reconciled Depreciation,"5,068","5,068","4,578","4,049","3,752"
26,Net Income from Continuing Operation Net Minority Interest,"17,793","17,793","3,035","13,656","8,099"
27,Total Unusual Items Excluding Goodwill,"12,564","12,564",0,"3,508",0
28,Total Unusual Items,"12,564","12,564",0,"3,508",0
29,Normalized EBITDA,"18,335","18,335","10,637","16,637","14,523"
30,Tax Rate for Calcs,0,0,0,0,0
31,Tax Effect of Unusual Items,"2,764","2,764",0,350.8047,0
32,Breakdown,12/31/2023,12/31/2022,12/31/2021,12/31/2020,
33,Total Assets,"149,241","164,377","144,439","129,868",
34,Total Liabilities Net Minority Interest,"51,343","85,347","67,357","67,151",
35,Total Equity Gross Minority Interest,"97,899","79,030","77,082","62,716",
36,Total Capitalization,"121,287","139,639","121,200","107,903",
37,Common Stock Equity,"97,899","79,030","77,082","62,716",
38,Capital Lease Obligations,"2,125","2,814","3,365","2,527",
39,Net Tangible Assets,"70,708","50,051","55,052","39,195",
40,Working Capital,"66,012","83,473","74,976","63,485",
41,Invested Capital,"121,287","139,639","121,200","107,903",
42,Tangible Book Value,"70,708","50,051","55,052","39,195",
43,Total Debt,"25,933","63,827","47,871","47,980",
44,Net Debt,"18,593","54,509","39,275","41,019",
45,Share Issued,"5,190","5,083","5,066","4,841",
46,Ordinary Shares Number,"3,645","3,538","3,521","3,339",
47,Treasury Shares Number,"1,545","1,545","1,545","1,502",
48,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
49,Operating Cash Flow,"28,899","28,899","2,892","5,141","5,721"
50,Investing Cash Flow,"7,427","7,427","-14,227","-6,373","-13,952"
51,Financing Cash Flow,"-38,441","-38,441","14,277","2,043","5,291"
52,End Cash Position,"5,546","5,546","7,600","4,843","4,167"
53,Income Tax Paid Supplemental Data,"5,772","5,772",978.378,874.996,755.337
54,Interest Paid Supplemental Data,"3,179","3,179","2,124",908.781,930.357
55,Capital Expenditure,"-4,975","-4,975","-4,604","-6,373","-2,569"
56,Issuance of Capital Stock,"1,453","1,453",84.715,"3,089",58.754
57,Issuance of Debt,-,-,"16,848","11,469","9,035"
58,Repayment of Debt,"-37,245","-37,245",-401.41,"-8,908",-266.667
59,Repurchase of Capital Stock,-,-,0,"-1,473",-286.988
60,Free Cash Flow,"23,924","23,924","-1,713","-1,232","3,152"
