,Breakdown,ttm,1/31/2023,1/31/2022,1/31/2021
0,Total Revenue,"-36,372","-36,372","1,181","133,572"
1,Pretax Income,"-38,095","-38,095",-907,"131,684"
2,Net Income Common Stockholders,"-38,095","-38,095",-907,"131,684"
3,Diluted NI Available to Com Stockholders,"-38,095","-38,095",-907,"131,684"
4,Basic EPS,-3.67,-,-0.08,12.72
5,Diluted EPS,-3.67,-,-0.08,12.72
6,Basic Average Shares,"10,380",-,"11,338","10,353"
7,Diluted Average Shares,"10,380",-,"11,338","10,353"
8,Net Income from Continuing & Discontinued Operation,"-38,095","-38,095",-907,"131,684"
9,Normalized Income,"-38,095","-38,095",-907,"131,684"
10,Net Income from Continuing Operation Net Minority Interest,"-38,095","-38,095",-907,"131,684"
11,Tax Rate for Calcs,0,0,0,0
12,Tax Effect of Unusual Items,0,0,0,0
13,Breakdown,1/31/2023,1/31/2022,1/31/2021,
14,Total Assets,"332,332","392,984","478,445",
15,Total Liabilities Net Minority Interest,"112,479","110,636","114,546",
16,Total Equity Gross Minority Interest,"219,853","282,348","363,899",
17,Total Capitalization,"294,853","357,348","438,899",
18,Common Stock Equity,"219,853","282,348","363,899",
19,Net Tangible Assets,"219,853","282,348","363,899",
20,Invested Capital,"294,853","357,348","438,899",
21,Tangible Book Value,"219,853","282,348","363,899",
22,Total Debt,"75,000","75,000","75,000",
23,Net Debt,"74,899","74,900","74,872",
24,Share Issued,"10,363","10,362","10,354",
25,Ordinary Shares Number,"10,363","10,362","10,354",
26,Breakdown,ttm,1/31/2023,1/31/2022,1/31/2021
27,Operating Cash Flow,"24,415","24,415","80,480","24,417"
28,Financing Cash Flow,"-24,400","-24,400","-80,508","-24,509"
29,End Cash Position,119,119,100,127.671
30,Issuance of Debt,0,0,-,-
31,Repayment of Debt,0,0,-,-
32,Free Cash Flow,"24,415","24,415","80,480","24,417"
