,Breakdown,ttm,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"96,896,000","101,556,000","85,249,000","64,355,000"
1,Cost of Revenue,"89,361,000","93,986,000","79,262,000","59,902,000"
2,Gross Profit,"7,535,000","7,570,000","5,987,000","4,453,000"
3,Operating Expense,"3,434,000","3,358,000","2,994,000","2,687,000"
4,Operating Income,"4,101,000","4,212,000","2,993,000","1,766,000"
5,Net Non Operating Interest Income Expense,"-71,000","-103,000","-169,000","-228,000"
6,Other Income Expense,"743,000","1,124,000","489,000","345,000"
7,Pretax Income,"4,773,000","5,233,000","3,313,000","1,883,000"
8,Tax Provision,"825,000","868,000","578,000","101,000"
9,Net Income Common Stockholders,"3,937,000","4,340,000","2,709,000","1,772,000"
10,Diluted NI Available to Com Stockholders,"3,937,000","4,340,000","2,709,000","1,772,000"
11,Basic EPS,7.20,7.93,4.84,3.19
12,Diluted EPS,7.19,7.71,4.79,3.15
13,Basic Average Shares,"547,000","547,000","560,000","556,000"
14,Diluted Average Shares,"548,000","563,000","566,000","563,000"
15,Total Expenses,"92,795,000","97,344,000","82,256,000","62,589,000"
16,Net Income from Continuing & Discontinued Operation,"3,937,000","4,340,000","2,709,000","1,772,000"
17,Normalized Income,"4,028,814","4,329,992","2,791,600","2,104,046"
18,Interest Income,"545,000","293,000","96,000","111,000"
19,Interest Expense,"616,000","396,000","265,000","339,000"
20,Net Interest Income,"-71,000","-103,000","-169,000","-228,000"
21,EBIT,"5,389,000","5,629,000","3,578,000","2,222,000"
22,EBITDA,"6,425,000","6,657,000","4,574,000","3,198,000"
23,Reconciled Cost of Revenue,"89,361,000","93,986,000","79,262,000","59,902,000"
24,Reconciled Depreciation,"1,036,000","1,028,000","996,000","976,000"
25,Net Income from Continuing Operation Net Minority Interest,"3,937,000","4,340,000","2,709,000","1,772,000"
26,Total Unusual Items Excluding Goodwill,"-111,000","12,000","-100,000","-351,000"
27,Total Unusual Items,"-111,000","12,000","-100,000","-351,000"
28,Normalized EBITDA,"6,536,000","6,645,000","4,674,000","3,549,000"
29,Tax Rate for Calcs,0,0,0,0
30,Tax Effect of Unusual Items,"-19,186","1,992","-17,400","-18,954"
31,Breakdown,12/31/2022,12/31/2021,12/31/2020,
32,Total Assets,"59,774,000","56,136,000","49,719,000",
33,Total Liabilities Net Minority Interest,"35,158,000","33,369,000","29,623,000",
34,Total Equity Gross Minority Interest,"24,616,000","22,767,000","20,096,000",
35,Total Capitalization,"32,019,000","30,488,000","27,885,000",
36,Common Stock Equity,"24,284,000","22,477,000","20,000,000",
37,Capital Lease Obligations,"1,108,000","1,042,000","1,124,000",
38,Net Tangible Assets,"17,740,000","15,730,000","14,415,000",
39,Working Capital,"11,219,000","9,961,000","9,104,000",
40,Invested Capital,"33,464,000","32,016,000","29,929,000",
41,Tangible Book Value,"17,740,000","15,730,000","14,415,000",
42,Total Debt,"10,288,000","10,581,000","11,053,000",
43,Net Debt,"8,143,000","8,596,000","9,263,000",
44,Share Issued,"547,000","560,000","556,000",
45,Ordinary Shares Number,"547,000","560,000","556,000",
46,Breakdown,ttm,12/31/2022,12/31/2021,12/31/2020
47,Operating Cash Flow,"2,021,000","3,478,000","6,595,000","-2,386,000"
48,Investing Cash Flow,"-1,513,000","-1,400,000","-2,669,000","4,465,000"
49,Financing Cash Flow,"-2,935,000","-2,499,000","-1,118,000","-423,000"
50,End Cash Position,"5,063,000","7,033,000","7,454,000","4,646,000"
51,Income Tax Paid Supplemental Data,-,"708,000","553,000","195,000"
52,Interest Paid Supplemental Data,-,"409,000","276,000","345,000"
53,Capital Expenditure,"-1,533,000","-1,319,000","-1,169,000","-823,000"
54,Issuance of Debt,"500,000","752,000","1,329,000","1,791,000"
55,Repayment of Debt,"-963,000","-482,000","-534,000","-2,136,000"
56,Repurchase of Capital Stock,"-1,368,000","-1,450,000",0,"-133,000"
57,Free Cash Flow,"488,000","2,159,000","5,426,000","-3,209,000"
