,Breakdown,ttm,9/30/2023,9/30/2022,9/30/2021,9/30/2020
0,Total Revenue,"15,356,000","15,395,000","14,121,000","13,680,000","12,670,000"
1,Cost of Revenue,"14,308,000","14,362,000","13,314,000","12,854,000","12,078,000"
2,Gross Profit,"1,048,000","1,033,000","807,000","826,000","592,000"
3,Operating Expense,"589,000","587,000","588,000","513,000","572,000"
4,Operating Income,"459,000","446,000","219,000","313,000","20,000"
5,Net Non Operating Interest Income Expense,"-193,000","-191,000","-212,000","-281,000","-223,000"
6,Other Income Expense,"30,000","40,000","47,000","1,407,000","-226,000"
7,Pretax Income,"296,000","295,000","54,000","1,439,000","-429,000"
8,Tax Provision,"-11,000",0,"94,000","249,000","57,000"
9,Net Income Common Stockholders,"213,000","205,000","-120,000","1,108,000","-547,000"
10,Diluted NI Available to Com Stockholders,"213,000","205,000","-120,000","1,108,000","-547,000"
11,Basic EPS,2.17,2.17,-1.27,11.76,-5.83
12,Diluted EPS,2.15,2.15,-1.27,11.58,-5.83
13,Basic Average Shares,"94,500","94,500","94,800","94,200","93,800"
14,Diluted Average Shares,"95,400","95,400","94,800","95,700","93,800"
15,Total Expenses,"14,897,000","14,949,000","13,902,000","13,367,000","12,650,000"
16,Net Income from Continuing & Discontinued Operation,"213,000","205,000","-120,000","1,108,000","-547,000"
17,Normalized Income,"251,710","249,000","-97,880","1,171,676","-365,960"
18,Interest Income,"27,000","22,000","9,000","7,000","11,000"
19,Interest Expense,"200,000","193,000","199,000","256,000","216,000"
20,Net Interest Income,"-193,000","-191,000","-212,000","-281,000","-223,000"
21,EBIT,"496,000","488,000","253,000","1,695,000","-213,000"
22,EBITDA,"838,000","828,000","603,000","2,025,000","119,000"
23,Reconciled Cost of Revenue,"14,308,000","14,362,000","13,314,000","12,854,000","12,078,000"
24,Reconciled Depreciation,"342,000","340,000","350,000","330,000","332,000"
25,Net Income from Continuing Operation Net Minority Interest,"213,000","205,000","-120,000","1,108,000","-547,000"
26,Total Unusual Items Excluding Goodwill,"-49,000","-44,000","-28,000","-77,000","-248,000"
27,Total Unusual Items,"-49,000","-44,000","-28,000","-77,000","-248,000"
28,Normalized EBITDA,"887,000","872,000","631,000","2,102,000","367,000"
29,Tax Rate for Calcs,0,0,0,0,0
30,Tax Effect of Unusual Items,"-10,290",0,"-5,880","-13,324","-66,960"
31,Breakdown,9/30/2023,9/30/2022,9/30/2021,9/30/2020,
32,Total Assets,"9,424,000","9,158,000","10,778,000","10,261,000",
33,Total Liabilities Net Minority Interest,"6,821,000","6,738,000","7,820,000","8,683,000",
34,Total Equity Gross Minority Interest,"2,603,000","2,420,000","2,958,000","1,578,000",
35,Total Capitalization,"4,629,000","4,637,000","5,888,000","5,310,000",
36,Common Stock Equity,"2,228,000","2,073,000","2,376,000","1,213,000",
37,Net Tangible Assets,"-274,000","-451,000","-391,000","-1,287,000",
38,Working Capital,"578,000","662,000","1,575,000","663,000",
39,Invested Capital,"4,763,000","4,651,000","6,072,000","5,520,000",
40,Tangible Book Value,"-274,000","-451,000","-391,000","-1,287,000",
41,Total Debt,"2,535,000","2,578,000","3,696,000","4,307,000",
42,Net Debt,"1,425,000","1,631,000","2,175,000","2,615,000",
43,Share Issued,"93,698","94,858","94,378","93,894",
44,Ordinary Shares Number,"93,698","94,858","94,378","93,894",
45,Treasury Shares Number,0,-,-,-,
46,Breakdown,ttm,9/30/2023,9/30/2022,9/30/2021,9/30/2020
47,Operating Cash Flow,"664,000","667,000","274,000","260,000","246,000"
48,Investing Cash Flow,"-223,000","-229,000","484,000","347,000","166,000"
49,Financing Cash Flow,"-357,000","-271,000","-1,273,000","-770,000","393,000"
50,End Cash Position,"985,000","1,110,000","947,000","1,521,000","1,692,000"
51,Capital Expenditure,"-246,000","-252,000","-227,000","-260,000","-326,000"
52,Issuance of Debt,"1,000,000","1,002,000",0,"214,000","600,000"
53,Repayment of Debt,"-1,102,000","-1,104,000","-987,000","-895,000","-108,000"
54,Repurchase of Capital Stock,"-165,000","-65,000",0,0,-
55,Free Cash Flow,"418,000","415,000","47,000",0,"-80,000"
