,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"4,982,659","4,982,659","5,168,330","4,202,723","5,314,787"
1,Cost of Revenue,"1,008,466","1,008,466","1,200,492","772,785","1,516,528"
2,Gross Profit,"3,974,193","3,974,193","3,967,838","3,429,938","3,798,259"
3,Operating Expense,"2,890,559","2,890,559","3,278,656","3,380,988","3,637,411"
4,Operating Income,"1,083,634","1,083,634","689,182","48,950","160,848"
5,Net Non Operating Interest Income Expense,"-572,150","-572,150","-264,265","-456,825","-708,189"
6,Other Income Expense,"-578,011","-578,011","-275,771","-67,959","-231,578"
7,Pretax Income,"-66,527","-66,527","149,146","-475,834","-778,919"
8,Tax Provision,"4,585","4,585","37,682","-131,657","-146,726"
9,Earnings from Equity Interest Net of Tax,"6,572","6,572","-4,601",0,0
10,Net Income Common Stockholders,"463,009","463,009","132,663","-340,820","-632,193"
11,Diluted NI Available to Com Stockholders,"463,009","463,009","132,663","-340,820","-632,193"
12,Basic EPS,0.09,0.51,0.15,-0.41,-0.82
13,Diluted EPS,0.09,0.51,0.15,-0.41,-0.82
14,Basic Average Shares,"855,208","911,588","903,210","825,365","776,338"
15,Diluted Average Shares,"976,556","911,588","903,210","825,365","778,427"
16,Total Operating Income as Reported,"510,286","510,286","470,979","9,791","40,640"
17,Total Expenses,"3,899,025","3,899,025","4,479,148","4,153,773","5,153,939"
18,Net Income from Continuing & Discontinued Operation,"463,009","463,009","132,663","-340,820","-632,193"
19,Normalized Income,"401,536","401,536","269,937","-289,032","-437,418"
20,Interest Expense,"572,150","572,150","264,265","456,825","708,189"
21,Net Interest Income,"-572,150","-572,150","-264,265","-456,825","-708,189"
22,EBIT,"505,623","505,623","413,411","-19,009","-70,730"
23,EBITDA,"1,894,294","1,894,294","2,106,986","1,895,770","1,843,037"
24,Reconciled Cost of Revenue,"970,775","970,775","1,122,747","697,664","1,516,528"
25,Reconciled Depreciation,"1,388,671","1,388,671","1,693,575","1,914,779","1,913,767"
26,Net Income from Continuing Operation Net Minority Interest,"-64,540","-64,540","106,863","-344,177","-632,193"
27,Total Unusual Items Excluding Goodwill,"-589,969","-589,969","-218,203","-76,272","-239,871"
28,Total Unusual Items,"-589,969","-589,969","-218,203","-76,272","-239,871"
29,Normalized EBITDA,"2,484,263","2,484,263","2,325,189","1,972,042","2,082,908"
30,Tax Rate for Calcs,0,0,0,0,0
31,Tax Effect of Unusual Items,"-123,893","-123,893","-55,129","-21,127","-45,096"
32,Breakdown,12/31/2023,12/31/2022,12/31/2021,12/31/2020,
33,Total Assets,"15,964,094","17,821,236","16,894,351","16,116,936",
34,Total Liabilities Net Minority Interest,"12,175,448","14,428,088","13,645,632","13,077,600",
35,Total Equity Gross Minority Interest,"3,788,646","3,393,148","3,248,719","3,039,336",
36,Total Capitalization,"11,311,995","12,339,867","12,823,817","12,487,116",
37,Common Stock Equity,"3,788,646","3,393,148","3,248,719","3,039,336",
38,Capital Lease Obligations,"15,979","20,741","37,359","30,689",
39,Net Tangible Assets,"-5,992,746","-6,964,243","-8,108,035","-8,103,656",
40,Working Capital,"-475,514","-939,107","-710,814","-328,698",
41,Invested Capital,"11,632,607","13,197,491","12,941,409","12,531,880",
42,Tangible Book Value,"-5,992,746","-6,964,243","-8,108,035","-8,103,656",
43,Total Debt,"7,859,940","9,825,084","9,730,049","9,523,233",
44,Net Debt,"7,829,340","9,547,120","9,668,237","9,287,546",
45,Share Issued,"921,821","916,843","901,570","825,758",
46,Ordinary Shares Number,"921,821","916,843","901,570","825,758",
47,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
48,Operating Cash Flow,"1,657,726","1,657,726","1,887,920","1,649,723","1,366,749"
49,Investing Cash Flow,"242,493","242,493","-1,532,784","-1,695,745","-1,137,477"
50,Financing Cash Flow,"-2,143,849","-2,143,849","-14,833","-128,448","-70,261"
51,End Cash Position,"129,950","129,950","373,580","33,277","207,747"
52,Income Tax Paid Supplemental Data,-,-,"22,654","1,877","25,802"
53,Interest Paid Supplemental Data,-,-,"452,105","456,509","510,185"
54,Capital Expenditure,"-806,888","-806,888","-911,299","-862,922","-575,546"
55,Issuance of Capital Stock,0,0,"1,180,000",0,"447,811"
56,Issuance of Debt,"1,148,825","1,148,825","826,861","1,449,275","2,640,000"
57,Repayment of Debt,"-3,205,916","-3,205,916","-771,098","-1,381,538","-3,054,798"
58,Repurchase of Capital Stock,0,0,"-1,200,000",0,-4
59,Free Cash Flow,"850,838","850,838","976,621","786,801","791,203"
