,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"567,046","567,046","-458,784","638,993","361,697"
1,Pretax Income,"552,922","552,922","-471,124","625,091","349,945"
2,Net Income Common Stockholders,"552,922","552,922","-471,124","625,091","349,945"
3,Diluted NI Available to Com Stockholders,"552,922","552,922","-471,124","625,091","349,945"
4,Basic EPS,3.15,-,-3.99,5.59,3.21
5,Diluted EPS,3.15,-,-3.99,5.59,3.21
6,Basic Average Shares,"119,620",-,"118,076","111,823","109,017"
7,Diluted Average Shares,"120,780",-,"118,076","111,823","109,017"
8,Rent Expense Supplemental,787.394,787.394,794.442,712.59,718.028
9,Net Income from Continuing & Discontinued Operation,"552,922","552,922","-471,124","625,091","349,945"
10,Normalized Income,"552,922","552,922","-471,124","625,091","349,945"
11,Net Income from Continuing Operation Net Minority Interest,"552,922","552,922","-471,124","625,091","349,945"
12,Tax Rate for Calcs,0,0,0,0,0
13,Tax Effect of Unusual Items,0,0,0,0,0
14,Breakdown,12/31/2023,12/31/2022,12/31/2021,12/31/2020,
15,Total Assets,"2,561,405","2,128,443","2,681,654","2,234,974",
16,Total Liabilities Net Minority Interest,"11,012","27,705","29,126","7,701",
17,Total Equity Gross Minority Interest,"2,550,393","2,100,738","2,652,528","2,227,273",
18,Common Stock Equity,"2,550,393","2,100,738","2,652,528","2,227,273",
19,Net Tangible Assets,"2,550,393","2,100,738","2,652,528","2,227,273",
20,Tangible Book Value,"2,550,393","2,100,738","2,652,528","2,227,273",
21,Share Issued,"124,028","120,865","117,825","111,027",
22,Ordinary Shares Number,"124,028","120,865","117,825","111,027",
23,Breakdown,ttm,,,,
