,Breakdown,ttm,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"3,263,984","3,366,917","2,025,204","1,022,422"
1,Cost of Revenue,"3,229,489","3,343,428","1,995,344","1,017,885"
2,Gross Profit,"34,495","23,489","29,860","4,537"
3,Operating Expense,"16,722","17,718","13,701","10,284"
4,Operating Income,"17,773","5,771","16,159","-5,747"
5,Net Non Operating Interest Income Expense,162,-366,-503,212
6,Pretax Income,"17,935","5,405","15,656","-5,535"
7,Tax Provision,"4,354","1,918","3,768","-6,530"
8,Net Income Common Stockholders,"13,581","3,487","11,888",995
9,Diluted NI Available to Com Stockholders,"11,888","3,487","11,888",995
10,Basic EPS,-1.17,0.86,2.78,0.23
11,Diluted EPS,-1.17,0.85,2.75,0.23
12,Basic Average Shares,"2,672","2,495","4,276","4,240"
13,Diluted Average Shares,"2,710","2,495","4,323","4,254"
14,Total Operating Income as Reported,"17,773","5,771","16,159","-5,747"
15,Total Expenses,"3,246,211","3,361,146","2,009,045","1,028,169"
16,Interest Income,675,921,243,656
17,Interest Expense,513,"1,287",746,444
18,Net Interest Income,162,-366,-503,212
19,Net Income from Continuing & Discontinued Operation,"13,581","3,487","11,888",995
20,Normalized Income,"13,581","3,487","11,888",995
21,EBIT,"18,448","6,692","16,402","-5,091"
22,EBITDA,"39,651","29,399","36,199","13,482"
23,Reconciled Cost of Revenue,"1,995,344","3,343,428","1,995,344","1,017,885"
24,Reconciled Depreciation,"21,203","22,707","19,797","18,573"
25,Net Income from Continuing Operation Net Minority Interest,"13,581","3,487","11,888",995
26,Normalized EBITDA,"39,651","29,399","36,199","13,482"
27,Tax Rate for Calcs,0,0,0,0
28,Tax Effect of Unusual Items,0,0,0,0
29,Breakdown,12/31/2022,12/31/2021,12/31/2020,
30,Total Assets,"384,159","374,703","296,187",
31,Total Liabilities Net Minority Interest,"290,982","214,317","147,095",
32,Total Equity Gross Minority Interest,"93,177","160,386","149,092",
33,Total Capitalization,"117,552","160,386","149,092",
34,Common Stock Equity,"93,177","160,386","149,092",
35,Capital Lease Obligations,"24,186","20,451","23,669",
36,Net Tangible Assets,"77,004","157,069","144,986",
37,Working Capital,"19,083","87,199","72,965",
38,Invested Capital,"117,552","160,386","149,092",
39,Tangible Book Value,"77,004","157,069","144,986",
40,Total Debt,"48,561","20,451","23,669",
41,Net Debt,"3,843",-,-,
42,Share Issued,"2,495","4,355","4,244",
43,Ordinary Shares Number,"2,495","4,355","4,244",
44,Breakdown,ttm,12/31/2022,12/31/2021,12/31/2020
45,Operating Cash Flow,"32,626","13,777","81,026","-43,999"
46,Investing Cash Flow,"-39,900","-36,003","-10,096","-19,663"
47,Financing Cash Flow,"-1,234","-54,024","-15,678","-6,528"
48,End Cash Position,"93,914","31,067","107,317","52,065"
49,Income Tax Paid Supplemental Data,-,-,"2,251",418
50,Interest Paid Supplemental Data,-,-,746,444
51,Capital Expenditure,"-9,250","-7,491","-12,382","-5,008"
52,Issuance of Capital Stock,609,"1,724","2,830",0
53,Issuance of Debt,"45,000","117,000","8,000",0
54,Repayment of Debt,"-42,618","-97,366","-12,367","-2,336"
55,Repurchase of Capital Stock,-,"-69,928",0,0
56,Free Cash Flow,"23,376","6,286","68,644","-49,007"
