,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"7,500,000","7,500,000","7,957,000","6,394,000","5,794,000"
1,Cost of Revenue,"4,033,000","4,033,000","4,614,000","3,403,000","2,936,000"
2,Gross Profit,"3,467,000","3,467,000","3,343,000","2,991,000","2,858,000"
3,Operating Expense,"1,909,000","1,909,000","1,828,000","1,658,000","1,558,000"
4,Operating Income,"1,558,000","1,558,000","1,515,000","1,333,000","1,300,000"
5,Net Non Operating Interest Income Expense,"-533,000","-533,000","-451,000","-356,000","-419,000"
6,Other Income Expense,"315,000","315,000","191,000","175,000","151,000"
7,Pretax Income,"1,340,000","1,340,000","1,255,000","1,152,000","1,032,000"
8,Tax Provision,"183,000","183,000","176,000","157,000","155,000"
9,Net Income Common Stockholders,"1,152,000","1,152,000","1,074,000","990,000","871,000"
10,Diluted NI Available to Com Stockholders,"1,152,000","1,152,000","1,074,000","990,000","871,000"
11,Basic EPS,4.42,-,4.16,3.86,3.53
12,Diluted EPS,4.41,-,4.14,3.84,3.50
13,Basic Average Shares,"261,625",-,"258,400","256,300","247,000"
14,Diluted Average Shares,"262,425",-,"259,500","257,600","248,700"
15,Total Operating Income as Reported,"1,558,000","1,558,000","1,515,000","1,333,000","1,300,000"
16,Total Expenses,"5,942,000","5,942,000","6,442,000","5,061,000","4,494,000"
17,Interest Income,"33,000","33,000","35,000","27,000",-
18,Interest Expense,"566,000","566,000","486,000","383,000","419,000"
19,Net Interest Income,"-533,000","-533,000","-451,000","-356,000","-419,000"
20,Net Income from Continuing & Discontinued Operation,"1,152,000","1,152,000","1,074,000","990,000","871,000"
21,Normalized Income,"1,105,375","1,105,375","1,037,030","953,020","871,000"
22,EBIT,"1,906,000","1,906,000","1,741,000","1,535,000","1,451,000"
23,EBITDA,"3,406,000","3,406,000","3,179,000","2,812,000","2,604,000"
24,Reconciled Cost of Revenue,"3,920,000","3,920,000","4,465,000","3,272,000","2,858,000"
25,Reconciled Depreciation,"1,500,000","1,500,000","1,438,000","1,277,000","1,153,000"
26,Net Income from Continuing Operation Net Minority Interest,"1,152,000","1,152,000","1,074,000","990,000","871,000"
27,Total Unusual Items Excluding Goodwill,"5,000","54,000","43,000","43,000",-
28,Total Unusual Items,"5,000","54,000","43,000","43,000",-
29,Normalized EBITDA,"3,352,000","3,352,000","3,136,000","2,769,000","2,604,000"
30,Tax Rate for Calcs,0,0,0,0,0
31,Tax Effect of Unusual Items,"7,375","7,375","6,030","6,020",0
32,Breakdown,12/31/2023,12/31/2022,12/31/2021,12/31/2020,
33,Total Assets,"40,830,000","37,904,000","35,735,000","32,030,000",
34,Total Liabilities Net Minority Interest,"29,352,000","27,267,000","25,906,000","22,950,000",
35,Total Equity Gross Minority Interest,"11,478,000","10,637,000","9,829,000","9,080,000",
36,Total Capitalization,"26,470,000","24,193,000","22,262,000","20,016,000",
37,Common Stock Equity,"11,349,000","10,508,000","9,700,000","8,938,000",
38,Net Tangible Assets,"10,938,000","10,097,000","9,289,000","8,527,000",
39,Working Capital,"-1,164,000","-698,000","-858,000","-527,000",
40,Invested Capital,"27,855,000","25,603,000","23,312,000","20,514,000",
41,Tangible Book Value,"10,938,000","10,097,000","9,289,000","8,527,000",
42,Total Debt,"16,506,000","15,095,000","13,612,000","11,576,000",
43,Net Debt,"16,481,000","15,085,000","13,604,000","11,437,000",
44,Share Issued,"266,300","262,000","257,700","253,300",
45,Ordinary Shares Number,"266,300","262,000","257,700","253,300",
