,Breakdown,ttm,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"11,267","-124,675","-7,311","53,676"
1,Pretax Income,"9,970","-126,078","-8,846","52,086"
2,Net Income Common Stockholders,"9,970","-126,078","-8,846","52,086"
3,Diluted NI Available to Com Stockholders,"9,970","-126,078","-8,846","52,086"
4,Basic EPS,0.19,-2.48,-0.18,1.02
5,Diluted EPS,0.19,-2.48,-0.18,1.02
6,Basic Average Shares,"51,303","50,838","49,144","51,065"
7,Diluted Average Shares,"51,303","50,838","49,144","51,065"
8,Net Income from Continuing & Discontinued Operation,"9,970","-126,078","-8,846","52,086"
9,Normalized Income,"9,970","-126,078","-8,846","52,086"
10,Net Income from Continuing Operation Net Minority Interest,"9,970","-126,078","-8,846","52,086"
11,Tax Rate for Calcs,0,0,0,0
12,Tax Effect of Unusual Items,0,0,0,0
13,Breakdown,12/31/2022,12/31/2021,12/31/2020,
14,Total Assets,"355,068","508,019","527,741",
15,Total Liabilities Net Minority Interest,"61,901","66,443","50,268",
16,Total Equity Gross Minority Interest,"293,167","441,576","477,473",
17,Total Capitalization,"348,167","496,576","518,373",
18,Common Stock Equity,"293,167","441,576","477,473",
19,Net Tangible Assets,"293,167","441,576","477,473",
20,Invested Capital,"348,167","496,576","518,373",
21,Tangible Book Value,"293,167","441,576","477,473",
22,Total Debt,"55,000","55,000","40,900",
23,Net Debt,"54,653","54,763","36,424",
24,Share Issued,"50,752","50,752","50,752",
25,Ordinary Shares Number,"50,752","50,752","50,752",
26,Breakdown,ttm,12/31/2022,,
27,Operating Cash Flow,"37,967","25,734",,
28,Financing Cash Flow,"-39,793","-25,376",,
29,End Cash Position,-18.654,605.539,,
30,Free Cash Flow,"37,967","25,734",,
