,Breakdown,ttm,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"17,827,000","-15,846,000","42,546,000","37,020,000"
1,Total Expenses,"20,166,000","-14,301,000","41,386,000","37,972,000"
2,Pretax Income,"-2,337,000","-1,543,000","1,164,000","-958,000"
3,Tax Provision,"-616,000","-518,000","95,000","-336,000"
4,Net Income Common Stockholders,"-1,679,000","-1,469,000","1,941,000","-184,000"
5,Diluted NI Available to Com Stockholders,"-1,679,000","-1,469,000","1,941,000","-184,000"
6,Basic EPS,-0.84,-0.73,0.94,-0.09
7,Diluted EPS,-0.84,-0.73,0.94,-0.09
8,Basic Average Shares,"2,481,000","2,546,000","2,602,000","2,605,000"
9,Diluted Average Shares,"2,481,000","2,546,000","2,602,000","2,605,000"
10,Net Income from Continuing & Discontinued Operation,"-1,634,000","-1,433,000","1,980,000","-146,000"
11,Normalized Income,"-1,655,924","-1,008,828","1,034,694","-448,608"
12,EBIT,"-2,008,000","-1,214,000","1,410,000","-553,000"
13,Reconciled Depreciation,"956,000","1,160,000","1,167,000","722,000"
14,Net Income from Continuing Operation Net Minority Interest,"-1,706,000","-1,054,000","1,020,000","-633,000"
15,Total Unusual Items Excluding Goodwill,"-68,000","-68,000","-16,000","-284,000"
16,Total Unusual Items,"-68,000","-68,000","-16,000","-284,000"
17,Tax Rate for Calcs,0,0,0,0
18,Tax Effect of Unusual Items,"-17,924","-22,828","-1,306","-99,608"
19,Interest Expense,"329,000","329,000","246,000","405,000"
20,Breakdown,12/31/2022,12/31/2021,12/31/2020,
21,Total Assets,"401,786,000","468,252,000","443,814,000",
22,Total Liabilities Net Minority Interest,"387,596,000","441,880,000","419,153,000",
23,Total Equity Gross Minority Interest,"14,190,000","26,372,000","24,661,000",
24,Total Capitalization,"20,478,000","38,157,000","35,321,000",
25,Common Stock Equity,"14,014,000","26,176,000","24,586,000",
26,Capital Lease Obligations,"210,000","252,000","266,000",
27,Net Tangible Assets,"12,774,000","24,843,000","23,200,000",
28,Invested Capital,"20,478,000","38,157,000","35,393,000",
29,Tangible Book Value,"12,774,000","24,843,000","23,200,000",
30,Total Debt,"6,674,000","12,233,000","11,073,000",
31,Net Debt,"3,057,000","5,092,000","2,439,000",
32,Share Issued,"2,121,791","2,119,769","2,166,157",
33,Ordinary Shares Number,"1,975,184","2,047,989","2,112,409",
34,Treasury Shares Number,"147,901","72,545","54,070",
35,Breakdown,ttm,12/31/2022,12/31/2021,12/31/2020
36,Operating Cash Flow,"2,362,000","2,851,000","-1,796,000","-2,854,000"
37,Investing Cash Flow,"214,000","616,000","-54,000","-139,000"
38,Financing Cash Flow,"-2,259,000","-1,920,000","300,000","-778,000"
39,End Cash Position,"8,214,000","8,491,000","6,889,000","8,372,000"
40,Capital Expenditure,"-91,000","-98,000","-112,000","-120,000"
41,Issuance of Capital Stock,-,-,0,0
42,Issuance of Debt,"3,693,000","3,569,000","3,914,000","3,444,000"
43,Repayment of Debt,"-4,626,000","-4,086,000","-3,000,000","-3,985,000"
44,Repurchase of Capital Stock,"-690,000","-597,000","-231,000","-59,000"
45,Free Cash Flow,"2,271,000","2,753,000","-1,908,000","-2,974,000"
