,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"1,579,530","1,579,530","3,591,741","3,974,101","3,740,399"
1,Total Expenses,"1,282,478","1,282,478","1,160,029","3,271,315","2,924,438"
2,Pretax Income,"297,052","297,052","2,431,712","702,786","815,961"
3,Tax Provision,"85,133","85,133","511,135","149,763","144,501"
4,Net Income Common Stockholders,"166,855","166,855","1,876,544","509,348","637,945"
5,Diluted NI Available to Com Stockholders,"166,855","166,855","1,876,544","509,348","637,945"
6,Basic EPS,0.97,-,20.72,5.43,6.93
7,Diluted EPS,0.89,-,20.50,5.39,6.90
8,Basic Average Shares,"81,093",-,"90,558","93,860","92,055"
9,Diluted Average Shares,"82,479",-,"91,538","94,491","92,392"
10,Net Income from Continuing & Discontinued Operation,"210,530","210,530","1,920,219","553,023","671,460"
11,Normalized Income,"210,530","210,530","1,920,219","553,023","673,126"
12,EBIT,"915,720","915,720","3,024,012","2,965,258","2,390,340"
13,Reconciled Depreciation,"8,653","8,653","14,185","5,527","5,199"
14,Net Income from Continuing Operation Net Minority Interest,"210,530","210,530","1,920,219","553,023","671,460"
15,Total Unusual Items Excluding Goodwill,-,-,0,0,"-2,024"
16,Total Unusual Items,-,-,0,0,"-2,024"
17,Tax Rate for Calcs,0,0,0,0,0
18,Tax Effect of Unusual Items,0,0,0,0,-358.248
19,Interest Expense,"618,668","618,668","592,300","2,262,472","1,574,379"
20,Breakdown,12/31/2023,12/31/2022,12/31/2021,12/31/2020,
21,Total Assets,"79,918,302","73,183,599","78,349,109","71,688,579",
22,Total Liabilities Net Minority Interest,"76,870,528","70,812,849","72,025,982","65,339,591",
23,Total Equity Gross Minority Interest,"3,047,774","2,370,750","6,323,127","6,348,988",
24,Total Capitalization,"3,887,810","3,220,343","6,897,798","6,922,768",
25,Preferred Stock Equity,28,28,28,28,
26,Common Stock Equity,"3,023,232","2,349,489","6,323,099","6,348,960",
27,Net Tangible Assets,"3,023,260","2,349,517","6,323,127","6,348,988",
28,Invested Capital,"3,887,782","3,220,315","6,897,770","6,922,740",
29,Tangible Book Value,"3,023,232","2,349,489","6,323,099","6,348,960",
30,Total Debt,"864,550","870,826","574,671","573,780",
31,Share Issued,"110,309","109,401","102,450","102,237",
32,Ordinary Shares Number,"79,338","84,810","92,514","95,721",
33,Preferred Shares Number,"28,000","28,000","28,000","28,000",
34,Treasury Shares Number,"30,971","24,590","9,937","6,517",
35,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
36,Operating Cash Flow,"3,939,809","3,939,809","2,043,819","4,233,164","1,304,986"
37,Investing Cash Flow,"4,494,628","4,494,628","-2,454,911","-6,224,307","5,134,604"
38,Financing Cash Flow,"-581,520","-581,520","-2,178,221","-2,595,397","362,540"
39,End Cash Position,"9,772,586","9,772,586","1,919,669","4,508,982","9,095,522"
40,Income Tax Paid Supplemental Data,"7,002","7,002","4,873","165,537","4,842"
41,Interest Paid Supplemental Data,"50,020","50,020","36,289","30,000","31,427"
42,Capital Expenditure,"-50,084","-50,084","-40,961","-18,109","-13,240"
43,Issuance of Capital Stock,"20,420","20,420","253,978","4,854","628,321"
44,Issuance of Debt,0,0,"300,000",0,0
45,Repayment of Debt,"-7,500","-7,500","-3,750",0,"-81,450"
46,Repurchase of Capital Stock,"-309,401","-309,401","-566,567","-99,415","-165,094"
47,Free Cash Flow,"3,889,725","3,889,725","2,002,858","4,215,055","1,291,746"
