,Breakdown,ttm,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"6,626,909","5,741,162","3,869,625","3,138,113"
1,Cost of Revenue,"4,425,034","3,738,012","2,511,250","2,055,253"
2,Gross Profit,"2,201,875","2,003,150","1,358,375","1,082,860"
3,Operating Expense,"471,624","560,241","301,647","260,822"
4,Operating Income,"1,730,251","1,442,909","1,056,728","822,038"
5,Net Non Operating Interest Income Expense,"-130,087","-57,164","-81,551","-86,765"
6,Other Income Expense,"758,905","-270,322","-42,454","32,292"
7,Pretax Income,"2,359,069","1,115,423","932,723","767,565"
8,Tax Provision,"417,762","445,174","370,778","255,958"
9,Net Income Common Stockholders,"1,941,307","670,249","561,945","511,607"
10,Diluted NI Available to Com Stockholders,"1,941,307","670,249","561,945","511,607"
11,Basic EPS,5.21,1.53,2.31,2.12
12,Diluted EPS,5.18,1.53,2.30,2.10
13,Basic Average Shares,"478,488","437,678","243,708","241,508"
14,Diluted Average Shares,"479,299","438,533","244,732","243,072"
15,Total Expenses,"4,896,658","4,298,253","2,812,897","2,316,075"
16,Interest Income,-,"11,110","3,937","4,867"
17,Interest Expense,"130,087","61,373","76,164","82,931"
18,Net Interest Income,"-130,087","-57,164","-81,551","-86,765"
19,Net Income from Continuing & Discontinued Operation,"1,941,307","670,249","561,945","511,607"
20,Normalized Income,"2,532,356","817,299","587,543","486,480"
21,EBIT,"2,489,156","1,176,796","1,008,887","850,496"
22,EBITDA,"3,980,927","2,271,487","1,747,016","1,481,597"
23,Reconciled Cost of Revenue,"4,425,034","3,738,012","2,511,250","2,055,253"
24,Reconciled Depreciation,"1,491,771","1,094,691","738,129","631,101"
25,Net Income from Continuing Operation Net Minority Interest,"1,941,307","670,249","561,945","511,607"
26,Total Unusual Items Excluding Goodwill,"-718,240","-244,675","-42,522","37,671"
27,Total Unusual Items,"-718,240","-244,675","-42,522","37,671"
28,Normalized EBITDA,"4,699,167","2,516,162","1,789,538","1,443,926"
29,Tax Rate for Calcs,0,0,0,0
30,Tax Effect of Unusual Items,"-127,191","-97,625","-16,924","12,544"
31,Breakdown,12/31/2022,12/31/2021,12/31/2020,
32,Total Assets,"23,494,808","10,216,090","9,614,755",
33,Total Liabilities Net Minority Interest,"7,253,463","4,216,319","3,931,542",
34,Total Equity Gross Minority Interest,"16,241,345","5,999,771","5,683,213",
35,Total Capitalization,"17,483,415","7,339,994","7,248,454",
36,Common Stock Equity,"16,241,345","5,999,771","5,683,213",
37,Capital Lease Obligations,"151,342","131,433","120,275",
38,Net Tangible Assets,"14,183,904","5,591,979","5,275,421",
39,Working Capital,"1,233,637","540,575","731,490",
40,Invested Capital,"17,583,415","7,564,994","7,248,454",
41,Tangible Book Value,"14,183,904","5,591,979","5,275,421",
42,Total Debt,"1,493,412","1,696,656","1,685,516",
43,Net Debt,"683,445","1,379,437","1,162,714",
44,Share Issued,"457,160","245,436","243,301",
45,Ordinary Shares Number,"456,465","245,002","242,884",
46,Treasury Shares Number,694.808,433.947,416.881,
47,Breakdown,ttm,12/31/2022,12/31/2021,12/31/2020
48,Operating Cash Flow,"2,601,562","2,096,636","1,345,308","1,192,054"
49,Investing Cash Flow,"-2,760,783","-710,458","-1,264,003","-808,812"
50,Financing Cash Flow,"-163,958","-914,853","-297,242","-302,822"
51,End Cash Position,"338,648","658,625","185,786","402,527"
52,Income Tax Paid Supplemental Data,"290,525","316,743","246,084","110,851"
53,Interest Paid Supplemental Data,"104,845","67,510","85,109","95,119"
54,Capital Expenditure,"-1,665,079","-1,538,237","-946,998","-759,342"
55,Issuance of Capital Stock,"29,941","20,265","18,388","13,866"
56,Issuance of Debt,"1,898,958","100,000","595,000","1,275,000"
57,Repayment of Debt,"-1,447,589","-358,701","-620,020","-1,450,870"
58,Repurchase of Capital Stock,"-47,003","-109,955","-34,606",-
59,Free Cash Flow,"936,483","558,399","398,310","432,712"
