,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"18,982,300","18,982,300","19,639,500","16,792,000","14,918,500"
1,Cost of Revenue,"7,854,600","7,854,600","8,347,300","6,588,100","5,380,100"
2,Gross Profit,"11,127,700","11,127,700","11,292,200","10,203,900","9,538,400"
3,Operating Expense,"7,485,900","7,485,900","7,513,700","6,781,000","6,550,700"
4,Operating Income,"3,641,800","3,641,800","3,778,500","3,422,900","2,987,700"
5,Net Non Operating Interest Income Expense,"-1,806,900","-1,806,900","-1,396,100","-1,199,100","-1,165,700"
6,Other Income Expense,"373,800","373,800","38,000","288,100","324,100"
7,Pretax Income,"2,208,700","2,208,700","2,420,400","2,511,900","2,146,100"
8,Tax Provision,"54,600","54,600","5,400","115,500","40,500"
9,Earnings from Equity Interest Net of Tax,"58,500","58,500","-109,400","91,700","91,100"
10,Net Income Common Stockholders,"2,208,100","2,208,100","2,307,200","2,488,100","2,200,100"
11,Diluted NI Available to Com Stockholders,"2,208,100","2,208,100","2,307,200","2,488,100","2,200,100"
12,Basic EPS,4.37,4.26,4.51,4.97,4.44
13,Diluted EPS,4.36,4.24,4.49,4.96,4.42
14,Basic Average Shares,"515,866","518,904","511,842","500,522","495,718"
15,Diluted Average Shares,"517,288","520,206","513,485","501,784","497,227"
16,Total Operating Income as Reported,"3,556,200","3,556,200","3,482,700","3,411,300","2,987,700"
17,Total Expenses,"15,340,500","15,340,500","15,861,000","13,369,100","11,930,800"
18,Interest Expense,"1,806,900","1,806,900","1,396,100","1,199,100","1,165,700"
19,Net Interest Income,"-1,806,900","-1,806,900","-1,396,100","-1,199,100","-1,165,700"
20,Net Income from Continuing & Discontinued Operation,"2,208,100","2,208,100","2,307,200","2,488,100","2,200,100"
21,Normalized Income,"2,121,008","2,121,008","2,468,938","2,365,890","2,054,795"
22,EBIT,"4,015,600","4,015,600","3,816,500","3,711,000","3,311,800"
23,EBITDA,"7,202,600","7,202,600","7,102,200","6,757,400","6,218,600"
24,Reconciled Cost of Revenue,"7,758,000","7,758,000","8,264,400","6,367,400","5,156,100"
25,Reconciled Depreciation,"3,187,000","3,187,000","3,285,700","3,046,400","2,906,800"
26,Net Income from Continuing Operation Net Minority Interest,"2,208,100","2,208,100","2,307,200","2,488,100","2,200,100"
27,Total Unusual Items Excluding Goodwill,"89,300","89,300","-162,100","128,100","148,100"
28,Total Unusual Items,"89,300","89,300","-162,100","128,100","148,100"
29,Normalized EBITDA,"7,113,300","7,113,300","7,264,300","6,629,300","6,070,500"
30,Tax Rate for Calcs,0,0,0,0,0
31,Tax Effect of Unusual Items,"2,208","2,208",-361.651,"5,890","2,795"
32,Breakdown,12/31/2023,12/31/2022,12/31/2021,12/31/2020,
33,Total Assets,"96,684,000","93,403,300","87,668,700","80,757,200",
34,Total Liabilities Net Minority Interest,"71,398,100","69,280,900","64,988,500","59,982,700",
35,Total Equity Gross Minority Interest,"25,285,900","24,122,400","22,680,200","20,774,500",
36,Total Capitalization,"62,899,400","58,208,000","53,733,900","49,537,300",
37,Common Stock Equity,"25,246,700","23,893,400","22,433,200","20,550,900",
38,Capital Lease Obligations,"635,100","666,100","590,400","879,700",
39,Net Tangible Assets,"25,194,200","23,840,900","22,380,700","20,498,400",
40,Working Capital,"-5,501,500","-6,490,800","-4,617,500","-5,575,200",
41,Invested Capital,"68,220,100","64,806,600","58,501,700","54,102,700",
42,Tangible Book Value,"25,194,200","23,840,900","22,380,700","20,498,400",
43,Total Debt,"43,608,500","41,579,300","36,658,900","34,431,500",
44,Net Debt,"42,643,300","40,403,800","35,665,100","33,159,100",
45,Share Issued,"527,369","525,099","524,416","516,808",
46,Ordinary Shares Number,"526,185","513,866","504,212","496,604",
47,Treasury Shares Number,"1,185","11,233","20,204","20,204",
48,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
49,Operating Cash Flow,"5,012,200","5,012,200","5,288,000","3,839,900","3,832,900"
50,Investing Cash Flow,"-6,266,700","-6,266,700","-7,751,800","-6,433,900","-6,233,900"
51,Financing Cash Flow,"1,077,000","1,077,000","2,568,900","2,607,100","2,406,700"
52,End Cash Position,"379,000","379,000","556,500","451,400","438,300"
53,Capital Expenditure,"-7,506,500","-7,506,500","-6,772,400","-5,764,100","-6,316,000"
54,Issuance of Capital Stock,"999,600","999,600","826,500","600,500","155,000"
55,Issuance of Debt,"6,532,700","6,532,700","7,134,000","7,879,600","7,022,600"
56,Repayment of Debt,"-4,616,300","-4,616,300","-3,641,000","-4,311,900","-3,157,000"
57,Free Cash Flow,"-2,494,300","-2,494,300","-1,484,400","-1,924,200","-2,483,100"
