,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"12,668,000","12,668,000","12,617,000","11,141,000","9,660,000"
1,Cost of Revenue,"10,164,000","10,164,000","10,069,000","8,430,000","6,967,000"
2,Gross Profit,"2,504,000","2,504,000","2,548,000","2,711,000","2,693,000"
3,Operating Expense,"267,000","267,000","207,000","166,000","165,000"
4,Operating Income,"2,237,000","2,237,000","2,341,000","2,545,000","2,528,000"
5,Net Non Operating Interest Income Expense,"-768,000","-768,000","-728,000","-613,000","-770,000"
6,Other Income Expense,"-1,365,000","-1,365,000","-1,782,000","-2,996,000","-1,270,000"
7,Pretax Income,"104,000","104,000","-169,000","-1,064,000","488,000"
8,Tax Provision,"261,000","261,000","265,000","-133,000","216,000"
9,Earnings from Equity Interest Net of Tax,"-32,000","-32,000","-71,000","-24,000","-123,000"
10,Net Income Common Stockholders,"249,000","249,000","-546,000","-409,000","46,000"
11,Diluted NI Available to Com Stockholders,"249,000","249,000","-546,000","-409,000","46,000"
12,Basic EPS,-0.84,0.37,-0.82,-0.61,0.07
13,Diluted EPS,-0.84,0.35,-0.82,-0.61,0.07
14,Basic Average Shares,"667,223","669,000","668,000","666,000","665,000"
15,Diluted Average Shares,"668,750","712,000","668,000","666,000","668,000"
16,Total Expenses,"10,431,000","10,431,000","10,276,000","8,596,000","7,132,000"
17,Interest Income,"551,000","551,000","389,000","298,000","268,000"
18,Interest Expense,"1,319,000","1,319,000","1,117,000","911,000","1,038,000"
19,Net Interest Income,"-768,000","-768,000","-728,000","-613,000","-770,000"
20,Net Income from Continuing & Discontinued Operation,"249,000","249,000","-546,000","-409,000","46,000"
21,Normalized Income,"1,310,870","1,310,870","730,640","2,199,610","832,130"
22,EBIT,"1,423,000","1,423,000","948,000","-153,000","1,526,000"
23,EBITDA,"2,551,000","2,551,000","2,001,000","903,000","2,594,000"
24,Reconciled Cost of Revenue,"10,164,000","10,164,000","10,069,000","8,430,000","6,967,000"
25,Reconciled Depreciation,"1,128,000","1,128,000","1,053,000","1,056,000","1,068,000"
26,Net Income from Continuing Operation Net Minority Interest,"242,000","242,000","-546,000","-413,000","43,000"
27,Total Unusual Items Excluding Goodwill,"-1,353,000","-1,353,000","-1,616,000","-3,003,000","-1,081,000"
28,Total Unusual Items,"-1,353,000","-1,353,000","-1,616,000","-3,003,000","-1,081,000"
29,Normalized EBITDA,"3,904,000","3,904,000","3,617,000","3,906,000","3,675,000"
30,Tax Rate for Calcs,0,0,0,0,0
31,Tax Effect of Unusual Items,"-284,130","-284,130","-339,360","-390,390","-291,870"
32,Breakdown,12/31/2023,12/31/2022,12/31/2021,12/31/2020,
33,Total Assets,"44,799,000","38,363,000","32,963,000","34,603,000",
34,Total Liabilities Net Minority Interest,"38,814,000","33,859,000","28,396,000","29,883,000",
35,Total Equity Gross Minority Interest,"5,985,000","4,504,000","4,567,000","4,720,000",
36,Total Capitalization,"25,234,000","24,177,000","20,130,000","21,085,000",
37,Preferred Stock Equity,"838,000","838,000","838,000",-,
38,Common Stock Equity,"1,650,000","1,599,000","1,960,000","2,634,000",
39,Net Tangible Assets,"-103,000","234,000","171,000","746,000",
40,Working Capital,"-3,082,000","1,152,000","624,000","52,000",
41,Invested Capital,"28,528,000","25,097,000","20,659,000","22,515,000",
42,Tangible Book Value,"-941,000","-604,000","-667,000","746,000",
43,Total Debt,"26,878,000","23,498,000","18,699,000","19,881,000",
44,Net Debt,"25,452,000","22,124,000","17,756,000","18,792,000",
45,Share Issued,"819,052","818,790","818,717","818,399",
46,Ordinary Shares Number,"669,693","668,743","666,794","665,370",
47,Treasury Shares Number,"149,358","150,047","151,923","153,029",
48,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
49,Operating Cash Flow,"3,034,000","3,034,000","2,715,000","1,902,000","2,755,000"
50,Investing Cash Flow,"-8,188,000","-8,188,000","-5,836,000","-3,051,000","-2,295,000"
51,Financing Cash Flow,"5,405,000","5,405,000","3,758,000","797,000","-78,000"
52,Other Cash Adjustment Inside Change in Cash,"-78,000","-78,000","22,000","55,000","-103,000"
53,End Cash Position,"1,990,000","1,990,000","2,087,000","1,484,000","1,827,000"
54,Income Tax Paid Supplemental Data,"301,000","301,000","271,000","459,000","333,000"
55,Interest Paid Supplemental Data,"1,317,000","1,317,000","928,000","815,000","908,000"
56,Capital Expenditure,"-7,724,000","-7,724,000","-4,551,000","-2,116,000","-1,900,000"
57,Issuance of Capital Stock,"421,000","421,000","60,000","1,167,000","112,000"
58,Issuance of Debt,"14,882,000","14,882,000","12,454,000","4,544,000","10,591,000"
59,Repayment of Debt,"-10,771,000","-10,771,000","-8,292,000","-4,493,000","-10,077,000"
60,Free Cash Flow,"-4,690,000","-4,690,000","-1,836,000","-214,000","855,000"
