,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"7,728,000","7,728,000","6,773,000","6,231,000","5,670,000"
1,Total Expenses,"6,655,000","6,655,000","5,650,000","4,896,000","5,331,000"
2,Pretax Income,"1,073,000","1,073,000","1,123,000","1,335,000","339,000"
3,Tax Provision,"221,000","221,000","225,000","254,000","25,000"
4,Net Income Common Stockholders,"852,000","852,000","898,000","1,995,000","732,000"
5,Diluted NI Available to Com Stockholders,"852,000","852,000","898,000","1,995,000","732,000"
6,Basic EPS,10.18,10.06,10.55,23.44,8.25
7,Diluted EPS,10.17,10.05,10.53,23.30,8.20
8,Basic Average Shares,"85,025","84,700","85,100","85,100","88,700"
9,Diluted Average Shares,"85,150","84,800","85,300","85,600","89,200"
10,Net Income from Continuing & Discontinued Operation,"852,000","852,000","898,000","1,995,000","732,000"
11,Normalized Income,"852,000","852,000","898,000","1,081,000","325,000"
12,EBIT,"1,149,000","1,149,000","1,208,000","1,429,000","427,000"
13,Reconciled Depreciation,"78,000","78,000","100,000","187,000","299,000"
14,Net Income from Continuing Operation Net Minority Interest,"852,000","852,000","898,000","1,081,000","325,000"
15,Tax Rate for Calcs,0,0,0,0,0
16,Tax Effect of Unusual Items,0,0,0,0,0
17,Interest Expense,"76,000","76,000","85,000","94,000","88,000"
18,Breakdown,12/31/2023,12/31/2022,12/31/2021,12/31/2020,
19,Total Assets,"29,787,000","28,831,000","28,931,000","73,710,000",
20,Total Liabilities Net Minority Interest,"25,529,000","24,779,000","23,919,000","66,921,000",
21,Total Equity Gross Minority Interest,"4,258,000","4,052,000","5,012,000","6,789,000",
22,Total Capitalization,"5,733,000","5,548,000","6,976,000","8,752,000",
23,Common Stock Equity,"4,258,000","4,052,000","5,012,000","6,789,000",
24,Net Tangible Assets,"3,953,000","3,806,000","4,766,000","6,613,000",
25,Invested Capital,"5,733,000","5,548,000","6,976,000","8,752,000",
26,Tangible Book Value,"3,953,000","3,806,000","4,766,000","6,613,000",
27,Total Debt,"1,475,000","1,496,000","1,964,000","1,963,000",
28,Net Debt,"250,000","624,000",-,"298,000",
29,Share Issued,"83,636","85,204","84,921","103,795",
30,Ordinary Shares Number,"83,636","85,204","84,921","86,345",
31,Treasury Shares Number,-,-,-,"17,450",
32,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
33,Operating Cash Flow,"1,970,000","1,970,000","1,153,000","1,714,000","2,183,000"
34,Investing Cash Flow,"414,000","414,000","-1,051,000","-436,000","-1,564,000"
35,Financing Cash Flow,"-2,031,000","-2,031,000","-1,361,000","-1,957,000","-123,000"
36,End Cash Position,"1,225,000","1,225,000","872,000","2,131,000","2,810,000"
37,Issuance of Capital Stock,"15,000","15,000","16,000","66,000","22,000"
38,Issuance of Debt,-,-,0,0,"634,000"
39,Repayment of Debt,"-21,000","-21,000","-477,000",0,"-150,000"
40,Repurchase of Capital Stock,"-213,000","-213,000","-11,000","-319,000","-313,000"
41,Free Cash Flow,"1,970,000","1,970,000","1,153,000","1,714,000","2,183,000"
