,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"28,143","38,197","-16,035","22,139","5,494"
1,Pretax Income,"26,018","35,963","-18,137","19,749","3,596"
2,Net Income Common Stockholders,"26,018","35,963","-18,137","19,749","3,596"
3,Diluted NI Available to Com Stockholders,"26,018","35,963","-18,137","19,749","3,596"
4,Basic EPS,1.66,-,-1.17,1.27,0.23
5,Diluted EPS,1.66,-,-1.17,1.27,0.23
6,Basic Average Shares,"15,499",-,"15,502","15,550","15,635"
7,Diluted Average Shares,"15,574",-,"15,502","15,550","15,635"
8,Net Income from Continuing & Discontinued Operation,"26,018","35,963","-18,137","19,749","3,596"
9,Normalized Income,"26,018","35,963","-18,137","19,749","3,596"
10,Net Income from Continuing Operation Net Minority Interest,"26,018","35,963","-18,137","19,749","3,596"
11,Tax Rate for Calcs,0,0,0,0,0
12,Tax Effect of Unusual Items,0,0,0,0,0
13,Breakdown,12/31/2023,12/31/2022,12/31/2021,12/31/2020,
14,Total Assets,"370,682","368,744","445,849","396,784",
15,Total Liabilities Net Minority Interest,"136,602","147,718","189,648","145,250",
16,Total Equity Gross Minority Interest,"234,080","221,026","256,201","251,534",
17,Total Capitalization,"363,981","350,843","386,100","372,506",
18,Common Stock Equity,"234,080","221,026","256,201","251,534",
19,Net Tangible Assets,"234,080","221,026","256,201","251,534",
20,Invested Capital,"363,981","350,843","386,100","372,506",
21,Tangible Book Value,"234,080","221,026","256,201","251,534",
22,Total Debt,"129,901","129,817","129,899","120,972",
23,Net Debt,"97,952","102,185","103,698","115,901",
24,Share Issued,"15,574","15,574","15,574","15,573",
25,Ordinary Shares Number,"15,574","15,574","15,574","15,573",
26,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
27,Operating Cash Flow,"11,199","27,230","18,754","28,995","25,439"
28,Financing Cash Flow,"-20,137","-22,913","-17,323","-7,866","-34,387"
29,End Cash Position,"-5,390","31,949","27,632","26,201","5,072"
30,Issuance of Debt,-,-,-,"9,000",-
31,Repayment of Debt,-,-,-,-,"-20,000"
32,Free Cash Flow,"11,199","27,230","18,754","28,995","25,439"
