,Breakdown,ttm,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"587,498","626,850","587,225","366,676"
1,Cost of Revenue,"593,023","610,098","485,807","261,622"
2,Gross Profit,"-5,525","16,752","101,418","105,054"
3,Operating Expense,"77,473","68,362","54,637","57,055"
4,Operating Income,"-82,998","-51,610","46,781","47,999"
5,Net Non Operating Interest Income Expense,"-10,451","-11,868","-12,059","-11,336"
6,Other Income Expense,"-130,765","2,074","-9,473","-6,934"
7,Pretax Income,"-224,214","-61,404","25,250","29,729"
8,Tax Provision,"-62,052","52,872","30,173","6,642"
9,Net Income Common Stockholders,"-162,162","-114,276","-4,923","23,087"
10,Diluted NI Available to Com Stockholders,"-162,162","-114,276","-4,923","23,087"
11,Basic EPS,-0.58,-0.43,-0.02,0.11
12,Diluted EPS,-0.58,-0.43,-0.02,0.11
13,Basic Average Shares,"277,247","263,122","244,750","213,880"
14,Diluted Average Shares,"277,247","263,122","244,750","215,879"
15,Total Operating Income as Reported,"-206,046","-39,193","49,202","40,357"
16,Total Expenses,"670,496","678,460","540,444","318,677"
17,Interest Income,"7,102","2,353","1,075","1,075"
18,Interest Expense,"14,905","12,941","12,554","12,072"
19,Net Interest Income,"-10,451","-11,868","-12,059","-11,336"
20,Net Income from Continuing & Discontinued Operation,"-162,162","-114,276","-4,923","23,087"
21,Normalized Income,"-67,587","-115,806","2,040","28,496"
22,EBIT,"-209,309","-48,463","37,804","41,801"
23,EBITDA,"-77,447","88,948","156,087","98,084"
24,Reconciled Cost of Revenue,"462,702","474,316","369,194","207,217"
25,Reconciled Depreciation,"131,862","137,411","118,283","56,283"
26,Net Income from Continuing Operation Net Minority Interest,"-162,162","-114,276","-4,923","23,087"
27,Total Unusual Items Excluding Goodwill,"-130,765","2,074","-9,473","-6,934"
28,Total Unusual Items,"-130,765","2,074","-9,473","-6,934"
29,Normalized EBITDA,"53,318","86,874","165,560","105,018"
30,Tax Rate for Calcs,0,0,0,0
31,Tax Effect of Unusual Items,"-36,190",543.5954,"-2,510","-1,525"
32,Breakdown,12/31/2022,12/31/2021,12/31/2020,
33,Total Assets,"2,110,009","2,124,989","1,237,517",
34,Total Liabilities Net Minority Interest,"698,711","714,018","387,281",
35,Total Equity Gross Minority Interest,"1,411,298","1,410,971","850,236",
36,Total Capitalization,"1,621,109","1,592,079","991,969",
37,Common Stock Equity,"1,411,298","1,410,971","850,236",
38,Capital Lease Obligations,"37,583","39,861","20,575",
39,Net Tangible Assets,"1,411,298","1,410,971","850,236",
40,Working Capital,"202,890","224,385","254,420",
41,Invested Capital,"1,621,540","1,592,148","993,061",
42,Tangible Book Value,"1,411,298","1,410,971","850,236",
43,Total Debt,"247,945","221,094","173,283",
44,Net Debt,"58,804",-,-,
45,Share Issued,"274,492","260,051","222,804",
46,Ordinary Shares Number,"274,492","260,051","222,804",
47,Breakdown,ttm,12/31/2022,12/31/2021,12/31/2020
48,Operating Cash Flow,"20,931","18,988","68,723","79,713"
49,Investing Cash Flow,"-175,411","-213,797","-180,753","-127,115"
50,Financing Cash Flow,"138,517","113,886","111,817","116,574"
51,End Cash Position,"132,856","151,438","237,926","238,578"
52,Capital Expenditure,"-175,844","-217,680","-188,967","-114,490"
53,Issuance of Capital Stock,"175,222","113,395","66,674","126,132"
54,Issuance of Debt,"20,000","50,000","252,776","10,000"
55,Repayment of Debt,"-44,452","-43,469","-221,128","-27,675"
56,Repurchase of Capital Stock,-10,-665,-42,"-1,694"
57,Free Cash Flow,"-154,913","-198,692","-120,244","-34,777"
