,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"14,412,400","14,412,400","12,651,400","11,138,300","9,149,700"
1,Cost of Revenue,"10,635,000","10,635,000","9,650,100","8,566,000","7,092,200"
2,Gross Profit,"3,777,400","3,777,400","3,001,300","2,572,300","2,057,500"
3,Operating Expense,"2,061,000","2,061,000","1,693,800","1,555,600","1,403,600"
4,Operating Income,"1,716,400","1,716,400","1,307,500","1,016,700","653,900"
5,Net Non Operating Interest Income Expense,"-4,600","-4,600","-13,000","-6,700","-15,000"
6,Other Income Expense,"-378,300","-378,300","-187,300","-65,700","-76,900"
7,Pretax Income,"1,333,500","1,333,500","1,107,200","944,300","562,000"
8,Tax Provision,"230,400","230,400","296,600","108,400","187,700"
9,Earnings from Equity Interest Net of Tax,"68,200","68,200","64,100","65,600","45,500"
10,Net Income Common Stockholders,"1,171,400","1,171,400","889,600","897,000","427,100"
11,Diluted NI Available to Com Stockholders,"1,171,400","1,171,400","889,600","897,000","427,100"
12,Basic EPS,15.43,15.66,11.92,11.93,5.69
13,Diluted EPS,15.39,15.63,11.87,11.85,5.65
14,Basic Average Shares,"74,825","74,800","74,600","75,200","75,000"
15,Diluted Average Shares,"74,975","74,900","74,900","75,700","75,600"
16,Total Operating Income as Reported,"1,700,400","1,700,400","1,265,400","1,001,400","599,700"
17,Total Expenses,"12,696,000","12,696,000","11,343,900","10,121,600","8,495,800"
18,Net Income from Continuing & Discontinued Operation,"1,171,400","1,171,400","889,600","897,000","427,100"
19,Normalized Income,"1,184,636","1,184,636","920,422","910,544","463,198"
20,Interest Income,"64,200","64,200","33,000","18,700","9,900"
21,Interest Expense,"68,800","68,800","46,000","25,400","24,900"
22,Net Interest Income,"-4,600","-4,600","-13,000","-6,700","-15,000"
23,EBIT,"1,402,300","1,402,300","1,153,200","969,700","586,900"
24,EBITDA,"1,690,400","1,690,400","1,422,800","1,251,500","858,900"
25,Reconciled Cost of Revenue,"10,404,600","10,404,600","9,440,600","8,345,300","6,879,700"
26,Reconciled Depreciation,"288,100","288,100","269,600","281,800","272,000"
27,Net Income from Continuing Operation Net Minority Interest,"1,171,400","1,171,400","889,600","897,000","427,100"
28,Total Unusual Items Excluding Goodwill,"-16,000","-16,000","-42,100","-15,300","-54,200"
29,Total Unusual Items,"-16,000","-16,000","-42,100","-15,300","-54,200"
30,Normalized EBITDA,"1,706,400","1,706,400","1,464,900","1,266,800","913,100"
31,Tax Rate for Calcs,0,0,0,0,0
32,Tax Effect of Unusual Items,"-2,764","-2,764","-11,278","-1,756","-18,102"
33,Breakdown,12/31/2023,12/31/2022,12/31/2021,12/31/2020,
34,Total Assets,"11,421,200","10,103,700","9,182,100","8,504,200",
35,Total Liabilities Net Minority Interest,"6,764,400","6,221,100","5,738,300","5,486,200",
36,Total Equity Gross Minority Interest,"4,656,800","3,882,600","3,443,800","3,018,000",
37,Total Capitalization,"6,033,900","5,147,200","4,827,100","4,236,700",
38,Common Stock Equity,"4,656,700","3,882,400","3,415,900","2,980,000",
39,Capital Lease Obligations,"134,400","125,400","115,500","125,900",
40,Net Tangible Assets,"3,014,500","2,207,200","1,742,900","1,217,900",
41,Working Capital,"1,997,200","1,651,300","1,559,500","1,005,600",
42,Invested Capital,"6,048,900","5,343,200","4,920,000","4,596,400",
43,Tangible Book Value,"3,014,500","2,207,200","1,742,900","1,217,900",
44,Total Debt,"1,526,600","1,586,200","1,619,600","1,742,300",
45,Net Debt,"797,200","673,300","621,900","504,700",
46,Share Issued,"74,880","74,601","74,441","74,962",
47,Ordinary Shares Number,"74,880","74,601","74,441","74,962",
48,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
49,Operating Cash Flow,"1,103,100","1,103,100","838,200","660,200","896,500"
50,Investing Cash Flow,"-545,700","-545,700","-496,800","-288,400","-241,700"
51,Financing Cash Flow,"-671,700","-671,700","-407,000","-539,500","22,700"
52,End Cash Position,"595,500","595,500","789,500","889,100","1,119,100"
53,Capital Expenditure,"-518,100","-518,100","-388,300","-269,800","-269,900"
54,Issuance of Debt,"329,800","329,800","410,500","2,497,600","1,195,600"
55,Repayment of Debt,"-458,600","-458,600","-377,500","-2,501,400","-1,045,600"
56,Repurchase of Capital Stock,"-53,000","-53,000",0,"-135,000","-55,000"
57,Free Cash Flow,"585,000","585,000","449,900","390,400","626,600"
