,Breakdown,ttm,10/31/2023,10/31/2022,10/31/2021,10/31/2020
0,Total Revenue,"9,108","9,108","-26,411","45,071","-2,248"
1,Pretax Income,"6,955","6,955","-26,645","44,804","-2,475"
2,Net Income Common Stockholders,"6,955","6,955","-26,645","44,804","-2,475"
3,Diluted NI Available to Com Stockholders,"6,955","6,955","-26,645","44,804","-2,475"
4,Basic EPS,0.63,-,-2.12,3.57,-0.20
5,Diluted EPS,0.63,-,-2.12,3.57,-0.20
6,Basic Average Shares,"24,865",-,"12,568","12,550","12,374"
7,Diluted Average Shares,"24,865",-,"12,568","12,550","12,374"
8,Net Income from Continuing & Discontinued Operation,"6,955","6,955","-26,645","44,804","-2,475"
9,Normalized Income,"6,955","6,955","-26,645","44,804","-2,475"
10,Net Income from Continuing Operation Net Minority Interest,"6,955","6,955","-26,645","44,804","-2,475"
11,Tax Rate for Calcs,0,0,0,0,0
12,Tax Effect of Unusual Items,0,0,0,0,0
13,Breakdown,10/31/2023,10/31/2022,10/31/2021,10/31/2020,
14,Total Assets,"248,379","126,399","163,568","127,724",
15,Total Liabilities Net Minority Interest,"2,161",304.452,"1,040",212.039,
16,Total Equity Gross Minority Interest,"246,218","126,094","162,528","127,512",
17,Total Capitalization,"247,755",-,"162,839",-,
18,Common Stock Equity,"246,218","126,094","162,528","127,512",
19,Net Tangible Assets,"246,218","126,094","162,528","127,512",
20,Invested Capital,"247,755",-,"162,839",-,
21,Tangible Book Value,"246,218","126,094","162,528","127,512",
22,Total Debt,"1,537",-,311.127,-,
23,Net Debt,"1,325",-,311.127,-,
24,Share Issued,"24,865","12,550","12,550","12,550",
25,Ordinary Shares Number,"24,865","12,550","12,550","12,550",
26,Breakdown,ttm,,,,
