,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"1,015,000","1,015,000","684,000","698,000","1,084,000"
1,Total Expenses,"347,000","347,000","536,000","221,000","671,000"
2,Pretax Income,"668,000","668,000","148,000","477,000","413,000"
3,Tax Provision,"-93,000","-93,000","11,000","58,000","45,000"
4,Net Income Common Stockholders,"733,000","733,000","123,000","389,000","361,000"
5,Average Dilution Earnings,0,0,0,0,0
6,Diluted NI Available to Com Stockholders,"733,000","733,000","123,000","389,000","361,000"
7,Basic EPS,7.59,-,1.95,5.29,4.22
8,Diluted EPS,7.45,-,1.92,5.23,4.19
9,Basic Average Shares,"59,150",-,"62,900","73,500","85,500"
10,Diluted Average Shares,"60,075",-,"62,900","73,500","86,200"
11,Net Income from Continuing & Discontinued Operation,"739,000","739,000","124,000","389,000","362,000"
12,Normalized Income,"532,020","532,020","124,000","542,650","362,000"
13,EBIT,"758,000","758,000","229,000","564,000","498,000"
14,Net Income from Continuing Operation Net Minority Interest,"739,000","739,000","124,000","389,000","362,000"
15,Total Unusual Items Excluding Goodwill,"262,000","262,000",0,"-175,000",0
16,Total Unusual Items,"262,000","262,000",0,"-175,000",0
17,Tax Rate for Calcs,0,0,0,0,0
18,Tax Effect of Unusual Items,"55,020","55,020",0,"-21,350",0
19,Interest Expense,"90,000","90,000","81,000","87,000","85,000"
20,Breakdown,12/31/2023,12/31/2022,12/31/2021,12/31/2020,
21,Total Assets,"12,539,000","16,843,000","18,208,000","15,334,000",
22,Total Liabilities Net Minority Interest,"6,774,000","11,551,000","11,708,000","8,629,000",
23,Total Equity Gross Minority Interest,"5,765,000","5,292,000","6,500,000","6,705,000",
24,Total Capitalization,"7,407,000","6,739,000","7,965,000","7,867,000",
25,Common Stock Equity,"5,713,000","5,064,000","6,292,000","6,643,000",
26,Net Tangible Assets,"5,707,000","4,901,000","6,117,000","6,440,000",
27,Invested Capital,"7,407,000","6,739,000","7,965,000","7,867,000",
28,Tangible Book Value,"5,707,000","4,901,000","6,117,000","6,440,000",
29,Total Debt,"1,694,000","1,675,000","1,673,000","1,224,000",
30,Net Debt,"1,597,000","1,568,000","1,553,000","1,062,000",
31,Share Issued,"56,217","59,013","67,518","77,547",
32,Ordinary Shares Number,"56,217","59,013","67,518","77,547",
33,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
34,Operating Cash Flow,"461,000","461,000","-2,479,000","-1,937,000","-853,000"
35,Investing Cash Flow,"286,000","286,000","1,740,000","23,000","788,000"
36,Financing Cash Flow,"-670,000","-670,000","612,000","1,960,000","183,000"
37,End Cash Position,"286,000","286,000","207,000","342,000","298,000"
38,Income Tax Paid Supplemental Data,"4,000","4,000","105,000","24,000",-
39,Interest Paid Supplemental Data,"77,000","77,000","77,000","80,000","81,000"
40,Issuance of Debt,"345,000","345,000","2,363,000","5,503,000","972,000"
41,Repayment of Debt,"-497,000","-497,000","-1,171,000","-2,981,000","-232,000"
42,Repurchase of Capital Stock,"-199,000","-199,000","-500,000","-496,000","-446,000"
43,Free Cash Flow,"461,000","461,000","-2,479,000","-1,937,000","-853,000"
