,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"8,309,000","8,309,000","7,923,000","6,974,000","6,320,000"
1,Cost of Revenue,"5,538,000","5,538,000","5,328,000","4,425,000","3,845,000"
2,Gross Profit,"2,771,000","2,771,000","2,595,000","2,549,000","2,475,000"
3,Operating Expense,"1,841,000","1,841,000","1,743,000","1,654,000","1,606,000"
4,Operating Income,"930,000","930,000","852,000","895,000","869,000"
5,Net Non Operating Interest Income Expense,"-409,000","-409,000","-303,000","-298,000","-316,000"
6,Other Income Expense,"135,000","135,000","292,000","67,000","15,000"
7,Pretax Income,"656,000","656,000","841,000","664,000","568,000"
8,Tax Provision,"-9,000","-9,000","20,000","21,000","29,000"
9,Net Income Common Stockholders,"786,000","786,000","881,000","707,000","581,000"
10,Diluted NI Available to Com Stockholders,"786,000","786,000","881,000","707,000","581,000"
11,Basic EPS,1.38,2.03,2.28,1.97,1.88
12,Diluted EPS,1.37,2.03,2.27,1.97,1.88
13,Basic Average Shares,"386,775","386,800","386,727","358,087","309,495"
14,Diluted Average Shares,"387,157","387,200","387,216","358,579","309,559"
15,Total Operating Income as Reported,"930,000","930,000","852,000","895,000","869,000"
16,Total Expenses,"7,379,000","7,379,000","7,071,000","6,079,000","5,451,000"
17,Interest Expense,"409,000","409,000","303,000","298,000","316,000"
18,Net Interest Income,"-409,000","-409,000","-303,000","-298,000","-316,000"
19,Net Income from Continuing & Discontinued Operation,"786,000","786,000","881,000","707,000","581,000"
20,Normalized Income,"721,220","721,220","819,498","621,816","508,876"
21,EBIT,"1,065,000","1,065,000","1,144,000","962,000","884,000"
22,EBITDA,"2,223,000","2,223,000","2,229,000","1,976,000","1,871,000"
23,Reconciled Cost of Revenue,"5,538,000","5,538,000","5,328,000","4,425,000","3,858,000"
24,Reconciled Depreciation,"1,158,000","1,158,000","1,085,000","1,014,000","974,000"
25,Net Income from Continuing Operation Net Minority Interest,"786,000","786,000","881,000","707,000","581,000"
26,Total Unusual Items Excluding Goodwill,"82,000","82,000","63,000","88,000","76,000"
27,Total Unusual Items,"82,000","82,000","63,000","88,000","76,000"
28,Normalized EBITDA,"2,141,000","2,141,000","2,166,000","1,888,000","1,795,000"
29,Tax Rate for Calcs,0,0,0,0,0
30,Tax Effect of Unusual Items,"17,220","17,220","1,498","2,816","3,876"
31,Breakdown,12/31/2023,12/31/2022,12/31/2021,12/31/2020,
32,Total Assets,"43,989,000","41,123,000","39,504,000","37,823,000",
33,Total Liabilities Net Minority Interest,"23,313,000","20,781,000","19,543,000","21,997,000",
34,Total Equity Gross Minority Interest,"20,676,000","20,342,000","19,961,000","15,826,000",
35,Total Capitalization,"29,632,000","27,603,000","26,998,000","25,687,000",
36,Common Stock Equity,"19,648,000","19,380,000","19,076,000","15,209,000",
37,Capital Lease Obligations,"243,000","181,000","165,000","170,000",
38,Net Tangible Assets,"16,245,000","15,980,000","15,664,000","11,785,000",
39,Working Capital,"-1,835,000","-1,206,000","448,000","708,000",
40,Invested Capital,"31,604,000","28,583,000","27,531,000","26,307,000",
41,Tangible Book Value,"16,245,000","15,980,000","15,664,000","11,785,000",
42,Total Debt,"12,199,000","9,384,000","8,620,000","11,268,000",
43,Net Debt,"11,865,000","9,134,000","6,981,000","9,635,000",
44,Share Issued,"387,873","387,735","387,679","309,795",
45,Ordinary Shares Number,"386,771","386,629","386,568","309,077",
46,Treasury Shares Number,"1,102","1,106","1,111",717.617,
47,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
48,Operating Cash Flow,"919,000","919,000","1,035,000","1,561,000","1,288,000"
49,Investing Cash Flow,"-3,099,000","-3,099,000","-2,548,000","-2,440,000","-2,858,000"
50,Financing Cash Flow,"2,202,000","2,202,000","108,000","889,000","2,853,000"
51,End Cash Position,"94,000","94,000","72,000","1,477,000","1,467,000"
52,Income Tax Paid Supplemental Data,-,-,"15,000","2,000","8,000"
53,Interest Paid Supplemental Data,"338,000","338,000","273,000","279,000","278,000"
54,Capital Expenditure,"-2,972,000","-2,972,000","-2,519,000","-2,976,000","-2,781,000"
55,Issuance of Capital Stock,-,-,-,"3,998,000",-
56,Issuance of Debt,"2,315,000","2,315,000","791,000","833,000","4,367,000"
57,Repayment of Debt,"-384,000","-384,000","-374,000","-3,310,000","-1,020,000"
58,Repurchase of Capital Stock,"-3,000","-3,000","-1,000","-33,000","-3,000"
59,Free Cash Flow,"-2,053,000","-2,053,000","-1,484,000","-1,415,000","-1,493,000"
