,Breakdown,ttm,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"1,406,549","1,347,724","1,124,352","817,764"
1,Cost of Revenue,"912,859","882,099","640,104","482,212"
2,Gross Profit,"493,690","465,625","484,248","335,552"
3,Operating Expense,"240,701","224,709","192,589","147,523"
4,Operating Income,"252,989","240,916","291,659","188,029"
5,Net Non Operating Interest Income Expense,"-26,165","-84,129","-74,739","-49,626"
6,Other Income Expense,"-24,913","-21,423","-42,366","-125,008"
7,Pretax Income,"201,911","135,364","174,554","13,395"
8,Tax Provision,"54,667","26,758","43,837","12,325"
9,Net Income Common Stockholders,"146,993","108,138","130,669",412
10,Diluted NI Available to Com Stockholders,"146,993","108,138","130,669",412
11,Basic EPS,1.37,0.98,1.14,0.00
12,Diluted EPS,1.37,0.98,1.13,0.00
13,Basic Average Shares,"107,758","110,079","115,148","117,453"
14,Diluted Average Shares,"108,098","110,440","115,614","117,714"
15,Total Operating Income as Reported,"253,432","249,800","278,024","189,053"
16,Rent Expense Supplemental,"1,160","1,153","1,863",283
17,Total Expenses,"1,153,560","1,106,808","832,693","629,735"
18,Net Income from Continuing & Discontinued Operation,"146,993","108,138","130,669",412
19,Normalized Income,"165,161","125,326","162,395","82,917"
20,Interest Income,"4,755","5,781","4,081","4,084"
21,Interest Expense,"89,597","81,150","82,779","70,814"
22,Net Interest Income,"-26,165","-84,129","-74,739","-49,626"
23,EBIT,"291,508","216,514","257,333","84,209"
24,EBITDA,"575,795","470,893","475,460","266,901"
25,Reconciled Cost of Revenue,"659,348","653,531","443,430","315,567"
26,Reconciled Depreciation,"284,287","254,379","218,127","182,692"
27,Net Income from Continuing Operation Net Minority Interest,"146,993","108,138","130,669",412
28,Total Unusual Items Excluding Goodwill,"-24,913","-21,423","-42,366","-125,008"
29,Total Unusual Items,"-24,913","-21,423","-42,366","-125,008"
30,Normalized EBITDA,"600,708","492,316","517,826","391,909"
31,Tax Rate for Calcs,0,0,0,0
32,Tax Effect of Unusual Items,"-6,745","-4,235","-10,640","-42,503"
33,Breakdown,12/31/2022,12/31/2021,12/31/2020,
34,Total Assets,"3,108,855","2,582,401","2,482,236",
35,Total Liabilities Net Minority Interest,"1,945,212","1,534,571","1,518,512",
36,Total Equity Gross Minority Interest,"1,163,643","1,047,830","963,724",
37,Total Capitalization,"1,854,074","1,717,206","1,738,505",
38,Common Stock Equity,"1,126,091","1,011,719","925,041",
39,Capital Lease Obligations,"337,980","246,854","195,772",
40,Net Tangible Assets,"1,089,971","980,382","898,111",
41,Working Capital,"407,994","404,372","407,403",
42,Invested Capital,"2,133,843","1,829,370","1,896,131",
43,Tangible Book Value,"1,089,971","980,382","898,111",
44,Total Debt,"1,345,732","1,064,505","1,166,862",
45,Net Debt,"777,099","617,885","634,808",
46,Share Issued,"110,124","122,382","121,940",
47,Ordinary Shares Number,"108,191","111,097","117,297",
48,Treasury Shares Number,"1,933","11,285","4,643",
49,Breakdown,ttm,12/31/2022,12/31/2021,12/31/2020
50,Operating Cash Flow,"491,049","370,026","348,662","257,125"
51,Investing Cash Flow,"-69,224","-299,264","-175,221","-121,916"
52,Financing Cash Flow,"-129,571","-23,573","-303,133","-53,919"
53,End Cash Position,"451,616","230,653","199,766","336,282"
54,Capital Expenditure,"-233,441","-230,222","-213,005","-176,990"
55,Issuance of Debt,"536,618","389,010","317,087","323,232"
56,Repayment of Debt,"-553,204","-297,835","-502,229","-308,626"
57,Repurchase of Capital Stock,"-29,046","-36,844","-66,463","-4,365"
58,Free Cash Flow,"257,608","139,804","135,657","80,135"
