,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"356,536","356,536","309,436","259,696","167,007"
1,Cost of Revenue,"105,127","105,127","86,672","63,207","48,876"
2,Gross Profit,"251,409","251,409","222,764","196,489","118,131"
3,Operating Expense,"192,582","192,582","182,872","173,995","158,971"
4,Operating Income,"58,827","58,827","39,892","22,494","-40,840"
5,Net Non Operating Interest Income Expense,"-55,571","-55,571","-39,549","-43,288","-40,756"
6,Other Income Expense,"-1,543","-1,543","-10,603","-3,976","-9,657"
7,Pretax Income,"1,713","1,713","-10,260","-24,770","-91,253"
8,Tax Provision,"1,285","1,285","-2,225","-2,198","-5,875"
9,Net Income Common Stockholders,391,391,"-8,035","-22,572","-85,378"
10,Diluted NI Available to Com Stockholders,391,391,"-8,035","-22,572","-85,378"
11,Basic EPS,0.07,-,-0.22,-0.62,-2.40
12,Diluted EPS,0.07,-,-0.22,-0.62,-2.40
13,Basic Average Shares,"37,912",-,"37,275","36,688","35,639"
14,Diluted Average Shares,"37,917",-,"37,275","36,688","35,639"
15,Total Operating Income as Reported,"57,393","57,393","37,969","19,703","-44,169"
16,Total Expenses,"297,709","297,709","269,544","237,202","207,847"
17,Net Income from Continuing & Discontinued Operation,428,428,"-8,035","-22,572","-85,378"
18,Normalized Income,"1,561","1,561",164.576,"-20,029","-79,359"
19,Interest Income,"1,855","1,855","1,059","1,064","1,179"
20,Interest Expense,"57,426","57,426","40,608","44,352","41,935"
21,Net Interest Income,"-55,571","-55,571","-39,549","-43,288","-40,756"
22,EBIT,"59,139","59,139","30,348","19,582","-49,318"
23,EBITDA,"142,312","142,312","112,193","99,998","43,825"
24,Reconciled Cost of Revenue,"98,903","98,903","80,343","56,729","41,455"
25,Reconciled Depreciation,"83,173","83,173","81,845","80,416","93,143"
26,Net Income from Continuing Operation Net Minority Interest,428,428,"-8,035","-22,572","-85,378"
27,Total Unusual Items Excluding Goodwill,"-1,434","-1,434","-10,472","-2,791","-6,431"
28,Total Unusual Items,"-1,434","-1,434","-10,472","-2,791","-6,431"
29,Normalized EBITDA,"143,746","143,746","122,665","102,789","50,256"
30,Tax Rate for Calcs,0,0,0,0,0
31,Tax Effect of Unusual Items,-301.14,-301.14,"-2,272",-248.399,-411.584
32,Breakdown,12/31/2023,12/31/2022,12/31/2021,12/31/2020,
33,Total Assets,"680,338","684,751","732,811","740,778",
34,Total Liabilities Net Minority Interest,"612,671","635,390","691,240","686,995",
35,Total Equity Gross Minority Interest,"67,667","49,361","41,571","53,783",
36,Total Capitalization,"615,166","599,442","640,852","655,343",
37,Common Stock Equity,"67,667","49,361","41,571","53,783",
38,Capital Lease Obligations,"11,231","12,700","14,008","11,364",
39,Net Tangible Assets,"-346,255","-380,428","-404,019","-419,903",
40,Working Capital,"117,793","87,598","129,594","116,365",
41,Invested Capital,"621,419","605,502","647,729","662,374",
42,Tangible Book Value,"-346,255","-380,428","-404,019","-419,903",
43,Total Debt,"564,983","568,841","620,166","619,955",
44,Net Debt,"502,816","518,250","511,181","526,902",
45,Share Issued,"38,948","37,789","36,944","36,494",
46,Ordinary Shares Number,"38,948","37,789","36,944","36,494",
47,Treasury Shares Number,0,-,-,-,
48,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
49,Operating Cash Flow,"86,199","86,199","77,709","78,332","36,170"
50,Investing Cash Flow,"-58,818","-58,818","-72,088","-50,137","-39,283"
51,Financing Cash Flow,"-14,180","-14,180","-62,720","-14,905","71,643"
52,End Cash Position,"51,180","51,180","37,911","94,997","81,709"
53,Income Tax Paid Supplemental Data,"1,802","1,802",814,544,423
54,Interest Paid Supplemental Data,"54,120","54,120","37,208","39,268","37,749"
55,Capital Expenditure,"-61,921","-61,921","-69,238","-51,534","-35,712"
56,Issuance of Capital Stock,-,-,-,-,0
57,Issuance of Debt,0,0,"569,250",0,"122,150"
58,Repayment of Debt,"-7,788","-7,788","-620,316","-7,658","-37,047"
59,Repurchase of Capital Stock,-347,-347,-201,-906,-560
60,Free Cash Flow,"24,278","24,278","8,471","26,798",458
