,Breakdown,ttm,1/31/2023,1/31/2022,1/31/2021
0,Total Revenue,"527,557","455,040","509,370","392,206"
1,Cost of Revenue,"450,328","368,679","409,638","330,139"
2,Gross Profit,"77,229","86,361","99,732","62,067"
3,Operating Expense,"42,933","44,692","47,321","39,041"
4,Operating Income,"34,296","41,669","52,411","23,026"
5,Other Income Expense,"9,685","4,331","-5,349","1,859"
6,Pretax Income,"43,981","46,000","47,062","24,885"
7,Tax Provision,"8,402","11,296","11,356","1,074"
8,Net Income Common Stockholders,"33,973","33,098","38,244","23,851"
9,Diluted NI Available to Com Stockholders,"33,973","33,098","38,244","23,851"
10,Basic EPS,2.51,2.35,2.43,1.52
11,Diluted EPS,2.47,2.33,2.40,1.51
12,Basic Average Shares,"13,418","14,083","15,715","15,668"
13,Diluted Average Shares,"13,575","14,176","15,913","15,825"
14,Total Operating Income as Reported,"34,296","41,669","44,510","23,026"
15,Total Expenses,"493,261","413,371","456,959","369,180"
16,Net Income from Continuing & Discontinued Operation,"33,973","33,098","38,244","23,851"
17,Normalized Income,"33,973","33,098","44,241","23,851"
18,EBIT,"34,296","41,669","52,411","23,026"
19,EBITDA,"36,922","45,384","56,648","27,645"
20,Reconciled Cost of Revenue,"450,328","368,679","409,638","330,139"
21,Reconciled Depreciation,"2,626","3,715","4,237","4,619"
22,Net Income from Continuing Operation Net Minority Interest,"33,973","33,098","38,244","23,851"
23,Total Unusual Items Excluding Goodwill,0,0,"-7,901",0
24,Total Unusual Items,0,0,"-7,901",0
25,Normalized EBITDA,"36,922","45,384","64,549","27,645"
26,Tax Rate for Calcs,0,0,0,0
27,Tax Effect of Unusual Items,0,0,"-1,904",0
28,Breakdown,1/31/2023,1/31/2022,1/31/2021,
29,Total Assets,"489,487","553,585","602,630",
30,Total Liabilities Net Minority Interest,"208,590","227,990","280,222",
31,Total Equity Gross Minority Interest,"280,897","325,595","322,408",
32,Total Capitalization,"280,897","326,392","320,667",
33,Common Stock Equity,"280,897","326,392","320,667",
34,Capital Lease Obligations,"1,567","1,367",-,
35,Net Tangible Assets,"250,255","295,037","288,627",
36,Working Capital,"236,199","284,257","270,133",
37,Invested Capital,"280,897","326,392","320,667",
38,Tangible Book Value,"250,255","295,037","288,627",
39,Total Debt,"1,567","1,367",-,
40,Share Issued,"15,828","15,789","15,706",
41,Ordinary Shares Number,"13,442","15,258","15,703",
42,Treasury Shares Number,"2,387",530.985,3.233,
43,Breakdown,ttm,1/31/2023,1/31/2022,1/31/2021
44,Operating Cash Flow,"135,190","-30,061","28,415","176,013"
45,Investing Cash Flow,"-62,675","-63,122","-7,038","66,970"
46,Financing Cash Flow,"-27,075","-82,803","-34,608","-45,406"
47,End Cash Position,"181,505","173,947","350,472","366,671"
48,Capital Expenditure,"-2,933","-3,372","-1,422","-1,697"
49,Repurchase of Capital Stock,"-13,451","-68,236","-20,372",0
50,Free Cash Flow,"132,257","-33,433","26,993","174,316"
