,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"652,055","652,055","454,153","284,076","383,634"
1,Cost of Revenue,"478,574","478,574","299,957","156,446","266,568"
2,Gross Profit,"173,481","173,481","154,196","127,630","117,066"
3,Operating Expense,"116,123","116,123","90,401","83,693","73,719"
4,Operating Income,"57,358","57,358","63,795","43,937","43,347"
5,Net Non Operating Interest Income Expense,"-42,707","-42,707","-22,702","-15,448","-11,194"
6,Other Income Expense,"-5,659","-5,659","58,715","-3,776","4,523"
7,Pretax Income,"8,992","8,992","99,808","24,713","36,676"
8,Tax Provision,"1,329","1,329",-145,-742,-283
9,Net Income Common Stockholders,"-4,490","-3,261","63,199","10,344","21,803"
10,Diluted NI Available to Com Stockholders,"-4,490","-3,261","63,199","10,344","21,803"
11,Basic EPS,0.35,-0.05,0.94,0.17,0.51
12,Diluted EPS,0.35,-0.05,0.94,0.17,0.38
13,Basic Average Shares,"67,841","67,692","67,576","60,647","59,073"
14,Diluted Average Shares,"67,841","67,692","67,576","60,647","78,309"
15,Total Operating Income as Reported,"73,587","73,587","134,412","59,152","48,741"
16,Total Expenses,"594,697","594,697","390,358","240,139","340,287"
17,Net Income from Continuing & Discontinued Operation,"7,058","8,287","74,747","21,892","29,152"
18,Normalized Income,"11,907","13,136","28,661","24,869","26,226"
19,Interest Income,"15,103","15,103","16,978","18,457","19,841"
20,Interest Expense,"57,810","57,810","39,680","33,905","31,035"
21,Net Interest Income,"-42,707","-42,707","-22,702","-15,448","-11,194"
22,EBIT,"66,802","66,802","139,488","58,618","67,711"
23,EBITDA,"164,229","164,229","213,572","128,493","128,269"
24,Reconciled Cost of Revenue,"478,574","511,190","318,383","173,750","282,869"
25,Reconciled Depreciation,"97,427","64,811","55,658","52,571","44,257"
26,Net Income from Continuing Operation Net Minority Interest,"7,058","8,287","74,747","21,892","29,152"
27,Total Unusual Items Excluding Goodwill,"-5,690","-5,690","58,337","-4,078","4,008"
28,Total Unusual Items,"-5,690","-5,690","58,337","-4,078","4,008"
29,Normalized EBITDA,"169,919","169,919","155,235","132,571","124,261"
30,Tax Rate for Calcs,0,0,0,0,0
31,Tax Effect of Unusual Items,-840.9709,-840.9709,"12,251","-1,101","1,082"
32,Breakdown,12/31/2023,12/31/2022,12/31/2021,12/31/2020,
33,Total Assets,"2,562,898","2,242,310","1,938,063","1,916,971",
34,Total Liabilities Net Minority Interest,"1,757,720","1,338,296","1,158,240","1,160,169",
35,Total Equity Gross Minority Interest,"805,178","904,014","779,823","756,802",
36,Total Capitalization,"1,696,460","1,648,580","1,457,764","1,467,040",
37,Preferred Stock Equity,"171,085","171,085","171,085","171,085",
38,Common Stock Equity,"401,537","476,365","384,267","352,114",
39,Capital Lease Obligations,"123,397","78,154","77,808","59,613",
40,Net Tangible Assets,"463,485","543,580","493,314","465,045",
41,Working Capital,"-144,382","104,036","174,263","154,135",
42,Invested Capital,"1,798,502","1,544,626","1,301,823","1,315,959",
43,Tangible Book Value,"292,400","372,495","322,229","293,960",
44,Total Debt,"1,520,362","1,146,415","995,364","1,023,458",
45,Net Debt,"1,369,045","1,020,122","882,309","922,847",
46,Share Issued,"66,793","67,730","63,012","59,073",
47,Ordinary Shares Number,"66,793","67,730","63,012","59,073",
48,Preferred Shares Number,"6,843","6,843","6,843","6,843",
49,Treasury Shares Number,0,-,-,-,
50,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
51,Operating Cash Flow,-,"93,314","116,858","91,184","91,179"
52,Investing Cash Flow,-,"-237,266","-33,242","-57,629","-26,227"
53,Financing Cash Flow,-,"122,253","-72,194","-43,542","-58,101"
54,End Cash Position,-,"30,166","51,865","40,443","50,430"
55,Income Tax Paid Supplemental Data,-,33,1,4,167
56,Interest Paid Supplemental Data,-,"44,920","29,878","29,237","28,554"
57,Issuance of Capital Stock,-,-,"65,159","51,677","121,110"
58,Issuance of Debt,-,"402,568","678,574","161,806","176,619"
59,Repayment of Debt,-,"-180,869","-723,739","-187,758","-299,318"
60,Repurchase of Capital Stock,-,"-12,836",0,0,-
61,Free Cash Flow,-,"93,314","116,858","91,184","91,179"
