,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"36,811","36,811","-19,832","20,657","8,780"
1,Pretax Income,"34,657","34,657","-21,884","18,384","6,903"
2,Net Income Common Stockholders,"34,657","34,657","-21,884","18,384","6,903"
3,Diluted NI Available to Com Stockholders,"34,657","34,657","-21,884","18,384","6,903"
4,Basic EPS,1.70,-,-1.51,1.27,0.48
5,Diluted EPS,1.70,-,-1.51,1.27,0.48
6,Basic Average Shares,"14,537",-,"14,493","14,475","14,381"
7,Diluted Average Shares,"14,537",-,"14,493","14,475","14,381"
8,Net Income from Continuing & Discontinued Operation,"34,657","34,657","-21,884","18,384","6,903"
9,Normalized Income,"34,657","34,657","-21,884","18,384","6,903"
10,Net Income from Continuing Operation Net Minority Interest,"34,657","34,657","-21,884","18,384","6,903"
11,Tax Rate for Calcs,0,0,0,0,0
12,Tax Effect of Unusual Items,0,0,0,0,0
13,Breakdown,12/31/2023,12/31/2022,12/31/2021,12/31/2020,
14,Total Assets,"338,162","327,991","414,256","363,804",
15,Total Liabilities Net Minority Interest,"124,592","127,657","175,029","128,526",
16,Total Equity Gross Minority Interest,"213,570","200,334","239,227","235,278",
17,Total Capitalization,"334,518","321,167","360,155","345,099",
18,Common Stock Equity,"213,570","200,334","239,227","235,278",
19,Net Tangible Assets,"213,570","200,334","239,227","235,278",
20,Invested Capital,"334,518","321,167","360,155","345,099",
21,Tangible Book Value,"213,570","200,334","239,227","235,278",
22,Total Debt,"120,948","120,833","120,928","109,820",
23,Net Debt,"105,131","100,073","102,397","106,683",
24,Share Issued,"14,464","14,464","14,464","14,464",
25,Ordinary Shares Number,"14,464","14,464","14,464","14,464",
26,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
27,Operating Cash Flow,"16,488","16,488","19,591","20,383","28,970"
28,Financing Cash Flow,"-21,431","-21,431","-17,362","-4,989","-30,732"
29,End Cash Position,"15,817","15,817","20,760","18,531","3,137"
30,Issuance of Debt,-,-,-,"11,000",-
31,Repayment of Debt,-,-,-,-,"-16,500"
32,Free Cash Flow,"16,488","16,488","19,591","20,383","28,970"
