,Breakdown,ttm,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,135,141,135,163
1,Cost of Revenue,176,0,850,806
2,Gross Profit,-41,141,-715,-643
3,Operating Expense,"19,992","20,064","16,344","14,374"
4,Operating Income,"-20,033","-19,923","-17,059","-15,017"
5,Net Non Operating Interest Income Expense,196,629,-67,-672
6,Other Income Expense,"-1,065",-151,"-2,001","1,289"
7,Pretax Income,"-20,902","-19,445","-19,127","-14,400"
8,Net Income Common Stockholders,"-20,902","-19,445","-19,127","-14,400"
9,Diluted NI Available to Com Stockholders,"-20,902","-19,445","-19,127","-14,400"
10,Basic EPS,-0.43,-0.40,-0.40,-0.45
11,Diluted EPS,-0.43,-0.40,-0.40,-0.45
12,Basic Average Shares,"48,383","48,047","47,340","31,843"
13,Diluted Average Shares,"48,383","48,047","47,340","31,843"
14,Total Operating Income as Reported,"-21,812","-19,923","-18,838","-15,152"
15,Total Expenses,"20,168","20,064","17,194","15,180"
16,Net Income from Continuing & Discontinued Operation,"-20,902","-19,445","-19,127","-14,400"
17,Normalized Income,"-17,311","-17,804","-14,807","-14,503"
18,Interest Income,"1,144",629,0,219
19,Interest Expense,0,0,67,672
20,Net Interest Income,196,629,-67,-672
21,EBIT,"-20,902","-19,445","-19,060","-13,728"
22,EBITDA,"-20,622","-19,189","-18,285","-12,995"
23,Reconciled Cost of Revenue,176,0,850,806
24,Reconciled Depreciation,280,256,775,733
25,Net Income from Continuing Operation Net Minority Interest,"-20,902","-19,445","-19,127","-14,400"
26,Total Unusual Items Excluding Goodwill,"-3,591","-1,641","-4,320",103
27,Total Unusual Items,"-3,591","-1,641","-4,320",103
28,Normalized EBITDA,"-17,031","-17,548","-13,965","-13,098"
29,Tax Rate for Calcs,0,0,0,0
30,Tax Effect of Unusual Items,0,0,0,0
31,Breakdown,12/31/2022,12/31/2021,12/31/2020,
32,Total Assets,"40,488","57,699","64,584",
33,Total Liabilities Net Minority Interest,"2,020",820,"3,290",
34,Total Equity Gross Minority Interest,"38,468","56,879","61,294",
35,Total Capitalization,"38,468","56,879","61,294",
36,Preferred Stock Equity,696,715,732,
37,Common Stock Equity,"37,772","56,164","60,562",
38,Capital Lease Obligations,837,149,"2,055",
39,Net Tangible Assets,"36,527","54,905","59,796",
40,Working Capital,"34,960","49,540","39,208",
41,Invested Capital,"37,772","56,164","60,792",
42,Tangible Book Value,"35,831","54,190","59,064",
43,Total Debt,837,149,"2,285",
44,Share Issued,"48,084","47,995","42,154",
45,Ordinary Shares Number,"48,084","47,995","42,154",
46,Breakdown,ttm,12/31/2022,12/31/2021,12/31/2020
47,Operating Cash Flow,"-15,784","-16,108","-13,965","-10,368"
48,Investing Cash Flow,"7,989","10,988",-631,"-9,164"
49,Financing Cash Flow,205,80,"8,188","56,563"
50,End Cash Position,"29,759","27,053","32,093","38,501"
51,Capital Expenditure,-251,-271,-633,-595
52,Issuance of Capital Stock,205,80,"13,042","61,248"
53,Issuance of Debt,-,-,-,0
54,Repayment of Debt,0,0,"-4,854","-4,685"
55,Free Cash Flow,"-16,035","-16,379","-14,598","-10,963"
