,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"1,147,909","1,147,909","1,034,887","929,240","900,610"
1,Cost of Revenue,"724,191","724,191","645,105","550,849","529,538"
2,Gross Profit,"423,718","423,718","389,782","378,391","371,072"
3,Operating Expense,"255,542","255,542","208,654","193,217","199,256"
4,Operating Income,"168,176","168,176","181,128","185,174","171,816"
5,Net Non Operating Interest Income Expense,"-13,781","-13,781","-14,313","-15,264","-13,951"
6,Other Income Expense,"6,061","6,061","-34,835","-3,979","-18,791"
7,Pretax Income,"160,456","160,456","131,980","165,931","139,074"
8,Tax Provision,"48,846","48,846","35,472","47,163","41,831"
9,Net Income Common Stockholders,"111,120","111,120","95,762","118,478","98,589"
10,Diluted NI Available to Com Stockholders,"111,120","111,120","95,762","118,478","98,589"
11,Basic EPS,3.18,-,3.06,3.66,3.05
12,Diluted EPS,3.16,-,3.04,3.65,3.05
13,Basic Average Shares,"31,149",-,"31,339","32,348","32,329"
14,Diluted Average Shares,"31,259",-,"31,455","32,463","32,356"
15,Total Operating Income as Reported,"167,894","167,894","181,022","178,011","166,080"
16,Total Expenses,"979,733","979,733","853,759","744,066","728,794"
17,Net Income from Continuing & Discontinued Operation,"111,120","111,120","95,762","118,478","98,589"
18,Normalized Income,"109,287","109,287","88,532","118,587","112,083"
19,Interest Income,"6,566","6,566","3,835","2,500","2,748"
20,Interest Expense,"20,167","20,167","17,835","17,391","16,332"
21,Net Interest Income,"-13,781","-13,781","-14,313","-15,264","-13,951"
22,EBIT,"180,623","180,623","149,815","183,322","155,406"
23,EBITDA,"257,356","257,356","218,864","257,577","228,111"
24,Reconciled Cost of Revenue,"724,191","724,191","645,105","550,849","529,538"
25,Reconciled Depreciation,"76,733","76,733","69,049","74,255","72,705"
26,Net Income from Continuing Operation Net Minority Interest,"111,120","111,120","95,762","118,478","98,589"
27,Total Unusual Items Excluding Goodwill,"2,634","2,634","9,890",-152,"-19,305"
28,Total Unusual Items,"2,634","2,634","9,890",-152,"-19,305"
29,Normalized EBITDA,"254,722","254,722","208,974","257,729","247,416"
30,Tax Rate for Calcs,0,0,0,0,0
31,Tax Effect of Unusual Items,800.736,800.736,"2,660",-43.168,"-5,811"
32,Breakdown,12/31/2023,12/31/2022,12/31/2021,12/31/2020,
33,Total Assets,"1,835,014","1,642,255","1,556,064","1,549,936",
34,Total Liabilities Net Minority Interest,"867,694","774,712","678,459","730,071",
35,Total Equity Gross Minority Interest,"967,320","867,543","877,605","819,865",
36,Total Capitalization,"1,414,035","1,302,049","1,223,967","1,214,066",
37,Common Stock Equity,"961,368","863,049","873,967","816,066",
38,Capital Lease Obligations,"57,972","56,119","30,852","35,581",
39,Net Tangible Assets,"736,541","651,021","652,762","581,644",
40,Working Capital,"629,285","627,123","550,635","526,413",
41,Invested Capital,"1,418,253","1,302,049","1,223,967","1,214,075",
42,Tangible Book Value,"736,541","651,021","652,762","581,644",
43,Total Debt,"514,857","495,119","380,852","433,590",
44,Net Debt,"283,465","147,224","47,964","156,693",
45,Share Issued,"40,857","40,785","40,761","40,733",
46,Ordinary Shares Number,"31,195","31,111","32,096","32,342",
47,Treasury Shares Number,"9,662","9,675","8,665","8,391",
48,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
49,Operating Cash Flow,"148,056","148,056","128,214","217,475","140,253"
50,Investing Cash Flow,"-217,899","-217,899","-96,348","-53,699","-42,390"
51,Financing Cash Flow,"-52,641","-52,641","-23,652","-99,635","-60,669"
52,End Cash Position,"173,420","173,420","291,776","302,036","241,316"
53,Capital Expenditure,"-84,429","-84,429","-96,348","-53,699","-42,390"
54,Issuance of Debt,"78,040","78,040","162,000","8,000","75,000"
55,Repayment of Debt,"-92,274","-92,274","-73,654","-57,447","-108,234"
56,Repurchase of Capital Stock,0,0,"-84,780","-23,449",0
57,Free Cash Flow,"63,627","63,627","31,866","163,776","97,863"
