,Breakdown,ttm,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"51,937","53,238","58,939","50,097"
1,Cost of Revenue,"45,949","45,786","48,686","43,585"
2,Gross Profit,"5,988","7,452","10,253","6,512"
3,Operating Expense,"7,690","7,646","7,766","7,951"
4,Operating Income,"-1,702",-194,"2,487","-1,439"
5,Net Non Operating Interest Income Expense,"-1,875","-1,338","-1,265","-1,491"
6,Other Income Expense,366,456,405,"2,844"
7,Pretax Income,"-3,211","-1,076","1,627",-86
8,Tax Provision,0,0,0,"-1,412"
9,Net Income Common Stockholders,"-3,211","-1,076","1,627","1,096"
10,Diluted NI Available to Com Stockholders,"-3,211","-1,076","1,627","1,096"
11,Basic EPS,-0.99,-0.33,0.51,0.30
12,Diluted EPS,-0.99,-0.33,0.45,0.30
13,Basic Average Shares,"3,261","3,227","3,205","3,074"
14,Diluted Average Shares,"3,261","3,227","3,642","3,675"
15,Total Operating Income as Reported,"-1,702",-194,"2,487","-1,439"
16,Total Expenses,"53,639","53,432","56,452","51,536"
17,Net Income from Continuing & Discontinued Operation,"-3,211","-1,076","1,627","1,096"
18,Normalized Income,"-3,528","-1,393","1,627",-436.22
19,Interest Expense,"1,875","1,338","1,265","1,491"
20,Net Interest Income,"-1,875","-1,338","-1,265","-1,491"
21,EBIT,"-1,336",262,"2,892","1,405"
22,EBITDA,"1,724","3,329","6,187","4,457"
23,Reconciled Cost of Revenue,"45,949","45,786","48,686","43,585"
24,Reconciled Depreciation,"3,060","3,067","3,295","3,052"
25,Net Income from Continuing Operation Net Minority Interest,"-3,211","-1,076","1,627","1,326"
26,Total Unusual Items Excluding Goodwill,317,317,0,"2,414"
27,Total Unusual Items,317,317,0,"2,414"
28,Normalized EBITDA,"1,407","3,012","6,187","2,043"
29,Tax Rate for Calcs,0,0,0,0
30,Tax Effect of Unusual Items,0,0,0,651.78
31,Breakdown,12/31/2022,12/31/2021,12/31/2020,
32,Total Assets,"53,814","53,425","57,777",
33,Total Liabilities Net Minority Interest,"36,975","36,036","42,668",
34,Total Equity Gross Minority Interest,"16,839","17,389","15,109",
35,Total Capitalization,"27,630","26,639","25,907",
36,Common Stock Equity,"16,839","17,389","15,109",
37,Capital Lease Obligations,"3,241","3,927","4,628",
38,Net Tangible Assets,"16,839","17,226","14,946",
39,Working Capital,"18,600","17,478","16,284",
40,Invested Capital,"42,107","40,751","42,382",
41,Tangible Book Value,"16,839","17,226","14,946",
42,Total Debt,"28,509","27,289","31,901",
43,Net Debt,"24,987","22,735","24,768",
44,Share Issued,"3,248","3,213","3,191",
45,Ordinary Shares Number,"3,248","3,213","3,191",
46,Preferred Shares Number,"30,532","30,532","30,532",
47,Breakdown,ttm,12/31/2022,12/31/2021,12/31/2020
48,Operating Cash Flow,"7,614",448,"4,064","-1,525"
49,Investing Cash Flow,"-2,248","-2,361","-1,364","-3,797"
50,Financing Cash Flow,"-4,818","1,567","-4,578","6,533"
51,End Cash Position,740,281,627,"2,505"
52,Income Tax Paid Supplemental Data,-,6,7,0
53,Interest Paid Supplemental Data,"1,872","1,295","1,206",924
54,Capital Expenditure,"-2,248","-2,361","-1,364","-3,797"
55,Issuance of Capital Stock,-,-,0,984
56,Issuance of Debt,"1,286","3,739",0,"7,857"
57,Repayment of Debt,"-6,079","-2,152","-4,578","-2,082"
58,Free Cash Flow,"5,366","-1,913","2,700","-5,322"
