,Breakdown,ttm,6/30/2023,6/30/2022,6/30/2021,6/30/2020
0,Total Revenue,"4,462,450","4,412,794","3,810,676","3,235,919","3,245,652"
1,Cost of Revenue,"3,148,601","3,125,829","2,703,760","2,300,395","2,307,916"
2,Gross Profit,"1,313,849","1,286,965","1,106,916","935,524","937,736"
3,Operating Expense,"826,319","815,284","749,668","680,825","717,980"
4,Operating Income,"487,530","471,681","357,248","254,699","219,756"
5,Net Non Operating Interest Income Expense,"-12,211","-21,639","-26,263","-30,592","-36,535"
6,Other Income Expense,"4,028",-231,"-1,195","-47,045","-127,985"
7,Pretax Income,"479,347","449,811","329,790","177,062","55,236"
8,Tax Provision,"104,891","103,072","72,376","32,305","31,194"
9,Net Income Common Stockholders,"374,456","346,739","257,414","144,757","24,042"
10,Diluted NI Available to Com Stockholders,"374,456","346,739","257,414","144,757","24,042"
11,Basic EPS,9.40,8.98,6.69,3.73,0.62
12,Diluted EPS,9.26,8.84,6.58,3.68,0.62
13,Basic Average Shares,"38,636","38,592","38,471","38,758","38,658"
14,Diluted Average Shares,"39,270","39,220","39,105","39,296","38,999"
15,Total Operating Income as Reported,"489,000","473,151","357,858","205,454","88,989"
16,Total Expenses,"3,974,920","3,941,113","3,453,428","2,981,220","3,025,896"
17,Net Income from Continuing & Discontinued Operation,"374,456","346,739","257,414","144,757","24,042"
18,Normalized Income,"372,414","347,042","258,330","183,428","117,540"
19,Interest Income,-,"3,151",522,215,729
20,Interest Expense,"34,858","24,790","26,785","30,807","37,264"
21,Net Interest Income,"-12,211","-21,639","-26,263","-30,592","-36,535"
22,EBIT,"494,709","474,601","356,575","207,869","92,500"
23,EBITDA,"547,643","527,672","410,130","263,014","155,249"
24,Reconciled Cost of Revenue,"3,148,601","3,125,829","2,703,760","2,300,395","2,307,916"
25,Reconciled Depreciation,"52,934","53,071","53,555","55,145","62,749"
26,Net Income from Continuing Operation Net Minority Interest,"374,456","346,739","257,414","144,757","24,042"
27,Total Unusual Items Excluding Goodwill,"2,614",-393,"-1,173","-47,275","-128,079"
28,Total Unusual Items,"2,614",-393,"-1,173","-47,275","-128,079"
29,Normalized EBITDA,"545,029","528,065","411,303","310,289","283,328"
30,Tax Rate for Calcs,0,0,0,0,0
31,Tax Effect of Unusual Items,571.9971,-89.997,-256.887,"-8,604","-34,581"
32,Breakdown,6/30/2023,6/30/2022,6/30/2021,6/30/2020,
33,Total Assets,"2,743,332","2,452,588","2,271,807","2,283,551",
34,Total Liabilities Net Minority Interest,"1,284,895","1,303,233","1,339,261","1,440,009",
35,Total Equity Gross Minority Interest,"1,458,437","1,149,355","932,546","843,542",
36,Total Capitalization,"2,055,363","1,798,505","1,717,401","1,698,685",
37,Common Stock Equity,"1,458,437","1,149,355","932,546","843,542",
38,Net Tangible Assets,"644,470","335,560","92,841","-40,267",
39,Working Capital,"1,106,463","859,902","768,875","733,686",
40,Invested Capital,"2,080,533","1,838,679","1,760,926","1,777,331",
41,Tangible Book Value,"644,470","335,560","92,841","-40,267",
42,Total Debt,"622,096","689,324","828,380","933,789",
43,Net Debt,"278,060","504,850","570,635","665,238",
44,Share Issued,"54,213","54,213","54,213","54,213",
45,Ordinary Shares Number,"38,657","38,499","38,516","38,710",
46,Treasury Shares Number,"15,556","15,714","15,697","15,503",
47,Breakdown,ttm,6/30/2023,6/30/2022,6/30/2021,6/30/2020
48,Operating Cash Flow,"423,110","343,966","187,570","241,697","296,714"
49,Investing Cash Flow,"-53,460","-60,833","-35,658","-44,930","-55,404"
50,Financing Cash Flow,"-126,982","-126,888","-223,029","-213,037","-78,238"
51,End Cash Position,"408,206","344,036","184,474","257,745","268,551"
52,Income Tax Paid Supplemental Data,-,"108,084","53,301","64,394","41,162"
53,Interest Paid Supplemental Data,-,"22,567","20,164","27,492","36,648"
54,Capital Expenditure,"-23,522","-26,476","-18,124","-15,852","-20,115"
55,Issuance of Debt,-,0,"410,592","26,000","25,000"
56,Repayment of Debt,"-52,249","-67,247","-550,493","-131,883","-49,553"
57,Repurchase of Capital Stock,"-10,677",-716,"-13,784","-40,089",0
58,Free Cash Flow,"399,588","317,490","169,446","225,845","276,599"
