,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"186,995","186,995","190,344","169,836","151,451"
1,Cost of Revenue,"73,712","73,712","71,792","67,613","61,514"
2,Gross Profit,"113,283","113,283","118,552","102,223","89,937"
3,Operating Expense,"101,699","101,699","198,640","117,863","88,434"
4,Operating Income,"11,584","11,584","-80,088","-15,640","1,503"
5,Net Non Operating Interest Income Expense,"-27,987","-27,987","-69,790","-50,625","-27,402"
6,Other Income Expense,"-153,668","-153,668","259,300","47,715","9,979"
7,Pretax Income,"-170,071","-170,071","109,422","-18,550","-15,920"
8,Tax Provision,"-12,752","-12,752","17,264","-13,570","-10,149"
9,Net Income Common Stockholders,"-166,196","-166,196","74,639","-5,910","-5,041"
10,Diluted NI Available to Com Stockholders,"-166,196","-166,196","74,639","-5,910","-5,041"
11,Basic EPS,-1.42,-1.16,0.50,-0.04,-0.03
12,Diluted EPS,-1.42,-1.16,0.49,-0.04,-0.03
13,Basic Average Shares,"145,439","143,618","149,395","149,480","148,569"
14,Diluted Average Shares,"145,850","143,618","150,834","149,480","148,569"
15,Total Expenses,"175,411","175,411","270,432","185,476","149,948"
16,Net Income from Continuing & Discontinued Operation,"-166,196","-166,196","75,726","-5,910","-5,041"
17,Normalized Income,"-174,616","-174,616","-287,299","-10,662","5,764"
18,Interest Income,"9,731","9,731","4,052","2,277",110
19,Interest Expense,"37,718","37,718","73,842","52,902","27,512"
20,Net Interest Income,"-27,987","-27,987","-69,790","-50,625","-27,402"
21,EBIT,"-132,353","-132,353","183,264","34,352","11,592"
22,EBITDA,"-63,519","-63,519","342,231","119,064","89,557"
23,Reconciled Cost of Revenue,"73,712","73,712","71,792","67,613","61,514"
24,Reconciled Depreciation,"68,834","68,834","158,967","84,712","77,965"
25,Net Income from Continuing Operation Net Minority Interest,"-166,196","-166,196","75,726","-5,910","-5,041"
26,Total Unusual Items Excluding Goodwill,"9,103","9,103","431,031","6,509","-14,802"
27,Total Unusual Items,"9,103","9,103","431,031","6,509","-14,802"
28,Normalized EBITDA,"-72,622","-72,622","-88,800","112,555","104,359"
29,Tax Rate for Calcs,0,0,0,0,0
30,Tax Effect of Unusual Items,682.547,682.547,"68,006","1,757","-3,997"
31,Breakdown,12/31/2023,12/31/2022,12/31/2021,12/31/2020,
32,Total Assets,"2,089,475","2,181,223","2,434,101","1,840,492",
33,Total Liabilities Net Minority Interest,"1,497,865","1,389,039","1,838,074","1,277,138",
34,Total Equity Gross Minority Interest,"591,610","792,184","596,027","563,354",
35,Total Capitalization,"1,497,393","1,596,051","1,681,399","1,481,872",
36,Common Stock Equity,"349,652","547,852","500,565","499,778",
37,Capital Lease Obligations,"118,697","114,625","435,093","86,781",
38,Net Tangible Assets,"336,158","533,692","497,296","492,514",
39,Working Capital,"125,562","183,896","213,036","279,412",
40,Invested Capital,"1,497,393","1,596,051","1,681,399","1,481,872",
41,Tangible Book Value,"336,158","533,692","497,296","492,514",
42,Total Debt,"1,266,438","1,162,824","1,615,927","1,068,875",
43,Net Debt,"1,025,140","841,739","947,460","692,512",
44,Share Issued,"140,576","146,525","149,818","149,036",
45,Ordinary Shares Number,"140,576","146,525","149,818","149,036",
46,Treasury Shares Number,0,-,-,-,
47,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
48,Operating Cash Flow,"50,467","50,467","204,232","12,586","47,846"
49,Investing Cash Flow,"-260,396","-260,396","-120,754","-271,410","-129,325"
50,Financing Cash Flow,"119,430","119,430","-98,294","204,671","370,094"
51,End Cash Position,"139,267","139,267","229,766","244,582","298,735"
52,Income Tax Paid Supplemental Data,"1,711","1,711","22,930","2,941","9,216"
53,Interest Paid Supplemental Data,"32,795","32,795","45,171","43,800","22,152"
54,Capital Expenditure,"-272,497","-272,497","-237,523","-177,809","-23,889"
55,Issuance of Debt,"174,445","174,445","849,426","224,927","40,000"
56,Repayment of Debt,"-88,668","-88,668","-1,001,172","-35,238","-84,193"
57,Repurchase of Capital Stock,"-47,924","-47,924","-23,717",-76,0
58,Free Cash Flow,"-222,030","-222,030","-33,291","-165,223","23,957"
