,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"338,692","338,692","326,290","292,497","250,908"
1,Cost of Revenue,"108,476","108,476","101,927","98,873","98,028"
2,Gross Profit,"230,216","230,216","224,363","193,624","152,880"
3,Operating Expense,"177,454","177,454","179,983","163,564","183,027"
4,Operating Income,"52,762","52,762","44,380","30,060","-30,147"
5,Net Non Operating Interest Income Expense,"-73,260","-73,260","-65,568","-58,983","-60,692"
6,Other Income Expense,"19,050","19,050","-44,051","55,046","25,390"
7,Pretax Income,"-1,448","-1,448","-65,239","26,123","-65,449"
8,Tax Provision,301,301,12,93,269
9,Net Income Common Stockholders,"19,873","19,873","-35,445","23,548","-8,976"
10,Diluted NI Available to Com Stockholders,"19,873","19,873","-35,445","23,548","-8,976"
11,Basic EPS,0.25,-,-0.38,0.26,-0.10
12,Diluted EPS,0.24,-,-0.40,0.26,-0.10
13,Basic Average Shares,"94,950",-,"94,575","87,654","86,442"
14,Diluted Average Shares,"94,950",-,"94,643","87,654","86,442"
15,Total Operating Income as Reported,"49,076","49,076","68,230","30,656","-115,062"
16,Total Expenses,"285,930","285,930","281,910","262,437","281,055"
17,Net Income from Continuing & Discontinued Operation,"19,873","19,873","-35,445","23,548","-8,976"
18,Normalized Income,"-1,241","-1,241","-26,641","-25,991","-29,742"
19,Interest Income,"19,993","19,993","14,641","9,065","8,979"
20,Interest Expense,"93,253","93,253","80,209","68,048","69,671"
21,Net Interest Income,"-73,260","-73,260","-65,568","-58,983","-60,692"
22,EBIT,"91,805","91,805","14,970","94,171","4,222"
23,EBITDA,"227,789","227,789","150,887","217,610","151,451"
24,Reconciled Cost of Revenue,"108,476","108,476","101,927","98,873","98,028"
25,Reconciled Depreciation,"135,984","135,984","135,917","123,439","147,229"
26,Net Income from Continuing Operation Net Minority Interest,"19,873","19,873","-35,445","23,548","-8,976"
27,Total Unusual Items Excluding Goodwill,"26,727","26,727","-11,144","49,716","28,447"
28,Total Unusual Items,"26,727","26,727","-11,144","49,716","28,447"
29,Normalized EBITDA,"201,062","201,062","162,031","167,894","123,004"
30,Tax Rate for Calcs,0,0,0,0,0
31,Tax Effect of Unusual Items,"5,613","5,613","-2,340",176.993,"7,681"
32,Breakdown,12/31/2023,12/31/2022,12/31/2021,12/31/2020,
33,Total Assets,"4,291,154","4,302,582","4,261,746","4,131,069",
34,Total Liabilities Net Minority Interest,"2,157,598","2,053,722","2,111,811","2,080,865",
35,Total Equity Gross Minority Interest,"2,133,556","2,248,860","2,149,935","2,050,204",
36,Total Capitalization,"3,293,771","3,316,605","3,220,946","3,010,483",
37,Common Stock Equity,"1,636,917","1,691,832","1,521,613","1,441,039",
38,Capital Lease Obligations,"64,319","42,293","45,371","95,103",
39,Net Tangible Assets,"1,536,323","1,589,458","1,412,695","1,340,613",
40,Working Capital,"-44,633","-32,375","104,263","-23,700",
41,Invested Capital,"3,507,058","3,484,892","3,333,851","3,148,883",
42,Tangible Book Value,"1,536,323","1,589,458","1,412,695","1,340,613",
43,Total Debt,"1,934,460","1,835,353","1,857,609","1,802,947",
44,Net Debt,"1,852,660","1,775,902","1,794,492","1,689,145",
45,Share Issued,"95,362","95,121","89,304","86,268",
46,Ordinary Shares Number,"95,362","95,121","89,304","86,268",
47,Treasury Shares Number,0,-,-,-,
48,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
49,Operating Cash Flow,"155,758","155,758","133,211","104,983","103,947"
50,Investing Cash Flow,"-208,537","-208,537","-124,173","-198,538","-100,924"
51,Financing Cash Flow,"45,852","45,852","-4,376","91,319","-1,257"
52,End Cash Position,"25,294","25,294","32,221","27,559","29,795"
53,Income Tax Paid Supplemental Data,730,301,11,147,-
54,Interest Paid Supplemental Data,"119,550","119,550","65,109","44,663","70,383"
55,Capital Expenditure,"-39,031",-,-,-,-
56,Issuance of Capital Stock,"145,498",0,"119,485","63,876",-
57,Issuance of Debt,"416,891","416,891","1,054,258","380,047","242,155"
58,Repayment of Debt,"-321,982","-321,982","-1,104,554","-305,446","-189,342"
59,Repurchase of Capital Stock,-,-,-,-,"-22,386"
60,Free Cash Flow,"155,758","155,758","133,211","104,983","103,947"
