,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"9,617,203","9,617,203","7,320,104","3,327,957","3,128,909"
1,Cost of Revenue,"8,431,294","8,431,294","4,245,517","2,329,986","2,134,056"
2,Gross Profit,"1,185,909","1,185,909","3,074,587","997,971","994,853"
3,Operating Expense,"1,005,218","1,005,218","596,126","495,508","489,041"
4,Operating Income,"180,691","180,691","2,478,461","502,463","505,812"
5,Net Non Operating Interest Income Expense,"-116,072","-116,072","-122,973","-61,476","-73,116"
6,Other Income Expense,"182,119","182,119","77,956","-307,369","-59,177"
7,Pretax Income,"246,738","246,738","2,433,444","133,618","373,519"
8,Tax Provision,"430,277","430,277","390,588","29,446","54,425"
9,Earnings from Equity Interest Net of Tax,"1,854,082","1,854,082","772,275","95,770","127,521"
10,Net Income Common Stockholders,"1,573,476","1,573,476","2,689,816","123,672","375,764"
11,Diluted NI Available to Com Stockholders,"1,573,476","1,573,476","2,689,816","123,672","375,764"
12,Basic EPS,28.35,13.41,22.97,1.07,3.53
13,Diluted EPS,28.21,13.36,22.84,1.06,3.52
14,Basic Average Shares,"117,269","117,317","117,120","115,841","106,402"
15,Diluted Average Shares,"117,829","117,766","117,793","116,536","106,808"
16,Total Operating Income as Reported,"251,881","251,881","2,470,061","798,434","505,812"
17,Total Expenses,"9,436,512","9,436,512","4,841,643","2,825,494","2,623,097"
18,Net Income from Continuing & Discontinued Operation,"1,573,476","1,573,476","2,689,816","123,672","375,764"
19,Normalized Income,"1,517,236","1,517,236","2,696,864","-107,185","375,764"
20,Interest Expense,"116,072","116,072","122,973","61,476","73,116"
21,Net Interest Income,"-116,072","-116,072","-122,973","-61,476","-73,116"
22,EBIT,"362,810","362,810","2,556,417","195,094","446,635"
23,EBITDA,"792,754","792,754","2,857,258","449,094","678,619"
24,Reconciled Cost of Revenue,"8,431,294","8,431,294","4,245,517","2,329,986","2,134,056"
25,Reconciled Depreciation,"429,944","429,944","300,841","254,000","231,984"
26,Net Income from Continuing Operation Net Minority Interest,"1,573,476","1,573,476","2,689,816","123,672","375,764"
27,Total Unusual Items Excluding Goodwill,"71,190","71,190","-8,400","295,971",0
28,Total Unusual Items,"71,190","71,190","-8,400","295,971",0
29,Normalized EBITDA,"721,564","721,564","2,865,658","153,123","678,619"
30,Tax Rate for Calcs,0,0,0,0,0
31,Tax Effect of Unusual Items,"14,950","14,950","-1,352","65,114",0
32,Breakdown,12/31/2023,12/31/2022,12/31/2021,12/31/2020,
33,Total Assets,"18,270,652","15,456,522","10,974,118","10,450,946",
34,Total Liabilities Net Minority Interest,"8,605,553","7,265,675","5,168,511","5,982,352",
35,Total Equity Gross Minority Interest,"9,665,099","8,190,847","5,805,607","4,468,594",
36,Total Capitalization,"12,953,182","11,197,599","7,629,585","7,035,608",
37,Common Stock Equity,"9,412,180","7,982,627","5,625,266","4,268,227",
38,Capital Lease Obligations,"113,681","99,269","126,997","116,765",
39,Net Tangible Assets,"7,520,593","6,077,130","3,718,692","2,253,602",
40,Working Capital,"1,656,457","2,445,902","119,346","404,335",
41,Invested Capital,"13,578,943","11,199,727","8,019,505","7,840,285",
42,Tangible Book Value,"7,520,593","6,077,130","3,718,692","2,253,602",
43,Total Debt,"4,280,444","3,316,369","2,521,236","3,688,823",
44,Net Debt,"3,276,863","1,717,958","1,954,967","2,825,334",
45,Share Issued,"117,356","117,168","117,015","106,842",
46,Ordinary Shares Number,"117,356","117,168","117,015","106,842",
47,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
48,Operating Cash Flow,"1,325,321","1,325,321","1,907,849","344,257","798,914"
49,Investing Cash Flow,"-2,781,160","-2,781,160","-1,422,649","-666,590","-863,573"
50,Financing Cash Flow,"623,911","623,911","611,887","50,212","177,261"
51,End Cash Position,"889,900","889,900","1,499,142","439,272","746,724"
52,Income Tax Paid Supplemental Data,"319,391","319,391","248,143","130,840",-
53,Interest Paid Supplemental Data,"101,978","101,978","92,095","27,734",-
54,Capital Expenditure,"-2,149,281","-2,149,281","-1,261,646","-953,667","-850,477"
55,Issuance of Capital Stock,0,0,0,"1,453,888",0
56,Issuance of Debt,"973,061","973,061","1,964,216","60,991","589,798"
57,Repayment of Debt,"-28,862","-28,862","-1,096,662","-1,173,823","-250,000"
58,Free Cash Flow,"-823,960","-823,960","646,203","-609,410","-51,563"
