,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"9,455,000","9,455,000","8,717,000","8,291,000","6,833,000"
1,Cost of Revenue,"4,208,000","4,208,000","3,969,000","3,639,000","3,893,000"
2,Gross Profit,"5,247,000","5,247,000","4,748,000","4,652,000","2,940,000"
3,Operating Expense,"4,208,000","4,208,000","4,076,000","4,072,000","3,422,000"
4,Operating Income,"1,039,000","1,039,000","672,000","580,000","-482,000"
5,Net Non Operating Interest Income Expense,"-155,000","-155,000","-130,000","-127,000","-127,000"
6,Other Income Expense,"-52,000","-52,000","-79,000","-35,000","-26,000"
7,Pretax Income,"832,000","832,000","463,000","418,000","-635,000"
8,Tax Provision,"-142,000","-142,000","128,000","42,000","-104,000"
9,Net Income Common Stockholders,"974,000","974,000","335,000","376,000","-531,000"
10,Diluted NI Available to Com Stockholders,"974,000","974,000","335,000","376,000","-531,000"
11,Basic EPS,0.91,-,0.68,0.77,-1.09
12,Diluted EPS,0.91,-,0.68,0.76,-1.09
13,Basic Average Shares,"492,525",-,"491,400","490,000","489,000"
14,Diluted Average Shares,"495,900",-,"494,400","493,400","489,000"
15,Total Operating Income as Reported,"1,039,000","1,039,000","672,000","580,000","-482,000"
16,Total Expenses,"8,416,000","8,416,000","8,045,000","7,711,000","7,315,000"
17,Net Income from Continuing & Discontinued Operation,"974,000","974,000","335,000","376,000","-531,000"
18,Normalized Income,"1,021,580","1,021,580","392,160","407,500","-509,264"
19,Interest Income,"45,000","45,000","16,000","3,000","6,000"
20,Interest Expense,"189,000","189,000","134,000","120,000","124,000"
21,Net Interest Income,"-155,000","-155,000","-130,000","-127,000","-127,000"
22,EBIT,"1,021,000","1,021,000","597,000","538,000","-511,000"
23,EBITDA,"2,242,000","2,242,000","1,720,000","1,757,000","1,112,000"
24,Reconciled Cost of Revenue,"4,208,000","4,208,000","3,969,000","3,639,000","3,893,000"
25,Reconciled Depreciation,"1,221,000","1,221,000","1,123,000","1,219,000","1,623,000"
26,Net Income from Continuing Operation Net Minority Interest,"974,000","974,000","335,000","376,000","-531,000"
27,Total Unusual Items Excluding Goodwill,"-52,000","-52,000","-79,000","-35,000","-26,000"
28,Total Unusual Items,"-52,000","-52,000","-79,000","-35,000","-26,000"
29,Normalized EBITDA,"2,294,000","2,294,000","1,799,000","1,792,000","1,138,000"
30,Tax Rate for Calcs,0,0,0,0,0
31,Tax Effect of Unusual Items,"-4,420","-4,420","-21,840","-3,500","-4,264"
32,Breakdown,12/31/2023,12/31/2022,12/31/2021,12/31/2020,
33,Total Assets,"29,614,000","29,165,000","27,999,000","27,600,000",
34,Total Liabilities Net Minority Interest,"8,990,000","9,488,000","8,743,000","8,778,000",
35,Total Equity Gross Minority Interest,"20,624,000","19,677,000","19,256,000","18,822,000",
36,Total Capitalization,"25,218,000","24,218,000","23,222,000","22,771,000",
37,Common Stock Equity,"20,624,000","19,677,000","19,256,000","18,822,000",
38,Capital Lease Obligations,"406,000","430,000","406,000","385,000",
39,Net Tangible Assets,"2,638,000","1,062,000","1,586,000","820,000",
40,Working Capital,"3,167,000","2,455,000","2,914,000","2,729,000",
41,Invested Capital,"25,353,000","24,315,000","23,329,000","22,933,000",
42,Tangible Book Value,"2,638,000","1,062,000","1,586,000","820,000",
43,Total Debt,"5,135,000","5,068,000","4,479,000","4,496,000",
44,Net Debt,"3,635,000","3,658,000","2,498,000","2,554,000",
45,Share Issued,"490,087","497,987","499,687","499,719",
46,Ordinary Shares Number,"490,087","490,087","490,087","489,219",
47,Treasury Shares Number,-,"7,900","9,600","10,500",
48,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
49,Operating Cash Flow,"1,388,000","1,388,000","1,217,000","1,345,000","823,000"
50,Investing Cash Flow,"-1,094,000","-1,094,000","-1,865,000","-1,198,000","-572,000"
51,Financing Cash Flow,"-211,000","-211,000","-8,000","-123,000","466,000"
52,End Cash Position,"1,094,000","1,094,000","980,000","1,575,000","1,557,000"
53,Capital Expenditure,"-851,000","-851,000","-745,000","-1,180,000","-567,000"
54,Issuance of Debt,"106,000","106,000","2,586,000","52,000","744,000"
55,Repayment of Debt,"-113,000","-113,000","-2,378,000","-115,000","-69,000"
56,Free Cash Flow,"537,000","537,000","472,000","165,000","256,000"
