,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"1,879,800","1,879,800","1,570,700","1,419,200","1,169,100"
1,Cost of Revenue,"1,389,900","1,389,900","1,123,900","965,700","744,300"
2,Gross Profit,"489,900","489,900","446,800","453,500","424,800"
3,Operating Expense,"309,000","309,000","312,600","302,200","273,900"
4,Operating Income,"180,900","180,900","134,200","151,300","150,900"
5,Net Non Operating Interest Income Expense,"-70,500","-70,500","-75,200","-66,800","-64,000"
6,Other Income Expense,"96,400","96,400","41,100","26,400","35,200"
7,Pretax Income,"206,800","206,800","100,100","110,900","122,100"
8,Tax Provision,"27,900","27,900","-31,200","-26,900","-39,500"
9,Net Income Common Stockholders,"247,100","247,100","189,300","169,200","174,200"
10,Diluted NI Available to Com Stockholders,"247,100","247,100","189,300","169,200","174,200"
11,Basic EPS,4.31,-,3.38,3.23,3.36
12,Diluted EPS,4.31,-,3.38,3.23,3.35
13,Basic Average Shares,"57,250",-,"55,900","52,400","51,900"
14,Diluted Average Shares,"57,350",-,"56,000","52,500","51,900"
15,Total Operating Income as Reported,"180,900","180,900","134,200","151,300","150,900"
16,Total Expenses,"1,698,900","1,698,900","1,436,500","1,267,900","1,018,200"
17,Net Income from Continuing & Discontinued Operation,"247,100","247,100","189,300","169,200","174,200"
18,Normalized Income,"243,813","243,813","187,167","167,229","172,521"
19,Interest Income,"10,300","10,300",0,"2,300","1,600"
20,Interest Expense,"80,800","80,800","75,200","69,100","65,600"
21,Net Interest Income,"-70,500","-70,500","-75,200","-66,800","-64,000"
22,EBIT,"287,600","287,600","175,300","180,000","187,700"
23,EBITDA,"546,400","546,400","425,600","421,500","415,800"
24,Reconciled Cost of Revenue,"1,382,900","1,382,900","1,115,800","955,900","734,000"
25,Reconciled Depreciation,"258,800","258,800","250,300","241,500","228,100"
26,Net Income from Continuing Operation Net Minority Interest,"247,100","247,100","189,300","169,200","174,200"
27,Total Unusual Items Excluding Goodwill,"3,800","3,800","2,700","2,700","2,300"
28,Total Unusual Items,"3,800","3,800","2,700","2,700","2,300"
29,Normalized EBITDA,"542,600","542,600","422,900","418,800","413,500"
30,Tax Rate for Calcs,0,0,0,0,0
31,Tax Effect of Unusual Items,513,513,567,729,621
32,Breakdown,12/31/2023,12/31/2022,12/31/2021,12/31/2020,
33,Total Assets,"6,656,400","6,845,600","6,435,000","6,084,600",
34,Total Liabilities Net Minority Interest,"3,249,800","3,497,300","3,488,700","3,284,400",
35,Total Equity Gross Minority Interest,"3,406,600","3,348,300","2,946,300","2,800,200",
36,Total Capitalization,"4,489,500","4,340,100","4,176,300","3,887,800",
37,Common Stock Equity,"2,809,600","2,691,900","2,413,100","2,294,600",
38,Capital Lease Obligations,-,"12,500","16,400","22,400",
39,Net Tangible Assets,"2,654,200","2,536,300","2,413,100","2,294,600",
40,Working Capital,"90,500","1,800","-252,100","-204,700",
41,Invested Capital,"4,600,900","4,612,700","4,390,500","4,091,500",
42,Tangible Book Value,"2,654,200","2,536,300","2,413,100","2,294,600",
43,Total Debt,"1,791,300","1,920,800","1,993,800","1,819,300",
44,Net Debt,"1,719,400","1,884,400","1,932,300","1,752,600",
45,Share Issued,"57,561","57,200","53,200","52,100",
46,Ordinary Shares Number,"57,561","57,200","53,200","52,100",
47,Treasury Shares Number,0,-,-,-,
48,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
49,Operating Cash Flow,"585,300","585,300","221,300","263,500","299,800"
50,Investing Cash Flow,"-283,600","-283,600","-384,000","-485,200","-812,800"
51,Financing Cash Flow,"-262,500","-262,500","155,200","204,200","485,700"
52,End Cash Position,"79,400","79,400","40,200","47,700","65,200"
53,Income Tax Paid Supplemental Data,"19,500","19,500","6,000",0,-
54,Interest Paid Supplemental Data,"80,500","80,500","72,800","66,800","62,000"
55,Capital Expenditure,"-271,200","-271,200","-220,500","-479,500","-717,800"
56,Issuance of Capital Stock,"14,900","14,900","248,000","69,900","18,100"
57,Issuance of Debt,"437,000","437,000","785,400","733,000","672,400"
58,Repayment of Debt,"-566,700","-566,700","-877,000","-552,900","-488,600"
59,Free Cash Flow,"314,100","314,100",800,"-216,000","-418,000"
