,Breakdown,ttm,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"226,800","230,500","254,000","190,300"
1,Cost of Revenue,"123,800","132,900","134,900","126,200"
2,Gross Profit,"103,000","97,600","119,100","64,100"
3,Operating Expense,"34,600","36,500","39,600","33,700"
4,Operating Income,"68,400","61,100","79,500","30,400"
5,Net Non Operating Interest Income Expense,"-21,900","-21,700","-25,200","-28,600"
6,Other Income Expense,"1,800","-20,600","21,100","17,100"
7,Pretax Income,"48,300","18,800","75,400","18,900"
8,Tax Provision,-200,"-18,300",0,-400
9,Net Income Common Stockholders,"-38,400","-50,800","35,100","5,500"
10,Diluted NI Available to Com Stockholders,"-38,400","-50,800","35,100","5,500"
11,Basic EPS,-0.53,-0.70,0.48,0.08
12,Diluted EPS,-0.53,-0.70,0.48,0.08
13,Basic Average Shares,"72,525","72,600","72,500","72,300"
14,Diluted Average Shares,"72,800","72,800","72,600","72,400"
15,Total Operating Income as Reported,"69,100","115,700","85,400","42,400"
16,Total Expenses,"158,400","169,400","174,500","159,900"
17,Net Income from Continuing & Discontinued Operation,"-38,300","-50,600","35,400","5,600"
18,Normalized Income,"45,305","54,091","72,100","12,838"
19,Interest Income,400,300,"1,000","1,600"
20,Interest Expense,"22,300","22,000","26,200","30,200"
21,Net Interest Income,"-21,900","-21,700","-25,200","-28,600"
22,EBIT,"70,600","40,800","101,600","49,100"
23,EBITDA,"107,400","78,800","141,200","91,600"
24,Reconciled Cost of Revenue,"123,800","132,900","134,900","126,200"
25,Reconciled Depreciation,"36,800","38,000","39,600","42,500"
26,Net Income from Continuing Operation Net Minority Interest,"45,700","36,000","75,000","19,700"
27,Total Unusual Items Excluding Goodwill,500,"-22,900","2,900","9,400"
28,Total Unusual Items,500,"-22,900","2,900","9,400"
29,Normalized EBITDA,"106,900","101,700","138,300","82,200"
30,Tax Rate for Calcs,0,0,0,0
31,Tax Effect of Unusual Items,105,"-4,809",0,"2,538"
32,Breakdown,12/31/2022,12/31/2021,12/31/2020,
33,Total Assets,"1,787,300","1,879,800","2,036,000",
34,Total Liabilities Net Minority Interest,"751,600","813,200","939,900",
35,Total Equity Gross Minority Interest,"1,035,700","1,066,600","1,096,100",
36,Total Capitalization,"1,507,900","1,597,400","1,783,200",
37,Common Stock Equity,"1,035,700","1,066,600","1,096,100",
38,Capital Lease Obligations,"4,900","6,500","18,400",
39,Net Tangible Assets,"983,400","1,006,300","1,023,700",
40,Working Capital,"-82,300","22,200","102,800",
41,Invested Capital,"1,507,900","1,597,400","1,783,200",
42,Tangible Book Value,"983,400","1,006,300","1,023,700",
43,Total Debt,"477,100","537,300","705,500",
44,Net Debt,"438,900","465,400","629,900",
45,Share Issued,"72,500","72,500","72,400",
46,Ordinary Shares Number,"72,500","72,500","72,400",
47,Breakdown,ttm,12/31/2022,12/31/2021,12/31/2020
48,Operating Cash Flow,"68,600","34,000","124,200","63,100"
49,Investing Cash Flow,"-30,800","44,600","96,500","12,000"
50,Financing Cash Flow,"-29,900","-115,200","-207,100","-33,100"
51,End Cash Position,"15,400","34,400","71,000","57,400"
52,Interest Paid Supplemental Data,"28,000","21,400","25,300","28,900"
53,Capital Expenditure,"-33,800","-21,700","-47,200","-20,600"
54,Issuance of Debt,-,0,"131,000","173,000"
55,Repayment of Debt,"-35,000","-23,200","-288,800","-181,700"
56,Repurchase of Capital Stock,"-5,900","-7,300","-1,300",-600
57,Free Cash Flow,"34,800","12,300","77,000","42,500"
