,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"1,689,651","1,689,651","1,513,616","1,334,223","1,163,466"
1,Cost of Revenue,"1,236,007","1,236,007","1,137,098","999,709","869,736"
2,Gross Profit,"453,644","453,644","376,518","334,514","293,730"
3,Operating Expense,"255,677","255,677","227,926","217,576","198,945"
4,Operating Income,"197,967","197,967","148,592","116,938","94,785"
5,Net Non Operating Interest Income Expense,"-24,608","-24,608","-13,609","-9,384","-14,471"
6,Other Income Expense,"1,761","1,761",-673,"1,944",-557
7,Pretax Income,"175,120","175,120","134,310","109,498","79,757"
8,Tax Provision,"38,959","38,959","32,382","29,253","21,953"
9,Net Income Common Stockholders,"136,161","136,161","101,928","80,245","57,804"
10,Diluted NI Available to Com Stockholders,"136,161","136,161","101,928","80,245","57,804"
11,Basic EPS,11.23,-,8.58,6.78,4.91
12,Diluted EPS,11.17,-,8.54,6.75,4.88
13,Basic Average Shares,"11,908",-,"11,877","11,837","11,782"
14,Diluted Average Shares,"11,972",-,"11,934","11,896","11,845"
15,Total Operating Income as Reported,"197,967","197,967","148,592","116,938","94,785"
16,Total Expenses,"1,491,684","1,491,684","1,365,024","1,217,285","1,068,681"
17,Net Income from Continuing & Discontinued Operation,"136,161","136,161","101,928","80,245","57,804"
18,Normalized Income,"136,161","136,161","101,928","80,245","57,804"
19,Interest Income,"1,485","1,485",752,"1,149","1,366"
20,Interest Expense,"26,093","26,093","14,361","10,533","15,837"
21,Net Interest Income,"-24,608","-24,608","-13,609","-9,384","-14,471"
22,EBIT,"201,213","201,213","148,671","120,031","95,594"
23,EBITDA,"249,186","249,186","195,360","164,510","139,434"
24,Reconciled Cost of Revenue,"1,203,553","1,203,553","1,105,686","969,867","840,642"
25,Reconciled Depreciation,"47,973","47,973","46,689","44,479","43,840"
26,Net Income from Continuing Operation Net Minority Interest,"136,161","136,161","101,928","80,245","57,804"
27,Normalized EBITDA,"249,186","249,186","195,360","164,510","139,434"
28,Tax Rate for Calcs,0,0,0,0,0
29,Tax Effect of Unusual Items,0,0,0,0,0
30,Breakdown,12/31/2023,12/31/2022,12/31/2021,12/31/2020,
31,Total Assets,"1,409,386","1,308,508","1,205,742","1,121,859",
32,Total Liabilities Net Minority Interest,"476,623","523,148","500,079","486,856",
33,Total Equity Gross Minority Interest,"932,763","785,360","705,663","635,003",
34,Total Capitalization,"1,153,032","1,072,303","960,185","905,323",
35,Common Stock Equity,"932,763","785,360","705,663","635,003",
36,Capital Lease Obligations,"5,295","4,685","4,655","3,680",
37,Net Tangible Assets,"557,931","418,161","319,791","246,699",
38,Working Capital,"590,031","536,704","419,604","358,245",
39,Invested Capital,"1,168,040","1,087,312","975,217","920,389",
40,Tangible Book Value,"557,931","418,161","319,791","246,699",
41,Total Debt,"240,572","306,637","274,209","289,066",
42,Net Debt,"183,358","254,936","227,439","235,191",
43,Share Issued,"12,047","11,996","11,957","11,893",
44,Ordinary Shares Number,"11,964","11,914","11,874","11,810",
45,Treasury Shares Number,82.6,82.6,82.6,82.6,
46,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
47,Operating Cash Flow,"131,154","131,154","14,530","49,667","184,333"
48,Investing Cash Flow,"-52,623","-52,623","-31,738","-33,438","-14,171"
49,Financing Cash Flow,"-76,881","-76,881","24,455","-23,001","-164,242"
50,End Cash Position,"51,919","51,919","47,016","42,115","50,195"
51,Income Tax Paid Supplemental Data,"37,330","37,330","35,102","32,865","17,140"
52,Interest Paid Supplemental Data,"25,358","25,358","14,575","10,248","17,049"
53,Capital Expenditure,"-37,745","-37,745","-31,304","-25,307","-17,874"
54,Issuance of Debt,"183,000","183,000","222,000","188,000","115,000"
55,Repayment of Debt,"-249,948","-249,948","-189,031","-204,093","-273,867"
56,Repurchase of Capital Stock,"-1,034","-1,034",-768,"-1,957",-710
57,Free Cash Flow,"93,409","93,409","-16,774","24,360","166,459"
