,Breakdown,ttm,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"1,783,900","1,571,800","1,212,800","873,600"
1,Cost of Revenue,"1,298,900","1,152,200","898,400","659,100"
2,Gross Profit,"485,000","419,600","314,400","214,500"
3,Operating Expense,"433,300","378,800","296,400","222,600"
4,Operating Income,"51,700","40,800","18,000","-8,100"
5,Net Non Operating Interest Income Expense,"-51,300","-31,800","-24,000","-23,800"
6,Other Income Expense,"3,300","1,600","-11,200","1,300"
7,Pretax Income,"3,700","10,600","-17,200","-30,600"
8,Tax Provision,"-6,400","1,300","3,600","-6,600"
9,Net Income Common Stockholders,"7,100","6,300","-23,400","-24,000"
10,Diluted NI Available to Com Stockholders,"7,100","6,300","-23,400","-24,000"
11,Basic EPS,0.23,0.20,-0.74,-0.90
12,Diluted EPS,0.22,0.20,-0.74,-0.90
13,Basic Average Shares,"32,271","32,099","31,706","26,613"
14,Diluted Average Shares,"32,557","32,302","31,706","26,613"
15,Total Operating Income as Reported,"51,700","40,800","18,000","-8,100"
16,Total Expenses,"1,732,200","1,531,000","1,194,800","881,700"
17,Net Income from Continuing & Discontinued Operation,"10,100","9,300","-20,800","-24,000"
18,Normalized Income,"10,100","9,300","-12,113","-18,824"
19,Interest Expense,"51,300","31,800","24,000","23,800"
20,Net Interest Income,"-51,300","-31,800","-24,000","-23,800"
21,EBIT,"55,000","42,400","6,800","-6,800"
22,EBITDA,"182,000","154,400","102,600","68,200"
23,Reconciled Cost of Revenue,"1,192,800","1,056,700","813,100","590,700"
24,Reconciled Depreciation,"127,000","112,000","95,800","75,000"
25,Net Income from Continuing Operation Net Minority Interest,"10,100","9,300","-20,800","-24,000"
26,Total Unusual Items Excluding Goodwill,0,0,"-11,900","-7,600"
27,Total Unusual Items,0,0,"-11,900","-7,600"
28,Normalized EBITDA,"182,000","154,400","114,500","75,800"
29,Tax Rate for Calcs,0,0,0,0
30,Tax Effect of Unusual Items,0,0,"-3,213","-2,424"
31,Breakdown,12/31/2022,12/31/2021,12/31/2020,
32,Total Assets,"1,290,600","982,600","746,200",
33,Total Liabilities Net Minority Interest,"1,150,800","847,900","589,300",
34,Total Equity Gross Minority Interest,"139,800","134,700","156,900",
35,Total Capitalization,"668,500","543,100","291,900",
36,Common Stock Equity,"139,800","134,700","156,900",
37,Capital Lease Obligations,"132,100","113,600",600,
38,Net Tangible Assets,"9,900","49,400","106,300",
39,Working Capital,"192,100","126,400","-52,700",
40,Invested Capital,"929,500","700,500","615,700",
41,Tangible Book Value,"9,900","49,400","106,300",
42,Total Debt,"921,800","679,400","459,400",
43,Net Debt,"787,000","563,500","457,600",
44,Share Issued,"33,056","32,363","30,019",
45,Ordinary Shares Number,"32,194","32,363","30,019",
46,Preferred Shares Number,"1,200","1,200","1,200",
47,Treasury Shares Number,862.182,-,-,
