,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"10,475,000","10,475,000","8,842,000","8,230,000","7,447,000"
1,Cost of Revenue,"8,654,000","8,654,000","7,446,000","6,719,000","6,201,000"
2,Gross Profit,"1,822,000","1,822,000","1,396,000","1,511,000","1,247,000"
3,Operating Expense,"1,132,000","1,132,000","737,000","836,000","865,000"
4,Operating Income,"690,000","690,000","659,000","675,000","382,000"
5,Net Non Operating Interest Income Expense,"-80,000","-80,000","-54,000","-56,000","-68,000"
6,Other Income Expense,"2,000","2,000","-2,000","-4,000","-23,000"
7,Pretax Income,"612,000","612,000","603,000","614,000","291,000"
8,Tax Provision,"123,000","123,000","178,000","177,000","103,000"
9,Net Income Common Stockholders,"488,000","488,000","423,000","435,000","187,000"
10,Diluted NI Available to Com Stockholders,"488,000","488,000","423,000","435,000","187,000"
11,Basic EPS,4.85,-,4.86,4.97,2.14
12,Diluted EPS,4.83,-,4.85,4.96,2.14
13,Basic Average Shares,"85,825",-,"87,100","87,500","87,300"
14,Diluted Average Shares,"85,925",-,"87,200","87,700","87,500"
15,Total Operating Income as Reported,"690,000","690,000","659,000","675,000","382,000"
16,Total Expenses,"9,786,000","9,786,000","8,183,000","7,555,000","7,066,000"
17,Net Income from Continuing & Discontinued Operation,"488,000","488,000","423,000","435,000","187,000"
18,Normalized Income,"488,000","488,000","423,000","435,000","187,000"
19,Interest Income,"13,000","13,000","6,000","4,000","5,000"
20,Interest Expense,"93,000","93,000","60,000","60,000","73,000"
21,Net Interest Income,"-80,000","-80,000","-54,000","-56,000","-68,000"
22,EBIT,"705,000","705,000","663,000","674,000","364,000"
23,EBITDA,"1,083,000","1,083,000","1,026,000","1,068,000","735,000"
24,Reconciled Cost of Revenue,"8,278,000","8,278,000","7,086,000","6,335,000","5,840,000"
25,Reconciled Depreciation,"378,000","378,000","363,000","394,000","371,000"
26,Net Income from Continuing Operation Net Minority Interest,"488,000","488,000","423,000","435,000","187,000"
27,Normalized EBITDA,"1,083,000","1,083,000","1,026,000","1,068,000","735,000"
28,Tax Rate for Calcs,0,0,0,0,0
29,Tax Effect of Unusual Items,0,0,0,0,0
30,Breakdown,12/31/2023,12/31/2022,12/31/2021,12/31/2020,
31,Total Assets,"8,332,000","7,717,000","7,537,000","8,157,000",
32,Total Liabilities Net Minority Interest,"5,762,000","5,091,000","4,889,000","5,734,000",
33,Total Equity Gross Minority Interest,"2,570,000","2,626,000","2,648,000","2,423,000",
34,Total Capitalization,"3,881,000","3,667,000","4,295,000","4,519,000",
35,Common Stock Equity,"2,557,000","2,613,000","2,633,000","2,409,000",
36,Capital Lease Obligations,"174,000","158,000","132,000","140,000",
37,Net Tangible Assets,"1,172,000","1,231,000","1,238,000","997,000",
38,Working Capital,"-61,000","72,000","854,000","1,122,000",
39,Invested Capital,"4,419,000","4,378,000","4,641,000","4,821,000",
40,Tangible Book Value,"1,172,000","1,231,000","1,238,000","997,000",
41,Total Debt,"2,036,000","1,923,000","2,140,000","2,552,000",
42,Net Debt,"1,364,000","1,171,000","1,039,000","1,234,000",
43,Share Issued,"87,497","91,200","102,800","102,800",
44,Ordinary Shares Number,"82,643","86,200","87,500","87,400",
45,Treasury Shares Number,"4,854","5,000","15,300","15,400",
