,Breakdown,ttm,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"1,093,826","990,657","968,874","971,391"
1,Cost of Revenue,"416,104","382,688","336,582","344,848"
2,Gross Profit,"677,722","607,969","632,292","626,543"
3,Operating Expense,"71,368","67,052","68,295","67,612"
4,Operating Income,"606,354","540,917","563,997","558,931"
5,Net Non Operating Interest Income Expense,"-217,653","-189,948","-175,281","-147,007"
6,Other Income Expense,"95,549","92,767","60,024","-590,139"
7,Pretax Income,"484,250","443,736","448,740","-178,215"
8,Tax Provision,"130,118","117,494","117,123","-55,688"
9,Net Income Common Stockholders,"353,582","325,692","331,067","-123,077"
10,Diluted NI Available to Com Stockholders,"353,582","325,692","331,067","-123,077"
11,Basic EPS,0.74,0.68,0.69,-0.26
12,Diluted EPS,0.73,0.68,0.69,-0.26
13,Basic Average Shares,"479,074","478,232","477,270","478,278"
14,Diluted Average Shares,"481,475","480,300","479,736","478,278"
15,Total Operating Income as Reported,"600,327","539,466","555,327","-117,638"
16,Total Expenses,"487,472","449,740","404,877","412,460"
17,Net Income from Continuing & Discontinued Operation,"354,132","326,242","331,617","-122,527"
18,Normalized Income,"358,540","327,308","354,103","342,952"
19,Interest Expense,"217,653","189,948","175,281","147,007"
20,Net Interest Income,"-217,653","-189,948","-175,281","-147,007"
21,EBIT,"701,903","633,684","624,021","-31,208"
22,EBITDA,"907,330","836,118","803,483","148,254"
23,Reconciled Cost of Revenue,"416,104","382,688","336,582","344,848"
24,Reconciled Depreciation,"205,427","202,434","179,462","179,462"
25,Net Income from Continuing Operation Net Minority Interest,"354,132","326,242","331,617","-122,527"
26,Total Unusual Items Excluding Goodwill,"-6,027","-1,451","-30,427","-676,569"
27,Total Unusual Items,"-6,027","-1,451","-30,427","-676,569"
28,Normalized EBITDA,"913,357","837,569","833,910","824,823"
29,Tax Rate for Calcs,0,0,0,0
30,Tax Effect of Unusual Items,"-1,619",-384.515,"-7,941","-211,090"
31,Breakdown,12/31/2022,12/31/2021,12/31/2020,
32,Total Assets,"5,791,320","5,544,001","5,610,912",
33,Total Liabilities Net Minority Interest,"3,599,002","3,257,303","3,192,626",
34,Total Equity Gross Minority Interest,"2,192,318","2,286,698","2,418,286",
35,Total Capitalization,"5,553,600","5,409,608","5,509,912",
36,Common Stock Equity,"2,192,318","2,286,698","2,418,286",
37,Net Tangible Assets,"906,215","929,923","990,839",
38,Working Capital,"-13,084","-30,205",-74,
39,Invested Capital,"5,553,600","5,409,608","5,509,912",
40,Tangible Book Value,"906,215","929,923","990,839",
41,Total Debt,"3,361,282","3,122,910","3,091,626",
42,Net Debt,"3,361,282","3,122,910","3,090,986",
43,Share Issued,"478,497","477,495","476,639",
44,Ordinary Shares Number,"478,497","477,495","476,639",
