,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"266,000","266,000","426,000","247,000","156,000"
1,Net Non Operating Interest Income Expense,"-64,000","-64,000","-168,000","-187,000","-222,000"
2,Other Income Expense,"14,000","14,000","157,000","8,000","8,000"
3,Pretax Income,"12,000","12,000","525,000","2,000","-440,000"
4,Tax Provision,"7,000","7,000","2,000","18,000","-3,000"
5,Net Income Common Stockholders,"4,000","4,000","522,000","-17,000","-437,000"
6,Diluted NI Available to Com Stockholders,"4,000","4,000","522,000","-17,000","-437,000"
7,Basic EPS,4.34,-,11.48,-0.61,-9.47
8,Diluted EPS,4.24,-,11.31,-0.61,-9.47
9,Basic Average Shares,"45,574",-,"45,720","46,535","46,147"
10,Diluted Average Shares,"46,738",-,"46,415","46,535","46,147"
11,Total Expenses,"256,000","256,000","-100,000","248,000","596,000"
12,Net Income from Continuing & Discontinued Operation,"4,000","4,000","521,000","-17,000","-437,000"
13,Normalized Income,"4,000","4,000","440,810","-41,090","-437,000"
14,Interest Expense,"64,000","64,000","168,000","187,000","222,000"
15,Net Interest Income,"-64,000","-64,000","-168,000","-187,000","-222,000"
16,EBIT,"76,000","76,000","693,000","189,000","-218,000"
17,Reconciled Depreciation,"31,000","31,000","49,000","57,000","58,000"
18,Net Income from Continuing Operation Net Minority Interest,"4,000","4,000","521,000","-17,000","-437,000"
19,Total Unusual Items Excluding Goodwill,0,0,"81,000","33,000",0
20,Total Unusual Items,0,0,"81,000","33,000",0
21,Tax Rate for Calcs,0,0,0,0,0
22,Tax Effect of Unusual Items,0,0,810,"8,910",0
23,Breakdown,12/31/2023,12/31/2022,12/31/2021,12/31/2020,
24,Total Assets,"8,428,000","7,973,000","12,303,000","13,220,000",
25,Total Liabilities Net Minority Interest,"6,996,000","6,648,000","11,187,000","12,073,000",
26,Total Equity Gross Minority Interest,"1,432,000","1,325,000","1,116,000","1,147,000",
27,Total Capitalization,"4,837,000","4,998,000","7,485,000","8,312,000",
28,Common Stock Equity,"1,362,000","1,252,000","1,038,000","1,080,000",
29,Net Tangible Assets,"986,000","865,000","630,000","625,000",
30,Invested Capital,"4,837,000","4,998,000","7,485,000","8,312,000",
31,Tangible Book Value,"986,000","865,000","630,000","625,000",
32,Total Debt,"3,475,000","3,746,000","6,447,000","7,232,000",
33,Net Debt,"3,463,000","3,732,000","6,426,000","7,212,000",
34,Share Issued,"46,659","46,659","46,477","45,865",
35,Ordinary Shares Number,"45,195","44,974","46,304","45,809",
36,Treasury Shares Number,"1,464","1,685",172.929,55.942,
