,Breakdown,ttm,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"11,208","14,835","17,812","18,394"
1,Cost of Revenue,"11,637","14,919","15,867","16,151"
2,Gross Profit,-429.2114,-84.2114,"1,945","2,243"
3,Operating Expense,"6,160","8,744","10,575","9,075"
4,Operating Income,"-6,590","-8,829","-8,630","-6,832"
5,Net Non Operating Interest Income Expense,-62.1697,-101.1697,237.6806,144.6436
6,Other Income Expense,-302.8875,-319.8875,"1,200","4,955"
7,Pretax Income,"-6,955","-9,250","-7,192","-1,732"
8,Tax Provision,47,0,-505.1694,-557.7579
9,Net Income Common Stockholders,"-2,534","-14,069",470.9685,"-9,599"
10,Diluted NI Available to Com Stockholders,"-2,534","-14,069",470.9685,"-9,599"
11,Basic EPS,-0.48,-5.68,0.22,-4.32
12,Diluted EPS,-0.48,-5.68,0.22,-4.32
13,Basic Average Shares,"2,692","2,473","2,333","2,219"
14,Diluted Average Shares,"2,692","2,473","2,333","2,219"
15,Total Operating Income as Reported,"-7,247","-9,486","-8,630","-7,842"
16,Total Expenses,"17,798","23,664","26,442","25,226"
17,Net Income from Continuing & Discontinued Operation,"-2,534","-14,069",470.9685,"-9,599"
18,Normalized Income,"-6,429","-8,195","-7,888","-4,475"
19,Interest Income,-,-,"1,407","1,454"
20,Net Interest Income,-62.1697,-101.1697,237.6806,144.6436
21,EBIT,"-6,573","-8,829","-8,630","-6,832"
22,EBITDA,"-6,573","-5,084","-4,863","-3,037"
23,Reconciled Cost of Revenue,"11,637","14,919","15,867","16,151"
24,Reconciled Depreciation,-,"3,744","3,767","3,795"
25,Net Income from Continuing Operation Net Minority Interest,"-6,947","-9,015","-6,531",-980.3621
26,Total Unusual Items Excluding Goodwill,-656.0832,-820.0832,"1,460","5,154"
27,Total Unusual Items,-656.0832,-820.0832,"1,460","5,154"
28,Normalized EBITDA,"-5,916","-4,264","-6,323","-8,191"
29,Tax Rate for Calcs,0,0,0,0
30,Tax Effect of Unusual Items,-137.7775,0,102.5325,"1,659"
31,Breakdown,12/31/2022,12/31/2021,12/31/2020,
32,Total Assets,"25,509","152,204","160,672",
33,Total Liabilities Net Minority Interest,"17,644","129,192","139,066",
34,Total Equity Gross Minority Interest,"7,864","23,012","21,605",
35,Total Capitalization,"7,864","22,936","23,375",
36,Common Stock Equity,"7,864","22,936","21,907",
37,Capital Lease Obligations,"7,960","23,750","41,942",
38,Net Tangible Assets,"7,328","21,714","9,320",
39,Working Capital,"3,917","-34,286","-33,592",
40,Invested Capital,"11,599","23,852","24,906",
41,Tangible Book Value,"7,328","21,714","9,320",
42,Total Debt,"11,695","24,667","44,941",
43,Net Debt,427.5796,-,-,
44,Share Issued,"52,128","46,682","46,632",
45,Ordinary Shares Number,"52,128","46,682","46,632",
