,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"4,812,600","4,812,600","3,911,400","2,527,900","1,242,400"
1,Cost of Revenue,"1,606,400","1,606,400","1,280,300","745,600","411,500"
2,Gross Profit,"3,206,200","3,206,200","2,631,100","1,782,300","830,900"
3,Operating Expense,"3,167,100","3,167,100","2,992,200","2,528,600","2,371,500"
4,Operating Income,"39,100","39,100","-361,100","-746,300","-1,540,600"
5,Net Non Operating Interest Income Expense,"-411,200","-411,200","-378,700","-459,100","-396,200"
6,Other Income Expense,"-21,100","-21,100","-231,300","-74,600","-2,592,700"
7,Pretax Income,"-393,200","-393,200","-971,100","-1,280,000","-4,529,500"
8,Tax Provision,"3,400","3,400","2,500","-10,200","59,900"
9,Net Income Common Stockholders,"-396,600","-396,600","-973,600","-1,269,100","-4,589,100"
10,Diluted NI Available to Com Stockholders,"-396,600","-396,600","-973,600","-1,269,100","-4,589,100"
11,Basic EPS,-3.00,-,-8.22,-11.76,-172.76
12,Diluted EPS,-3.00,-,-8.22,-11.76,-172.76
13,Basic Average Shares,"154,107",-,"118,389","107,895","26,568"
14,Diluted Average Shares,"154,107",-,"118,389","107,895","26,568"
15,Total Operating Income as Reported,"-74,300","-74,300","-522,300","-930,000","-4,102,700"
16,Rent Expense Supplemental,"873,500","873,500","886,200","828,000","884,100"
17,Total Expenses,"4,773,500","4,773,500","4,272,500","3,274,200","2,783,000"
18,Net Income from Continuing & Discontinued Operation,"-396,600","-396,600","-973,600","-1,269,100","-4,589,100"
19,Normalized Income,"-374,954","-374,954","-791,663","-1,183,490","-2,719,789"
20,Interest Expense,"411,200","411,200","378,700","458,100","356,900"
21,Net Interest Income,"-411,200","-411,200","-378,700","-459,100","-396,200"
22,EBIT,"18,000","18,000","-592,400","-821,900","-4,172,600"
23,EBITDA,"383,000","383,000","-196,400","-396,900","-3,674,300"
24,Reconciled Cost of Revenue,"1,606,400","1,606,400","1,280,300","745,600","411,500"
25,Reconciled Depreciation,"365,000","365,000","396,000","425,000","498,300"
26,Net Income from Continuing Operation Net Minority Interest,"-396,600","-396,600","-973,600","-1,269,100","-4,589,100"
27,Total Unusual Items Excluding Goodwill,"-27,400","-27,400","-230,300","-86,300","-2,560,700"
28,Total Unusual Items,"-27,400","-27,400","-230,300","-86,300","-2,560,700"
29,Normalized EBITDA,"410,400","410,400","33,900","-310,600","-1,113,600"
30,Tax Rate for Calcs,0,0,0,0,0
31,Tax Effect of Unusual Items,"-5,754","-5,754","-48,363",-690.4,"-691,389"
32,Breakdown,12/31/2023,12/31/2022,12/31/2021,12/31/2020,
33,Total Assets,"9,009,200","9,135,600","10,821,500","10,276,400",
34,Total Liabilities Net Minority Interest,"10,857,100","11,760,100","12,611,000","13,134,600",
35,Total Equity Gross Minority Interest,"-1,847,900","-2,624,500","-1,789,500","-2,858,200",
36,Total Capitalization,"2,704,400","2,496,300","3,618,500","2,810,700",
37,Preferred Stock Equity,-,100,100,-,
38,Common Stock Equity,"-1,847,900","-2,624,600","-1,789,600","-2,885,100",
39,Capital Lease Obligations,"4,564,900","4,878,800","5,323,400","5,667,600",
40,Net Tangible Assets,"-4,353,300","-5,113,800","-4,372,700","-5,595,600",
41,Working Capital,"-429,300","-788,200","82,400","-1,091,500",
42,Invested Capital,"2,729,500","2,516,200","3,638,400","2,830,700",
43,Tangible Book Value,"-4,353,300","-5,113,900","-4,372,800","-5,595,600",
44,Total Debt,"9,142,300","10,019,600","10,751,400","11,383,400",
45,Net Debt,"3,693,100","4,509,300","3,835,500","5,407,500",
46,Share Issued,"247,956","131,034","116,502","51,695",
47,Ordinary Shares Number,"247,956","131,034","116,502","50,849",
48,Treasury Shares Number,-,-,-,846.061,
