,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"2,057,800","2,057,800","2,329,600","2,412,400","2,027,500"
1,Cost of Revenue,"907,500","907,500","1,071,500","1,047,100","883,700"
2,Gross Profit,"1,150,300","1,150,300","1,258,100","1,365,300","1,143,800"
3,Operating Expense,"419,500","419,500","452,900","399,400","481,000"
4,Operating Income,"730,800","730,800","805,200","965,900","662,800"
5,Net Non Operating Interest Income Expense,"-123,800","-123,800","-114,400","-111,400","-92,300"
6,Other Income Expense,"484,400","484,400","1,055,600","286,600","-62,100"
7,Pretax Income,"1,091,400","1,091,400","1,746,400","1,141,100","508,400"
8,Tax Provision,"185,300","185,300","358,300","251,000","81,400"
9,Net Income Common Stockholders,"672,900","672,900","1,145,900","565,700","202,200"
10,Average Dilution Earnings,"62,400","62,400","96,900","18,500",0
11,Diluted NI Available to Com Stockholders,"735,300","735,300","1,242,800","584,200","202,200"
12,Basic EPS,33.70,19.18,29.77,13.65,4.34
13,Diluted EPS,28.80,17.42,25.35,13.05,4.33
14,Basic Average Shares,"36,100","35,100","38,500","41,500","46,500"
15,Diluted Average Shares,"45,325","42,200","49,000","44,800","46,700"
16,Total Expenses,"1,327,000","1,327,000","1,524,400","1,446,500","1,364,700"
17,Net Income from Continuing & Discontinued Operation,"672,900","672,900","1,145,900","565,700","202,200"
18,Normalized Income,"474,992","474,992","568,963","482,086","173,556"
19,Interest Expense,"123,800","123,800","114,400","111,400","92,300"
20,Net Interest Income,"-123,800","-123,800","-114,400","-111,400","-92,300"
21,EBIT,"1,215,200","1,215,200","1,860,800","1,252,500","600,700"
22,EBITDA,"1,276,500","1,276,500","1,928,200","1,304,800","760,300"
23,Reconciled Cost of Revenue,"907,500","907,500","1,071,500","1,047,100","883,700"
24,Reconciled Depreciation,"61,300","61,300","67,400","52,300","159,600"
25,Net Income from Continuing Operation Net Minority Interest,"672,900","672,900","1,145,900","565,700","202,200"
26,Total Unusual Items Excluding Goodwill,"250,200","250,200","752,200","117,600","34,100"
27,Total Unusual Items,"250,200","250,200","752,200","117,600","34,100"
28,Normalized EBITDA,"1,026,300","1,026,300","1,176,000","1,187,200","726,200"
29,Tax Rate for Calcs,0,0,0,0,0
30,Tax Effect of Unusual Items,"52,292","52,292","175,263","33,986","5,456"
31,Breakdown,12/31/2023,12/31/2022,12/31/2021,12/31/2020,
32,Total Assets,"9,059,600","8,881,000","8,876,400","7,888,900",
33,Total Liabilities Net Minority Interest,"4,096,100","4,240,000","4,491,900","3,900,100",
34,Total Equity Gross Minority Interest,"4,963,500","4,641,000","4,384,500","3,988,800",
35,Total Capitalization,"6,125,400","5,765,600","5,276,800","5,091,800",
36,Common Stock Equity,"3,587,900","3,230,300","2,786,400","2,779,700",
37,Net Tangible Assets,"-748,100","-1,294,400","-1,869,200","-930,500",
38,Working Capital,"1,014,500","683,800","617,100","823,800",
39,Invested Capital,"6,125,400","5,765,600","5,276,800","5,091,800",
40,Tangible Book Value,"-748,100","-1,294,400","-1,869,200","-930,500",
41,Total Debt,"2,537,500","2,535,300","2,490,400","2,312,100",
42,Net Debt,"1,723,900","2,106,100","1,581,900","1,272,400",
43,Share Issued,"58,500","58,500","58,519","58,500",
44,Ordinary Shares Number,"33,200","35,800","40,170","44,000",
45,Treasury Shares Number,"25,300","22,700","18,349","14,500",
