,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"708,499",-,"618,306","530,299","432,079"
1,Cost of Revenue,"354,280",-,"328,612","348,964","311,881"
2,Gross Profit,"354,219",-,"289,694","181,335","120,198"
3,Operating Expense,"160,698",-,"146,457","132,683","112,692"
4,Operating Income,"193,521",-,"143,237","48,652","7,506"
5,Net Non Operating Interest Income Expense,"-9,108",-,"-6,520","-3,559","-5,588"
6,Other Income Expense,"-16,947",-,43,-106,"-1,687"
7,Pretax Income,"167,466",-,"136,760","44,987",231
8,Tax Provision,"44,347",-,"33,499","19,316","8,043"
9,Net Income Common Stockholders,"123,119",-,"103,261","25,671","-7,812"
10,Diluted NI Available to Com Stockholders,"123,119",-,"103,261","25,671","-7,812"
11,Basic EPS,0.36,1.66,1.40,0.36,-0.12
12,Diluted EPS,0.35,1.65,1.40,0.35,-0.12
13,Basic Average Shares,"72,137","74,114","73,724","72,137","67,362"
14,Diluted Average Shares,"72,399","74,438","73,873","72,399","67,362"
15,Total Expenses,"514,978",-,"475,069","481,647","424,573"
16,Net Income from Continuing & Discontinued Operation,"123,119",-,"103,261","25,671","-7,812"
17,Normalized Income,"123,119",-,"103,261","25,671","-7,812"
18,Interest Expense,"9,108",-,"6,520","3,559","5,588"
19,Net Interest Income,"-9,108",-,"-6,520","-3,559","-5,588"
20,EBIT,"176,574",-,"143,280","48,546","5,819"
21,EBITDA,"212,118",-,"174,429","86,475","40,945"
22,Reconciled Cost of Revenue,"354,280",-,"328,612","348,964","311,881"
23,Reconciled Depreciation,"35,544",-,"31,149","37,929","35,126"
24,Net Income from Continuing Operation Net Minority Interest,"123,119",-,"103,261","25,671","-7,812"
25,Normalized EBITDA,"212,118",-,"174,429","86,475","40,945"
26,Tax Rate for Calcs,0,-,0,0,0
27,Tax Effect of Unusual Items,0,-,0,0,0
28,Breakdown,12/31/2022,12/31/2021,12/31/2020,,
29,Total Assets,"1,502,930","1,383,405","1,223,588",,
30,Total Liabilities Net Minority Interest,"376,564","374,019","318,515",,
31,Total Equity Gross Minority Interest,"1,126,366","1,009,386","905,073",,
32,Total Capitalization,"1,238,504","1,124,386","980,073",,
33,Common Stock Equity,"1,126,366","1,009,386","905,073",,
34,Capital Lease Obligations,"32,409","32,539","35,915",,
35,Net Tangible Assets,"-145,445","-207,272","-158,346",,
36,Working Capital,"113,385","75,311","77,427",,
37,Invested Capital,"1,244,627","1,124,386","980,073",,
38,Tangible Book Value,"-145,445","-207,272","-158,346",,
39,Total Debt,"150,670","147,539","110,915",,
40,Net Debt,-,"38,293","4,381",,
41,Share Issued,"73,848","73,563","72,459",,
42,Ordinary Shares Number,"73,848","73,563","72,459",,
