,Breakdown,ttm,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,0,0,0,0
1,Operating Expense,"10,004","20,382","20,571","15,834"
2,Operating Income,"-10,004","-20,382","-20,571","-15,834"
3,Net Non Operating Interest Income Expense,384,220,4,12
4,Other Income Expense,822,"3,825","3,492",-72
5,Pretax Income,"-8,798","-16,337","-17,075","-15,894"
6,Net Income Common Stockholders,"-8,798","-16,337","-17,075","-15,894"
7,Diluted NI Available to Com Stockholders,"-3,414","-16,337","-17,075","-15,894"
8,Basic EPS,-11.05,-21.60,-27.00,-27.00
9,Diluted EPS,-11.70,-29.40,-30.00,-27.00
10,Basic Average Shares,791.522,753.615,664.33,576.155
11,Diluted Average Shares,791.522,753.615,683.21,576.155
12,Total Expenses,"10,004","20,382","20,571","15,834"
13,Net Income from Continuing & Discontinued Operation,"-8,798","-16,337","-17,075","-15,894"
14,Normalized Income,"-9,119","-20,162","-20,567","-15,822"
15,Interest Income,384,220,4,12
16,Net Interest Income,384,220,4,12
17,EBIT,"-10,004","-20,382","-20,571","-15,834"
18,EBITDA,"-9,699","-19,334","-19,477","-14,657"
19,Reconciled Depreciation,305,"1,048","1,094","1,177"
20,Net Income from Continuing Operation Net Minority Interest,"-8,798","-16,337","-17,075","-15,894"
21,Total Unusual Items Excluding Goodwill,321,"3,825","3,492",-72
22,Total Unusual Items,321,"3,825","3,492",-72
23,Normalized EBITDA,"-10,020","-23,159","-22,969","-14,585"
24,Tax Rate for Calcs,0,0,0,0
25,Tax Effect of Unusual Items,0,0,0,0
26,Breakdown,12/31/2022,12/31/2021,12/31/2020,
27,Total Assets,"13,588","38,825","22,878",
28,Total Liabilities Net Minority Interest,"1,799","11,541","5,366",
29,Total Equity Gross Minority Interest,"11,789","27,284","17,512",
30,Total Capitalization,"11,789","27,284","17,512",
31,Common Stock Equity,"11,789","27,284","17,512",
32,Capital Lease Obligations,614,925,"1,209",
33,Net Tangible Assets,"11,789","27,284","17,512",
34,Working Capital,"12,137","30,510","16,659",
35,Invested Capital,"11,789","27,284","17,512",
36,Tangible Book Value,"11,789","27,284","17,512",
37,Total Debt,614,925,"1,209",
38,Share Issued,755.143,757.751,644.596,
39,Ordinary Shares Number,755.143,757.751,644.596,
