,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"307,596","307,596","458,456","342,916","202,144"
1,Cost of Revenue,"188,399","188,399","184,735","170,273","181,526"
2,Gross Profit,"119,197","119,197","273,721","172,643","20,618"
3,Operating Expense,"62,283","62,283","70,553","54,146","46,939"
4,Operating Income,"56,914","56,914","203,168","118,497","-26,321"
5,Net Non Operating Interest Income Expense,"-17,719","-17,719","-14,101","-12,099","-20,522"
6,Other Income Expense,"104,576","104,576","-131,081","-138,468","-417,072"
7,Pretax Income,"143,771","143,771","57,986","-32,070","-463,915"
8,Tax Provision,"-248,979","-248,979",111,0,115
9,Net Income Common Stockholders,"375,151","375,151","55,147","-32,070","-464,030"
10,Diluted NI Available to Com Stockholders,"375,151","375,151","55,147","-32,070","-464,030"
11,Basic EPS,9.32,-,1.44,-0.84,-12.34
12,Diluted EPS,9.32,-,1.44,-0.84,-12.34
13,Basic Average Shares,"38,796",-,"38,351","37,959","37,612"
14,Diluted Average Shares,"38,796",-,"38,351","37,959","37,612"
15,Total Operating Income as Reported,"76,216","76,216","71,989","-25,609","-441,889"
16,Total Expenses,"250,682","250,682","255,288","224,419","228,465"
17,Net Income from Continuing & Discontinued Operation,"392,750","392,750","57,875","-32,070","-464,030"
18,Normalized Income,"309,613","309,613","187,840","106,458","-159,743"
19,Interest Expense,"17,719","17,719","14,101","12,099","20,522"
20,Net Interest Income,"-17,719","-17,719","-14,101","-12,099","-20,522"
21,EBIT,"161,490","161,490","72,087","-19,971","-443,393"
22,EBITDA,"189,494","189,494","96,037","8,097","-403,125"
23,Reconciled Cost of Revenue,"188,399","188,399","184,735","170,273","181,526"
24,Reconciled Depreciation,"28,004","28,004","23,950","28,068","40,268"
25,Net Income from Continuing Operation Net Minority Interest,"392,750","392,750","57,875","-32,070","-464,030"
26,Total Unusual Items Excluding Goodwill,"105,237","105,237","-130,214","-138,528","-416,831"
27,Total Unusual Items,"105,237","105,237","-130,214","-138,528","-416,831"
28,Normalized EBITDA,"84,257","84,257","226,251","146,625","13,706"
29,Tax Rate for Calcs,0,0,0,0,0
30,Tax Effect of Unusual Items,"22,100","22,100",-249.2628,0,"-112,544"
31,Breakdown,12/31/2023,12/31/2022,12/31/2021,12/31/2020,
32,Total Assets,"737,674","459,478","455,100","384,759",
33,Total Liabilities Net Minority Interest,"346,638","464,043","519,941","418,496",
34,Total Equity Gross Minority Interest,"391,036","-4,565","-64,841","-33,737",
35,Total Capitalization,"506,036","185,435","165,159","226,779",
36,Common Stock Equity,"391,036","-4,565","-64,841","-33,737",
37,Capital Lease Obligations,"21,066","19,194","12,065","11,502",
38,Net Tangible Assets,"391,036","-4,565","-64,841","-33,737",
39,Working Capital,"1,752","-40,608","-39,379",-25,
40,Invested Capital,"506,036","185,435","165,159","226,779",
41,Tangible Book Value,"391,036","-4,565","-64,841","-33,737",
42,Total Debt,"136,066","209,194","242,065","272,018",
43,Net Debt,"94,254","190,000","211,201","250,152",
44,Share Issued,"39,147","38,460","38,024","37,664",
45,Ordinary Shares Number,"39,147","38,460","38,024","37,664",
