,Breakdown,ttm,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"2,386,385","2,212,304","2,093,669","1,992,523"
1,Cost of Revenue,"1,540,259","1,427,596","1,324,696","1,364,130"
2,Gross Profit,"846,126","784,708","768,973","628,393"
3,Operating Expense,"584,710","595,786","575,067","517,312"
4,Operating Income,"261,416","188,922","193,906","111,081"
5,Net Non Operating Interest Income Expense,"-198,400","-158,668","-136,325","-145,998"
6,Other Income Expense,"-27,480","-278,381","-26,215",-863
7,Pretax Income,"35,536","-248,127","31,366","-35,780"
8,Tax Provision,"-3,228","6,662","11,196","-104,358"
9,Net Income Common Stockholders,"10,323","-129,986","10,624","91,059"
10,Diluted NI Available to Com Stockholders,"10,323","-129,986","10,624","91,059"
11,Basic EPS,0.07,-0.86,0.07,0.62
12,Diluted EPS,0.06,-0.86,0.07,0.61
13,Basic Average Shares,"152,893","150,944","148,922","147,443"
14,Diluted Average Shares,"155,083","150,944","151,821","148,913"
15,Total Operating Income as Reported,"226,213","-94,928","152,716","91,155"
16,Total Expenses,"2,124,969","2,023,382","1,899,763","1,881,442"
17,Net Income from Continuing & Discontinued Operation,"10,323","-129,986","10,624","91,059"
18,Normalized Income,"38,171","104,023","37,337","93,580"
19,Interest Expense,"198,109","158,377","136,325","145,998"
20,Net Interest Income,"-198,400","-158,668","-136,325","-145,998"
21,EBIT,"233,645","-89,750","167,691","110,218"
22,EBITDA,"467,168","150,425","401,097","345,605"
23,Reconciled Cost of Revenue,"1,540,259","1,427,596","1,324,696","1,364,130"
24,Reconciled Depreciation,"233,523","240,175","233,406","235,387"
25,Net Income from Continuing Operation Net Minority Interest,"10,323","-129,986","10,624","91,059"
26,Total Unusual Items Excluding Goodwill,"-35,251","-296,214","-41,545","-3,453"
27,Total Unusual Items,"-35,251","-296,214","-41,545","-3,453"
28,Normalized EBITDA,"502,419","446,639","442,642","349,058"
29,Tax Rate for Calcs,0,0,0,0
30,Tax Effect of Unusual Items,"-7,403","-62,205","-14,832",-932.31
31,Breakdown,12/31/2022,12/31/2021,12/31/2020,
32,Total Assets,"3,799,341","3,939,664","4,006,033",
33,Total Liabilities Net Minority Interest,"3,615,362","3,572,691","3,661,101",
34,Total Equity Gross Minority Interest,"183,979","366,973","344,932",
35,Total Capitalization,"2,930,108","3,078,431","3,074,975",
36,Common Stock Equity,"298,421","360,340","303,271",
37,Capital Lease Obligations,"123,487","127,351","127,988",
38,Net Tangible Assets,"-1,396,525","-1,399,599","-1,524,169",
39,Working Capital,"659,018","842,865","874,637",
40,Invested Capital,"3,020,069","3,109,045","3,120,203",
41,Tangible Book Value,"-1,396,525","-1,399,599","-1,524,169",
42,Total Debt,"2,845,135","2,876,056","2,944,920",
43,Net Debt,"2,695,672","2,500,915","2,475,554",
44,Share Issued,"151,490","149,413","147,674",
45,Ordinary Shares Number,"151,490","149,413","147,674",
