,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"11,144,200","11,144,200","10,711,100","9,356,900","8,041,500"
1,Cost of Revenue,"3,260,600","3,260,600","3,263,800","2,682,000","2,227,200"
2,Gross Profit,"7,883,600","7,883,600","7,447,300","6,674,900","5,814,300"
3,Operating Expense,"4,107,100","4,107,100","4,410,700","3,346,500","2,686,700"
4,Operating Income,"3,776,500","3,776,500","3,036,600","3,328,400","3,127,600"
5,Net Non Operating Interest Income Expense,"-1,254,800","-1,254,800","-1,064,900","-830,500","-753,800"
6,Other Income Expense,"-1,000,400","-1,000,400","-251,000","331,500","-552,700"
7,Pretax Income,"1,521,300","1,521,300","1,720,700","2,829,400","1,821,100"
8,Tax Provision,"154,200","154,200","24,000","261,800","129,600"
9,Net Income Common Stockholders,"1,483,300","1,483,300","1,765,800","2,567,700","1,690,600"
10,Diluted NI Available to Com Stockholders,"1,483,300","1,483,300","1,765,800","2,567,700","1,690,600"
11,Basic EPS,1.51,3.18,3.83,5.69,3.81
12,Diluted EPS,1.50,3.18,3.82,5.66,3.79
13,Basic Average Shares,"465,913","466,063","461,519","451,498","443,640"
14,Diluted Average Shares,"467,006","467,162","462,750","453,294","446,104"
15,Total Operating Income as Reported,"3,024,900","3,024,900","2,352,300","3,132,000","2,887,500"
16,Total Expenses,"7,367,700","7,367,700","7,674,500","6,028,500","4,913,900"
17,Net Income from Continuing & Discontinued Operation,"1,483,300","1,483,300","1,765,800","2,567,700","1,690,600"
18,Normalized Income,"2,456,257","2,456,257","1,997,818","2,274,467","2,181,303"
19,Interest Income,"143,400","143,400","71,600","40,400","39,700"
20,Interest Expense,"1,398,200","1,398,200","1,136,500","870,900","793,500"
21,Net Interest Income,"-1,254,800","-1,254,800","-1,064,900","-830,500","-753,800"
22,EBIT,"2,919,500","2,919,500","2,857,200","3,700,300","2,614,600"
23,EBITDA,"6,006,000","6,006,000","6,212,300","6,032,900","4,496,900"
24,Reconciled Cost of Revenue,"3,260,600","3,260,600","3,263,800","2,682,000","2,227,200"
25,Reconciled Depreciation,"3,086,500","3,086,500","3,355,100","2,332,600","1,882,300"
26,Net Income from Continuing Operation Net Minority Interest,"1,483,300","1,483,300","1,765,800","2,567,700","1,690,600"
27,Total Unusual Items Excluding Goodwill,"-1,082,700","-1,082,700","-235,300","323,300","-528,300"
28,Total Unusual Items,"-1,082,700","-1,082,700","-235,300","323,300","-528,300"
29,Normalized EBITDA,"7,088,700","7,088,700","6,447,600","5,709,600","5,025,200"
30,Tax Rate for Calcs,0,0,0,0,0
31,Tax Effect of Unusual Items,"-109,743","-109,743","-3,282","30,067","-37,597"
32,Breakdown,12/31/2023,12/31/2022,12/31/2021,12/31/2020,
33,Total Assets,"66,027,600","67,194,500","69,887,900","47,233,500",
34,Total Liabilities Net Minority Interest,"55,162,200","54,786,000","60,818,300","42,453,000",
35,Total Equity Gross Minority Interest,"10,865,400","12,408,500","9,069,600","4,780,500",
36,Total Capitalization,"39,932,200","39,728,400","43,766,700","32,591,200",
37,Common Stock Equity,"4,198,200","5,572,400","5,081,200","4,093,500",
38,Capital Lease Obligations,"8,233,300","8,380,800","8,754,400","7,424,300",
39,Net Tangible Assets,"-24,961,500","-25,367,600","-28,996,100","-17,029,000",
40,Working Capital,"-3,539,300","-4,689,600","-5,337,900","-749,900",
41,Invested Capital,"43,119,700","44,242,600","48,335,400","33,381,000",
42,Tangible Book Value,"-24,961,500","-25,367,600","-28,996,100","-17,029,000",
43,Total Debt,"47,154,800","47,051,000","52,008,600","36,711,800",
44,Net Debt,"36,948,200","36,641,800","41,304,300","27,541,200",
45,Share Issued,"466,160","476,623","466,687","455,245",
46,Ordinary Shares Number,"466,160","465,619","455,772","444,330",
47,Treasury Shares Number,-,"11,004","10,914","10,914",
